#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1161903,13405441,B614_gp02,B614_gp02,PPMP42_02,-,-,-,Ner-like protein,protein-coding,-,-,-,Ner-like protein,20200629,-
1161903,13405442,B614_gp03,B614_gp03,PPMP42_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405443,B614_gp04,B614_gp04,PPMP42_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405444,B614_gp05,B614_gp05,PPMP42_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405445,B614_gp06,B614_gp06,PPMP42_06,-,-,-,A transposase,protein-coding,-,-,-,A transposase,20200629,-
1161903,13405446,B614_gp07,B614_gp07,PPMP42_07,-,-,-,DNA transposition protein,protein-coding,-,-,-,DNA transposition protein,20200912,-
1161903,13405447,B614_gp08,B614_gp08,PPMP42_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405448,B614_gp09,B614_gp09,PPMP42_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405449,B614_gp10,B614_gp10,PPMP42_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405450,B614_gp11,B614_gp11,PPMP42_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405451,B614_gp12,B614_gp12,PPMP42_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405452,B614_gp13,B614_gp13,PPMP42_13,-,-,-,host nuclease inhibitor protein,protein-coding,-,-,-,host nuclease inhibitor protein,20210417,-
1161903,13405453,B614_gp14,B614_gp14,PPMP42_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405454,B614_gp15,B614_gp15,PPMP42_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405455,B614_gp16,B614_gp16,PPMP42_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405456,B614_gp17,B614_gp17,PPMP42_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405457,B614_gp18,B614_gp18,PPMP42_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405458,B614_gp19,B614_gp19,PPMP42_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1161903,13405459,B614_gp20,B614_gp20,PPMP42_20,-,-,-,putative integral membrane protein,protein-coding,-,-,-,putative integral membrane protein,20210212,-
1161903,13405460,B614_gp21,B614_gp21,PPMP42_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405461,B614_gp22,B614_gp22,PPMP42_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405462,B614_gp23,B614_gp23,PPMP42_23,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1161903,13405463,B614_gp24,B614_gp24,PPMP42_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405464,B614_gp26,B614_gp26,PPMP42_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1161903,13405465,B614_gp27,B614_gp27,PPMP42_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405466,B614_gp25,B614_gp25,PPMP42_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405467,B614_gp28,B614_gp28,PPMP42_28,-,-,-,phage uncharacterized protein,protein-coding,-,-,-,phage uncharacterized protein,20200905,-
1161903,13405468,B614_gp29,B614_gp29,PPMP42_29,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200905,-
1161903,13405469,B614_gp30,B614_gp30,PPMP42_30,-,-,-,head assembly cofactor,protein-coding,-,-,-,head assembly cofactor,20200629,-
1161903,13405470,B614_gp31,B614_gp31,PPMP42_31,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20200905,-
