#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743801,65127361,KNV13_gp02,KNV13_gp02,elemo135B_phanotate2,-,-,-,DUF285 domain-containing protein,protein-coding,-,-,-,DUF285 domain-containing protein,20210608,-
2743801,65127362,KNV13_gp03,KNV13_gp03,elemo135B_phanotate3,-,-,-,D-alanyl-D-alanine carboxypeptidase,protein-coding,-,-,-,D-alanyl-D-alanine carboxypeptidase,20210608,-
2743801,65127363,KNV13_gp04,KNV13_gp04,elemo135B_phanotate4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127364,KNV13_gp05,KNV13_gp05,elemo135B_phanotate5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127365,KNV13_gp06,KNV13_gp06,elemo135B_phanotate6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127366,KNV13_gp07,KNV13_gp07,elemo135B_phanotate7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127367,KNV13_gp08,KNV13_gp08,elemo135B_phanotate8,-,-,-,putative YapH protein,protein-coding,-,-,-,putative YapH protein,20210608,-
2743801,65127368,KNV13_gp09,KNV13_gp09,elemo135B_phanotate9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127369,KNV13_gp10,KNV13_gp10,elemo135B_phanotate10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127370,KNV13_gp11,KNV13_gp11,elemo135B_phanotate11,-,-,-,chaperonin GroEL,protein-coding,-,-,-,chaperonin GroEL,20210608,-
2743801,65127371,KNV13_gp12,KNV13_gp12,elemo135B_phanotate12,-,-,-,co-chaperonin GroES,protein-coding,-,-,-,co-chaperonin GroES,20210608,-
2743801,65127372,KNV13_gp13,KNV13_gp13,elemo135B_phanotate13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127373,KNV13_gp14,KNV13_gp14,elemo135B_phanotate14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127374,KNV13_gp15,KNV13_gp15,elemo135B_phanotate15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127375,KNV13_gp16,KNV13_gp16,elemo135B_phanotate16,-,-,-,HAD family hydrolase,protein-coding,-,-,-,HAD family hydrolase,20210608,-
2743801,65127376,KNV13_gp17,KNV13_gp17,elemo135B_phanotate17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127377,KNV13_gp18,KNV13_gp18,elemo135B_phanotate18,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210608,-
2743801,65127378,KNV13_gp19,KNV13_gp19,elemo135B_phanotate19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127379,KNV13_gp20,KNV13_gp20,elemo135B_phanotate20,-,-,-,PE-PGRS family protein,protein-coding,-,-,-,PE-PGRS family protein,20210608,-
2743801,65127380,KNV13_gp21,KNV13_gp21,elemo135B_phanotate21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127381,KNV13_gp22,KNV13_gp22,elemo135B_phanotate22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127382,KNV13_gp23,KNV13_gp23,elemo135B_phanotate23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127383,KNV13_gp24,KNV13_gp24,elemo135B_phanotate24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127384,KNV13_gp25,KNV13_gp25,elemo135B_phanotate25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127385,KNV13_gp26,KNV13_gp26,elemo135B_phanotate26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127386,KNV13_gp27,KNV13_gp27,elemo135B_phanotate27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
