#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2662298,55814302,HYQ05_gp02,HYQ05_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200912,-
2662298,55814303,HYQ05_gp03,HYQ05_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814304,HYQ05_gp04,HYQ05_gp04,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2662298,55814305,HYQ05_gp05,HYQ05_gp05,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200912,-
2662298,55814306,HYQ05_gp06,HYQ05_gp06,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200704,-
2662298,55814307,HYQ05_gp07,HYQ05_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814308,HYQ05_gp08,HYQ05_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814309,HYQ05_gp09,HYQ05_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814310,HYQ05_gp10,HYQ05_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814311,HYQ05_gp11,HYQ05_gp11,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200912,-
2662298,55814312,HYQ05_gp12,HYQ05_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814313,HYQ05_gp13,HYQ05_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814314,HYQ05_gp14,HYQ05_gp14,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20200912,-
2662298,55814315,HYQ05_gp15,HYQ05_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2662298,55814316,HYQ05_gp16,HYQ05_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2662298,55814317,HYQ05_gp17,HYQ05_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814318,HYQ05_gp18,HYQ05_gp18,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200912,-
2662298,55814319,HYQ05_gp19,HYQ05_gp19,-,-,-,-,holin,protein-coding,-,-,-,holin,20200704,-
2662298,55814320,HYQ05_gp20,HYQ05_gp20,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20200912,-
2662298,55814321,HYQ05_gp21,HYQ05_gp21,-,-,-,-,immunodominant staphylococcal antigen A precursor,protein-coding,-,-,-,immunodominant staphylococcal antigen A precursor,20210424,-
2662298,55814322,HYQ05_gp22,HYQ05_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814323,HYQ05_gp23,HYQ05_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814324,HYQ05_gp24,HYQ05_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814325,HYQ05_gp25,HYQ05_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814326,HYQ05_gp26,HYQ05_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814327,HYQ05_gp27,HYQ05_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814328,HYQ05_gp28,HYQ05_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2662298,55814329,HYQ05_gp29,HYQ05_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814330,HYQ05_gp30,HYQ05_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814331,HYQ05_gp31,HYQ05_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2662298,55814332,HYQ05_gp32,HYQ05_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814333,HYQ05_gp33,HYQ05_gp33,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20200704,-
2662298,55814334,HYQ05_gp34,HYQ05_gp34,-,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20200704,-
2662298,55814335,HYQ05_gp35,HYQ05_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814336,HYQ05_gp36,HYQ05_gp36,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20200912,-
2662298,55814337,HYQ05_gp37,HYQ05_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2662298,55814338,HYQ05_gp38,HYQ05_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814339,HYQ05_gp39,HYQ05_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814340,HYQ05_gp40,HYQ05_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814341,HYQ05_gp41,HYQ05_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2662298,55814342,HYQ05_gp42,HYQ05_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814343,HYQ05_gp43,HYQ05_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814344,HYQ05_gp44,HYQ05_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814345,HYQ05_gp45,HYQ05_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814346,HYQ05_gp46,HYQ05_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814347,HYQ05_gp47,HYQ05_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2662298,55814348,HYQ05_gt01,HYQ05_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2662298,55814349,HYQ05_gp01,HYQ05_gp01,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201010,-
2662298,55863620,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
