#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1204178,14297495,G177_gp02,G177_gp02,-,-,-,-,putative integrase,protein-coding,-,-,-,putative integrase,20201221,-
1204178,14297496,G177_gp03,G177_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297497,G177_gp04,G177_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297498,G177_gp05,G177_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297499,G177_gp06,G177_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297500,G177_gp07,G177_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297501,G177_gp08,G177_gp08,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1204178,14297502,G177_gp09,G177_gp09,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1204178,14297503,G177_gp10,G177_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297504,G177_gp11,G177_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297505,G177_gp12,G177_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297506,G177_gp13,G177_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297507,G177_gp14,G177_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297508,G177_gp15,G177_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297509,G177_gp16,G177_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297510,G177_gp17,G177_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297511,G177_gp18,G177_gp18,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1204178,14297512,G177_gp19,G177_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297513,G177_gp20,G177_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297514,G177_gp21,G177_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297515,G177_gp22,G177_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297516,G177_gp23,G177_gp23,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1204178,14297517,G177_gp24,G177_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297518,G177_gp25,G177_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297519,G177_gp26,G177_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297520,G177_gp27,G177_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297521,G177_gp28,G177_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297522,G177_gp29,G177_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297523,G177_gp30,G177_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297524,G177_gp31,G177_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297525,G177_gp32,G177_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14297526,G177_gp01,G177_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204178,14311128,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
