#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099637,60335823,2,I5J36_gp02,SEA_MENDOKYSEI_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201130,-
2099637,60335824,3,I5J36_gp03,SEA_MENDOKYSEI_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2099637,60335825,4,I5J36_gp04,SEA_MENDOKYSEI_4,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210417,-
2099637,60335826,5,I5J36_gp05,SEA_MENDOKYSEI_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335827,6,I5J36_gp06,SEA_MENDOKYSEI_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335828,7,I5J36_gp07,SEA_MENDOKYSEI_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2099637,60335829,8,I5J36_gp08,SEA_MENDOKYSEI_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335830,9,I5J36_gp09,SEA_MENDOKYSEI_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099637,60335831,10,I5J36_gp10,SEA_MENDOKYSEI_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335832,11,I5J36_gp11,SEA_MENDOKYSEI_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335833,12,I5J36_gp12,SEA_MENDOKYSEI_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335834,13,I5J36_gp13,SEA_MENDOKYSEI_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210417,-
2099637,60335835,14,I5J36_gp14,SEA_MENDOKYSEI_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2099637,60335836,15,I5J36_gp15,SEA_MENDOKYSEI_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2099637,60335837,17,I5J36_gp17,SEA_MENDOKYSEI_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2099637,60335838,18,I5J36_gp18,SEA_MENDOKYSEI_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2099637,60335839,19,I5J36_gp19,SEA_MENDOKYSEI_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2099637,60335840,20,I5J36_gp20,SEA_MENDOKYSEI_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2099637,60335841,21,I5J36_gp21,SEA_MENDOKYSEI_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2099637,60335842,22,I5J36_gp22,SEA_MENDOKYSEI_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335843,23,I5J36_gp23,SEA_MENDOKYSEI_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335844,24,I5J36_gp24,SEA_MENDOKYSEI_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335845,25,I5J36_gp25,SEA_MENDOKYSEI_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335846,26,I5J36_gp26,SEA_MENDOKYSEI_26,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210417,-
2099637,60335847,27,I5J36_gp27,SEA_MENDOKYSEI_27,-,-,-,holin,protein-coding,-,-,-,holin,20210417,-
2099637,60335848,28,I5J36_gp28,SEA_MENDOKYSEI_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335849,29,I5J36_gp29,SEA_MENDOKYSEI_29,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210417,-
