#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
204507,4179090,vlf-1,NANV_gp45,-,-,-,-,very late factor 1,protein-coding,-,-,-,very late factor 1,20180815,-
204507,4179091,lef-2,NANV_gp57,-,-,-,-,late expression factor 2,protein-coding,-,-,-,late expression factor 2,20180815,-
204507,4179092,lef-5,NANV_gp58,-,-,-,-,late expression factor 5,protein-coding,-,-,-,late expression factor 5,20180815,-
204507,4179093,lef-4,NANV_gp62,-,-,-,-,late expression factor 4,protein-coding,-,-,-,late expression factor 4,20180815,-
204507,4179094,NANV_gp37,NANV_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179095,NANV_gp38,NANV_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179096,NANV_gp40,NANV_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179097,NANV_gp41,NANV_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179098,NANV_gp42,NANV_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179099,NANV_gp43,NANV_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179100,NANV_gp44,NANV_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179101,NANV_gp46,NANV_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179102,NANV_gp48,NANV_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179103,NANV_gp51,NANV_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179104,NANV_gp52,NANV_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179105,NANV_gp53,NANV_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179106,odv-e18,NANV_gp65,-,-,-,-,occlusion derived virus envelope protein e18,protein-coding,-,-,-,occlusion derived virus envelope protein e18,20180815,-
204507,4179107,odv-e27,NANV_gp66,-,-,-,-,occlusion derived virus envelope protein e27,protein-coding,-,-,-,occlusion derived virus envelope protein e27,20180815,-
204507,4179108,lef-1,NANV_gp68,-,-,-,-,late expression factor 1,protein-coding,-,-,-,late expression factor 1,20180815,-
204507,4179109,pif,NANV_gp79,-,-,-,-,per-os infectivity factor,protein-coding,-,-,-,per-os infectivity factor,20180815,-
204507,4179110,lef-8,NANV_gp83,-,-,-,-,late expression factor 8,protein-coding,-,-,-,late expression factor 8,20180815,-
204507,4179111,vp91,NANV_gp87,-,-,-,-,viral capsid associated protein 91,protein-coding,-,-,-,viral capsid associated protein 91,20180815,-
204507,4179112,vp1054,NANV_gp88,-,-,-,-,viral capsid associated protein 1054,protein-coding,-,-,-,viral capsid associated protein 1054,20180815,-
204507,4179113,vp39,NANV_gp92,-,-,-,-,major viral capsid protein 39,protein-coding,-,-,-,major viral capsid protein 39,20180815,-
204507,4179114,NANV_gp54,NANV_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179115,NANV_gp56,NANV_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179116,NANV_gp59,NANV_gp59,-,-,-,-,38K,protein-coding,-,-,-,38K,20180815,-
204507,4179117,NANV_gp60,NANV_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179118,NANV_gp61,NANV_gp61,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20180815,-
204507,4179119,NANV_gp63,NANV_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179120,NANV_gp64,NANV_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
