#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
393283,19349495,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20160423,-
393283,30218085,nad5,BOP20_gp32,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20170310,-
393283,30218086,orf295,BOP20_gp21,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,-,20170310,-
393283,30218087,orf508,BOP20_gp44,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,-,20170310,-
393283,30218088,trnT(tgt),BOP20_gt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161115,-
393283,30218089,trnE(ttc),BOP20_gt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161115,-
393283,30218090,trnM(cat),BOP20_gt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161115,-
393283,30218091,trnM(cat),BOP20_gt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161115,-
393283,30218092,trnL(taa),BOP20_gt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161115,-
393283,30218093,trnA(tgc),BOP20_gt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161115,-
393283,30218094,trnF(gaa),BOP20_gt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161115,-
393283,30218095,trnL(tag),BOP20_gt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161115,-
393283,30218096,trnQ(ttg),BOP20_gt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161115,-
393283,30218097,trnH(gtg),BOP20_gt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161115,-
393283,30218098,trnM(cat),BOP20_gt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161115,-
