#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1163482,14016627,SEP1_gp02,F491_gp02,-,-,-,-,putative phage terminase large subunit,protein-coding,-,-,-,putative phage terminase large subunit,20200629,-
1163482,14016628,SEP1_gp03,F491_gp03,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20200629,-
1163482,14016629,SEP1_gp04,F491_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016630,SEP1_gp05,F491_gp05,-,-,-,-,"putative head morphogenesis protein, SPP1 gp7 family",protein-coding,-,-,-,"putative head morphogenesis protein, SPP1 gp7 family",20200629,-
1163482,14016631,SEP1_gp06,F491_gp06,-,-,-,-,putative head decoration protein,protein-coding,-,-,-,putative head decoration protein,20210123,-
1163482,14016632,SEP1_gp07,F491_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016633,SEP1_gp08,F491_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016634,SEP1_gp09,F491_gp09,-,-,-,-,putative scaffold protein,protein-coding,-,-,-,putative scaffold protein,20200629,-
1163482,14016635,SEP1_gp10,F491_gp10,-,-,-,-,putative major coat protein,protein-coding,-,-,-,putative major coat protein,20210123,-
1163482,14016636,SEP1_gp11,F491_gp11,-,-,-,-,putative head fibre protein,protein-coding,-,-,-,putative head fibre protein,20200629,-
1163482,14016637,SEP1_gp12,F491_gp12,-,-,-,-,putative Hoc protein,protein-coding,-,-,-,putative Hoc protein,20210123,-
1163482,14016638,SEP1_gp13,F491_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016639,SEP1_gp14,F491_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016640,SEP1_gp15,F491_gp15,-,-,-,-,Putative neck protein,protein-coding,-,-,-,Putative neck protein,20200629,-
1163482,14016641,SEP1_gp16,F491_gp16,-,-,-,-,Putative neck protein,protein-coding,-,-,-,Putative neck protein,20200629,-
1163482,14016642,SEP1_gp17,F491_gp17,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1163482,14016643,SEP1_gp18,F491_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1163482,14016644,SEP1_gp19,F491_gp19,-,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20200629,-
1163482,14016645,SEP1_gp20,F491_gp20,-,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20200629,-
1163482,14016646,SEP1_gp21,F491_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016647,SEP1_gp22,F491_gp22,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200629,-
1163482,14016648,SEP1_gp23,F491_gp23,-,-,-,-,putative recombination endonuclease subunit protein,protein-coding,-,-,-,putative recombination endonuclease subunit protein,20200629,-
1163482,14016649,SEP1_gp24,F491_gp24,-,-,-,-,putative imm immunity to superinfection membrane protein,protein-coding,-,-,-,putative imm immunity to superinfection membrane protein,20210129,-
1163482,14016650,SEP1_gp25,F491_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016651,SEP1_gp26,F491_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016652,SEP1_gp27,F491_gp27,-,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20200629,-
1163482,14016653,SEP1_gp28,F491_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016654,SEP1_gp29,F491_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
