#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2762397,65128216,2,KNV23_gp02,SEA_AZULA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210609,-
2762397,65128217,3,KNV23_gp03,SEA_AZULA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210609,-
2762397,65128218,4,KNV23_gp04,SEA_AZULA_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210609,-
2762397,65128219,5,KNV23_gp05,SEA_AZULA_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210608,-
2762397,65128220,6,KNV23_gp06,SEA_AZULA_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2762397,65128221,7,KNV23_gp07,SEA_AZULA_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128222,8,KNV23_gp08,SEA_AZULA_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210609,-
2762397,65128223,9,KNV23_gp09,SEA_AZULA_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210608,-
2762397,65128224,10,KNV23_gp10,SEA_AZULA_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128225,11,KNV23_gp11,SEA_AZULA_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128226,12,KNV23_gp12,SEA_AZULA_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128227,13,KNV23_gp13,SEA_AZULA_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128228,14,KNV23_gp14,SEA_AZULA_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128229,15,KNV23_gp15,SEA_AZULA_15,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210608,-
2762397,65128230,16,KNV23_gp16,SEA_AZULA_16,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210608,-
2762397,65128231,18,KNV23_gp17,SEA_AZULA_18,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
2762397,65128232,19,KNV23_gp19,SEA_AZULA_19,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210609,-
2762397,65128233,17,KNV23_gp18,SEA_AZULA_17,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
2762397,65128234,20,KNV23_gp20,SEA_AZULA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210609,-
2762397,65128235,21,KNV23_gp21,SEA_AZULA_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2762397,65128236,22,KNV23_gp22,SEA_AZULA_22,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",protein-coding,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",20210609,-
2762397,65128237,23,KNV23_gp23,SEA_AZULA_23,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20210609,-
2762397,65128238,24,KNV23_gp24,SEA_AZULA_24,-,-,-,holin,protein-coding,-,-,-,holin,20210609,-
2762397,65128239,25,KNV23_gp25,SEA_AZULA_25,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762397,65128240,26,KNV23_gp26,SEA_AZULA_26,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762397,65128241,27,KNV23_gp27,SEA_AZULA_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210609,-
2762397,65128242,28,KNV23_gp28,SEA_AZULA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128243,29,KNV23_gp29,SEA_AZULA_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2762397,65128244,30,KNV23_gp30,SEA_AZULA_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2762397,65128245,31,KNV23_gp31,SEA_AZULA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128246,32,KNV23_gp32,SEA_AZULA_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210609,-
2762397,65128247,33,KNV23_gp33,SEA_AZULA_33,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210609,-
2762397,65128248,34,KNV23_gp34,SEA_AZULA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128249,35,KNV23_gp35,SEA_AZULA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128250,36,KNV23_gp36,SEA_AZULA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128251,37,KNV23_gp37,SEA_AZULA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128252,38,KNV23_gp38,SEA_AZULA_38,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210609,-
2762397,65128253,39,KNV23_gp39,SEA_AZULA_39,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210609,-
2762397,65128254,40,KNV23_gp40,SEA_AZULA_40,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210608,-
2762397,65128255,41,KNV23_gp41,SEA_AZULA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128256,42,KNV23_gp42,SEA_AZULA_42,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210609,-
2762397,65128257,43,KNV23_gp43,SEA_AZULA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
