#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
682370,8676873,SP-ALQ13.2_gp03,SP-ALQ13.2_gp03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
682370,8676874,SP-ALQ13.2_gp04,SP-ALQ13.2_gp04,-,-,-,-,capsid,protein-coding,-,-,-,capsid,20200629,-
682370,8676875,SP-ALQ13.2_gp05,SP-ALQ13.2_gp05,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20200629,-
682370,8676876,SP-ALQ13.2_gp06,SP-ALQ13.2_gp06,-,-,-,-,capsid,protein-coding,-,-,-,capsid,20200629,-
682370,8676877,SP-ALQ13.2_gp07,SP-ALQ13.2_gp07,-,-,-,-,capsid,protein-coding,-,-,-,capsid,20200629,-
682370,8676878,SP-ALQ13.2_gp08,SP-ALQ13.2_gp08,-,-,-,-,capsid,protein-coding,-,-,-,capsid,20200629,-
682370,8676879,SP-ALQ13.2_gp09,SP-ALQ13.2_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676880,SP-ALQ13.2_gp10,SP-ALQ13.2_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676881,SP-ALQ13.2_gp11,SP-ALQ13.2_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676882,SP-ALQ13.2_gp12,SP-ALQ13.2_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676883,SP-ALQ13.2_gp13,SP-ALQ13.2_gp13,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
682370,8676884,SP-ALQ13.2_gp14,SP-ALQ13.2_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676885,SP-ALQ13.2_gp15,SP-ALQ13.2_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676886,SP-ALQ13.2_gp16,SP-ALQ13.2_gp16,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
682370,8676887,SP-ALQ13.2_gp17,SP-ALQ13.2_gp17,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
682370,8676888,SP-ALQ13.2_gp18,SP-ALQ13.2_gp18,-,-,-,-,receptor-binding protein,protein-coding,-,-,-,receptor-binding protein,20200629,-
682370,8676889,SP-ALQ13.2_gp19,SP-ALQ13.2_gp19,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20200629,-
682370,8676890,SP-ALQ13.2_gp20,SP-ALQ13.2_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676891,SP-ALQ13.2_gp21,SP-ALQ13.2_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676892,SP-ALQ13.2_gp22,SP-ALQ13.2_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676893,SP-ALQ13.2_gp23,SP-ALQ13.2_gp23,-,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
682370,8676894,SP-ALQ13.2_gp24,SP-ALQ13.2_gp24,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20200629,-
682370,8676895,SP-ALQ13.2_gp25,SP-ALQ13.2_gp25,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200629,-
682370,8676896,SP-ALQ13.2_gp26,SP-ALQ13.2_gp26,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20200629,-
682370,8676897,SP-ALQ13.2_gp28,SP-ALQ13.2_gp28,-,-,-,-,repressor-like protein,protein-coding,-,-,-,repressor-like protein,20200629,-
682370,8676898,SP-ALQ13.2_gp29,SP-ALQ13.2_gp29,-,-,-,-,cro-like repressor,protein-coding,-,-,-,cro-like repressor,20200629,-
682370,8676899,SP-ALQ13.2_gp30,SP-ALQ13.2_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676900,SP-ALQ13.2_gp31,SP-ALQ13.2_gp31,-,-,-,-,cro-like repressor,protein-coding,-,-,-,cro-like repressor,20210417,-
682370,8676901,SP-ALQ13.2_gp32,SP-ALQ13.2_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676902,SP-ALQ13.2_gp33,SP-ALQ13.2_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676903,SP-ALQ13.2_gp34,SP-ALQ13.2_gp34,-,-,-,-,nucleoside triphosphate binding motifs protein,protein-coding,-,-,-,nucleoside triphosphate binding motifs protein,20200629,-
682370,8676904,SP-ALQ13.2_gp35,SP-ALQ13.2_gp35,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200629,-
682370,8676905,SP-ALQ13.2_gp36,SP-ALQ13.2_gp36,-,-,-,-,DUF669 domain-containing protein,protein-coding,-,-,-,DUF669 domain-containing protein,20201220,-
682370,8676906,SP-ALQ13.2_gp37,SP-ALQ13.2_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676907,SP-ALQ13.2_gp38,SP-ALQ13.2_gp38,-,-,-,-,primase,protein-coding,-,-,-,primase,20200629,-
682370,8676908,SP-ALQ13.2_gp39,SP-ALQ13.2_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676909,SP-ALQ13.2_gp40,SP-ALQ13.2_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676910,SP-ALQ13.2_gp41,SP-ALQ13.2_gp41,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200629,-
682370,8676911,SP-ALQ13.2_gp42,SP-ALQ13.2_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676912,SP-ALQ13.2_gp43,SP-ALQ13.2_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676913,SP-ALQ13.2_gp44,SP-ALQ13.2_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676914,SP-ALQ13.2_gp27,SP-ALQ13.2_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
682370,8676915,SP-ALQ13.2_gp02,SP-ALQ13.2_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
682370,8676916,SP-ALQ13.2_gp01,SP-ALQ13.2_gp01,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
682370,8715354,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Streptococcus phage ALQ13.2; Streptococcus phage P13.2; Streptococcus thermophilus phage P13.2).,other,-,-,-,-,20200513,-
