#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2588513,55619247,2,HWC44_gp002,SEA_THETABOB_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200620,-
2588513,55619248,3,HWC44_gp003,SEA_THETABOB_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2588513,55619249,4,HWC44_gp004,SEA_THETABOB_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200620,-
2588513,55619250,5,HWC44_gp005,SEA_THETABOB_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200620,-
2588513,55619251,6,HWC44_gp006,SEA_THETABOB_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619252,7,HWC44_gp007,SEA_THETABOB_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2588513,55619253,8,HWC44_gp008,SEA_THETABOB_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619254,9,HWC44_gp009,SEA_THETABOB_9,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20200620,-
2588513,55619255,10,HWC44_gp010,SEA_THETABOB_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2588513,55619256,11,HWC44_gp011,SEA_THETABOB_11,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20200620,-
2588513,55619257,12,HWC44_gp012,SEA_THETABOB_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200620,-
2588513,55619258,14,HWC44_gp013,SEA_THETABOB_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200620,-
2588513,55619259,15,HWC44_gp015,SEA_THETABOB_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201217,-
2588513,55619260,13,HWC44_gp014,SEA_THETABOB_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200620,-
2588513,55619261,16,HWC44_gp016,SEA_THETABOB_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2588513,55619262,17,HWC44_gp017,SEA_THETABOB_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2588513,55619263,18,HWC44_gp018,SEA_THETABOB_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2588513,55619264,19,HWC44_gp019,SEA_THETABOB_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2588513,55619265,20,HWC44_gp020,SEA_THETABOB_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2588513,55619266,21,HWC44_gp021,SEA_THETABOB_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2588513,55619267,22,HWC44_gp022,SEA_THETABOB_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2588513,55619268,23,HWC44_gp023,SEA_THETABOB_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619269,24,HWC44_gp024,SEA_THETABOB_24,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210417,-
2588513,55619270,25,HWC44_gp025,SEA_THETABOB_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619271,26,HWC44_gp026,SEA_THETABOB_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619272,27,HWC44_gp027,SEA_THETABOB_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619273,28,HWC44_gp028,SEA_THETABOB_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619274,29,HWC44_gp029,SEA_THETABOB_29,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2588513,55619275,30,HWC44_gp030,SEA_THETABOB_30,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200620,-
2588513,55619276,31,HWC44_gp031,SEA_THETABOB_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619277,32,HWC44_gp032,SEA_THETABOB_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2588513,55619278,33,HWC44_gp033,SEA_THETABOB_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619279,34,HWC44_gp034,SEA_THETABOB_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619280,35,HWC44_gp035,SEA_THETABOB_35,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2588513,55619281,36,HWC44_gp036,SEA_THETABOB_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619282,37,HWC44_gp037,SEA_THETABOB_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619283,38,HWC44_gp038,SEA_THETABOB_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619284,39,HWC44_gp039,SEA_THETABOB_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619285,40,HWC44_gp040,SEA_THETABOB_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619286,41,HWC44_gp041,SEA_THETABOB_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2588513,55619287,42,HWC44_gp042,SEA_THETABOB_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619288,43,HWC44_gp043,SEA_THETABOB_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619289,44,HWC44_gp044,SEA_THETABOB_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2588513,55619290,45,HWC44_gp045,SEA_THETABOB_45,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2588513,55619291,46,HWC44_gp046,SEA_THETABOB_46,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20201217,-
2588513,55619292,48,HWC44_gp048,SEA_THETABOB_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619293,47,HWC44_gp047,SEA_THETABOB_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619294,49,HWC44_gp049,SEA_THETABOB_49,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210417,-
2588513,55619295,50,HWC44_gp050,SEA_THETABOB_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619296,51,HWC44_gp051,SEA_THETABOB_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619297,52,HWC44_gp052,SEA_THETABOB_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619298,53,HWC44_gp053,SEA_THETABOB_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619299,54,HWC44_gp054,SEA_THETABOB_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2588513,55619300,55,HWC44_gp055,SEA_THETABOB_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619301,56,HWC44_gp056,SEA_THETABOB_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619302,57,HWC44_gp057,SEA_THETABOB_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619303,58,HWC44_gp058,SEA_THETABOB_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619304,59,HWC44_gp059,SEA_THETABOB_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2588513,55619305,60,HWC44_gp060,SEA_THETABOB_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2588513,55619306,61,HWC44_gp061,SEA_THETABOB_61,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210406,-
2588513,55619307,62,HWC44_gp062,SEA_THETABOB_62,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210406,-
2588513,55619308,63,HWC44_gp063,SEA_THETABOB_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619309,64,HWC44_gp064,SEA_THETABOB_64,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210406,-
2588513,55619310,65,HWC44_gp065,SEA_THETABOB_65,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210406,-
2588513,55619311,66,HWC44_gp066,SEA_THETABOB_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
