#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2589652,65053197,KMB86_gp02,KMB86_gp02,-,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210608,-
2589652,65053198,KMB86_gp03,KMB86_gp03,-,-,-,-,putative tail fiber,protein-coding,-,-,-,putative tail fiber,20210608,-
2589652,65053199,KMB86_gp04,KMB86_gp04,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210608,-
2589652,65053200,KMB86_gp05,KMB86_gp05,-,-,-,-,lambda repressor-like DNA binding protein,protein-coding,-,-,-,lambda repressor-like DNA binding protein,20210608,-
2589652,65053201,KMB86_gp06,KMB86_gp06,-,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210608,-
2589652,65053202,KMB86_gp07,KMB86_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053203,KMB86_gp08,KMB86_gp08,-,-,-,-,methylase,protein-coding,-,-,-,methylase,20210608,-
2589652,65053204,KMB86_gp09,KMB86_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053205,KMB86_gp10,KMB86_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053206,KMB86_gp11,KMB86_gp11,-,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20210608,-
2589652,65053207,KMB86_gp12,KMB86_gp12,-,-,-,-,holin,protein-coding,-,-,-,holin,20210608,-
2589652,65053208,KMB86_gp13,KMB86_gp13,-,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20210608,-
2589652,65053209,KMB86_gp14,KMB86_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053210,KMB86_gp15,KMB86_gp15,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20210608,-
2589652,65053211,KMB86_gp16,KMB86_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053212,KMB86_gp17,KMB86_gp17,-,-,-,-,DNA-cytosine methylase,protein-coding,-,-,-,DNA-cytosine methylase,20210608,-
2589652,65053213,KMB86_gp18,KMB86_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053214,KMB86_gp19,KMB86_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053215,KMB86_gp20,KMB86_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053216,KMB86_gp21,KMB86_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053217,KMB86_gp22,KMB86_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053218,KMB86_gp23,KMB86_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053219,KMB86_gp24,KMB86_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053220,KMB86_gp25,KMB86_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053221,KMB86_gp26,KMB86_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053222,KMB86_gp27,KMB86_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053223,KMB86_gp28,KMB86_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053224,KMB86_gp29,KMB86_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053225,KMB86_gp30,KMB86_gp30,-,-,-,-,putative polynucleotide kinase/phosphatase,protein-coding,-,-,-,putative polynucleotide kinase/phosphatase,20210608,-
2589652,65053226,KMB86_gp31,KMB86_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053227,KMB86_gp32,KMB86_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053228,KMB86_gp33,KMB86_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053229,KMB86_gp34,KMB86_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053230,KMB86_gp35,KMB86_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053231,KMB86_gp36,KMB86_gp36,-,-,-,-,putative ATP-binding protein,protein-coding,-,-,-,putative ATP-binding protein,20210608,-
2589652,65053232,KMB86_gp37,KMB86_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053233,KMB86_gp38,KMB86_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053234,KMB86_gp39,KMB86_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053235,KMB86_gp40,KMB86_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053236,KMB86_gp41,KMB86_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053237,KMB86_gp42,KMB86_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
