#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713278,55818006,HYQ35_gp002,HYQ35_gp002,barely_2,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210403,-
2713278,55818007,HYQ35_gp003,HYQ35_gp003,barely_3,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20200910,-
2713278,55818008,HYQ35_gp004,HYQ35_gp004,barely_4,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713278,55818009,HYQ35_gp005,HYQ35_gp005,barely_5,-,-,-,hemolysin-type calcium-binding protein,protein-coding,-,-,-,hemolysin-type calcium-binding protein,20210129,-
2713278,55818010,HYQ35_gp006,HYQ35_gp006,barely_6,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20210129,-
2713278,55818011,HYQ35_gp007,HYQ35_gp007,barely_7,-,-,-,tailspike,protein-coding,-,-,-,tailspike,20210129,-
2713278,55818012,HYQ35_gp008,HYQ35_gp008,barely_8,-,-,-,tailspike,protein-coding,-,-,-,tailspike,20210116,-
2713278,55818013,HYQ35_gp009,HYQ35_gp009,barely_9,-,-,-,VrlC protein,protein-coding,-,-,-,VrlC protein,20210129,-
2713278,55818014,HYQ35_gp010,HYQ35_gp010,barely_10,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713278,55818015,HYQ35_gp011,HYQ35_gp011,barely_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818016,HYQ35_gp012,HYQ35_gp012,barely_12,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200919,-
2713278,55818017,HYQ35_gp013,HYQ35_gp013,barely_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818018,HYQ35_gp014,HYQ35_gp014,barely_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713278,55818019,HYQ35_gp015,HYQ35_gp015,barely_15,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200919,-
2713278,55818020,HYQ35_gp016,HYQ35_gp016,barely_16,-,-,-,proximal tail sheath stabilization protein,protein-coding,-,-,-,proximal tail sheath stabilization protein,20210129,-
2713278,55818021,HYQ35_gp017,HYQ35_gp017,barely_17,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20210129,-
2713278,55818022,HYQ35_gp018,HYQ35_gp018,barely_18,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210129,-
2713278,55818023,HYQ35_gp019,HYQ35_gp019,barely_19,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210129,-
2713278,55818024,HYQ35_gp020,HYQ35_gp020,barely_20,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210129,-
2713278,55818025,HYQ35_gp021,HYQ35_gp021,barely_21,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210129,-
2713278,55818026,HYQ35_gp022,HYQ35_gp022,barely_22,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20200926,-
2713278,55818027,HYQ35_gp023,HYQ35_gp023,barely_23,-,-,-,portal vertex protein of the head,protein-coding,-,-,-,portal vertex protein of the head,20210313,-
2713278,55818028,HYQ35_gp024,HYQ35_gp024,barely_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818029,HYQ35_gp025,HYQ35_gp025,barely_25,-,-,-,putative prohead core protein,protein-coding,-,-,-,putative prohead core protein,20200910,-
2713278,55818030,HYQ35_gp026,HYQ35_gp026,barely_26,-,-,-,prohead core and protease,protein-coding,-,-,-,prohead core and protease,20210327,-
2713278,55818031,HYQ35_gp027,HYQ35_gp027,barely_27,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210129,-
2713278,55818032,HYQ35_gp028,HYQ35_gp028,barely_28,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210313,-
2713278,55818033,HYQ35_gp029,HYQ35_gp029,barely_29,-,-,-,NUMOD3 motif family protein,protein-coding,-,-,-,NUMOD3 motif family protein,20210129,-
2713278,55818034,HYQ35_gp030,HYQ35_gp030,barely_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713278,55818035,HYQ35_gp031,HYQ35_gp031,barely_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818036,HYQ35_gp032,HYQ35_gp032,barely_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818037,HYQ35_gp033,HYQ35_gp033,barely_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818038,HYQ35_gp034,HYQ35_gp034,barely_34,-,-,-,putative GTP-binding protein,protein-coding,-,-,-,putative GTP-binding protein,20210123,-
2713278,55818039,HYQ35_gp035,HYQ35_gp035,barely_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818040,HYQ35_gp036,HYQ35_gp036,barely_36,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713278,55818041,HYQ35_gp037,HYQ35_gp037,barely_37,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
2713278,55818042,HYQ35_gp038,HYQ35_gp038,barely_38,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20210116,-
2713278,55818043,HYQ35_gp039,HYQ35_gp039,barely_39,-,-,-,putative DNA repair/recombination protein,protein-coding,-,-,-,putative DNA repair/recombination protein,20210212,-
2713278,55818044,HYQ35_gp040,HYQ35_gp040,barely_40,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210212,-
2713278,55818045,HYQ35_gp041,HYQ35_gp041,barely_41,-,-,-,RNA-DNA and DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase,20210129,-
2713278,55818046,HYQ35_gp042,HYQ35_gp042,barely_42,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200910,-
2713278,55818047,HYQ35_gp043,HYQ35_gp043,barely_43,-,-,-,sliding clamp protein,protein-coding,-,-,-,sliding clamp protein,20210129,-
2713278,55818048,HYQ35_gp044,HYQ35_gp044,barely_44,-,-,-,clamp loader subunit DNA polymerase accessory protein,protein-coding,-,-,-,clamp loader subunit DNA polymerase accessory protein,20200912,-
2713278,55818049,HYQ35_gp045,HYQ35_gp045,barely_45,-,-,-,DNA polymerase clamp loader subunit,protein-coding,-,-,-,DNA polymerase clamp loader subunit,20210313,-
2713278,55818050,HYQ35_gp046,HYQ35_gp046,barely_46,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20200919,-
2713278,55818051,HYQ35_gp047,HYQ35_gp047,barely_47,-,-,-,nucleoside triphosphate pyrophosphohydrolase,protein-coding,-,-,-,nucleoside triphosphate pyrophosphohydrolase,20210129,-
2713278,55818052,HYQ35_gp048,HYQ35_gp048,barely_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2713278,55818053,HYQ35_gp049,HYQ35_gp049,barely_49,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200910,-
2713278,55818054,HYQ35_gp050,HYQ35_gp050,barely_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713278,55818055,HYQ35_gp051,HYQ35_gp051,barely_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818056,HYQ35_gp052,HYQ35_gp052,barely_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818057,HYQ35_gp053,HYQ35_gp053,barely_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713278,55818058,HYQ35_gp054,HYQ35_gp054,barely_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2713278,55818059,HYQ35_gp055,HYQ35_gp055,barely_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713278,55818060,HYQ35_gp056,HYQ35_gp056,barely_56,-,-,-,putative vWa containing protein,protein-coding,-,-,-,putative vWa containing protein,20210129,-
2713278,55818061,HYQ35_gp057,HYQ35_gp057,barely_57,-,-,-,acyl carrier protein,protein-coding,-,-,-,acyl carrier protein,20210306,-
2713278,55818062,HYQ35_gp058,HYQ35_gp058,barely_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818063,HYQ35_gp059,HYQ35_gp059,barely_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818064,HYQ35_gp060,HYQ35_gp060,barely_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818065,HYQ35_gp061,HYQ35_gp061,barely_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818066,HYQ35_gp062,HYQ35_gp062,barely_62,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713278,55818067,HYQ35_gp063,HYQ35_gp063,barely_63,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20200910,-
2713278,55818068,HYQ35_gp064,HYQ35_gp064,barely_64,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
2713278,55818069,HYQ35_gp065,HYQ35_gp065,barely_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818070,HYQ35_gp066,HYQ35_gp066,barely_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818071,HYQ35_gp067,HYQ35_gp067,barely_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818072,HYQ35_gp068,HYQ35_gp068,barely_68,-,-,-,superinfection exclusion protein,protein-coding,-,-,-,superinfection exclusion protein,20210129,-
2713278,55818073,HYQ35_gp069,HYQ35_gp069,barely_69,-,-,-,SPFH domain band 7 family protein,protein-coding,-,-,-,SPFH domain band 7 family protein,20210313,-
2713278,55818074,HYQ35_gp070,HYQ35_gp070,barely_70,-,-,-,DNA-binding family protein,protein-coding,-,-,-,DNA-binding family protein,20200926,-
2713278,55818075,HYQ35_gp071,HYQ35_gp071,barely_71,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20200926,-
2713278,55818076,HYQ35_gp072,HYQ35_gp072,barely_72,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713278,55818077,HYQ35_gp073,HYQ35_gp073,barely_73,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20200919,-
2713278,55818078,HYQ35_gp074,HYQ35_gp074,barely_74,-,-,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20200910,-
2713278,55818079,HYQ35_gp075,HYQ35_gp075,barely_75,-,-,-,sigma factor involved in late transcription,protein-coding,-,-,-,sigma factor involved in late transcription,20210313,-
2713278,55818080,HYQ35_gp076,HYQ35_gp076,barely_76,-,-,-,recombination protein subunit,protein-coding,-,-,-,recombination protein subunit,20200910,-
2713278,55818081,HYQ35_gp077,HYQ35_gp077,barely_77,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210129,-
2713278,55818082,HYQ35_gp078,HYQ35_gp078,barely_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818083,HYQ35_gp079,HYQ35_gp079,barely_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713278,55818084,HYQ35_gp080,HYQ35_gp080,barely_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818085,HYQ35_gp081,HYQ35_gp081,barely_81,-,-,-,protein RegB,protein-coding,-,-,-,protein RegB,20200910,-
2713278,55818086,HYQ35_gp082,HYQ35_gp082,barely_82,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713278,55818087,HYQ35_gp083,HYQ35_gp083,barely_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818088,HYQ35_gp084,HYQ35_gp084,barely_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818089,HYQ35_gp085,HYQ35_gp085,barely_85,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713278,55818090,HYQ35_gp086,HYQ35_gp086,barely_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818091,HYQ35_gp087,HYQ35_gp087,barely_87,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210313,-
2713278,55818092,HYQ35_gp088,HYQ35_gp088,barely_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818093,HYQ35_gp089,HYQ35_gp089,barely_89,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20210313,-
2713278,55818094,HYQ35_gp090,HYQ35_gp090,barely_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818095,HYQ35_gp091,HYQ35_gp091,barely_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818096,HYQ35_gp092,HYQ35_gp092,barely_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
