#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
242507,2674091,MGG_00839,MGG_00839,-,-,5,-,vacuolar protein sorting-associated protein 74,protein-coding,-,-,-,vacuolar protein sorting-associated protein 74,20200919,-
242507,2674092,MGG_00842,MGG_00842,-,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
242507,2674093,MGG_00944,MGG_00944,-,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
242507,2674095,MGG_00451,MGG_00451,-,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
242507,2674096,MGG_01079,MGG_01079,-,-,5,-,Ras-like protein Rab-11A,protein-coding,-,-,-,Ras-like protein Rab-11A,20200919,-
242507,2674097,MGG_00990,MGG_00990,-,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
242507,2674098,MGG_01083,MGG_01083,-,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
242507,2674100,MGG_00482,MGG_00482,-,-,5,-,60S ribosome subunit biogenesis protein NIP7,protein-coding,-,-,-,60S ribosome subunit biogenesis protein NIP7,20200924,-
242507,2674101,MGG_01085,MGG_01085,-,-,5,-,ThiJ/PfpI family protein,protein-coding,-,-,-,ThiJ/PfpI family protein,20200919,-
242507,2674102,MGG_00844,MGG_00844,-,-,5,-,LCCL domain-containing protein,protein-coding,-,-,-,LCCL domain-containing protein,20200919,-
242507,2674103,MGG_00517,MGG_00517,-,-,5,-,pyridoxal kinase,protein-coding,-,-,-,pyridoxal kinase,20200919,-
242507,2674104,MGG_00959,MGG_00959,-,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
242507,2674105,MGG_01149,MGG_01149,-,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
242507,2674106,MGG_00809,MGG_00809,-,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
242507,2674108,MGG_00742,MGG_00742,-,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
242507,2674109,MGG_00230,MGG_00230,-,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
242507,2674111,MGG_00379,MGG_00379,-,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
242507,2674112,MGG_01089,MGG_01089,-,-,5,-,DNA polymerase iota,protein-coding,-,-,-,DNA polymerase iota,20200919,-
242507,2674113,MGG_00394,MGG_00394,-,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
242507,2674115,MGG_00365,MGG_00365,-,-,5,-,guanine nucleotide-binding protein subunit alpha,protein-coding,-,-,-,guanine nucleotide-binding protein subunit alpha,20200924,-
242507,2674116,MGG_00813,MGG_00813,-,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
242507,2674117,MGG_00156,MGG_00156,-,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
