#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229752,13829207,D302_gp002,D302_gp002,-,-,-,-,putative RecA-like protein,protein-coding,-,-,-,putative RecA-like protein,20200629,-
1229752,13829208,D302_gp003,D302_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829209,D302_gp004,D302_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829210,D302_gp005,D302_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829211,D302_gp006,D302_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829212,D302_gp007,D302_gp007,-,-,-,-,DNA polymerase accessory protein sliding clamp loader subunit,protein-coding,-,-,-,DNA polymerase accessory protein sliding clamp loader subunit,20200629,-
1229752,13829213,D302_gp008,D302_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829214,D302_gp009,D302_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829215,D302_gp010,D302_gp010,-,-,-,-,putative dUTP pyrophosphatase,protein-coding,-,-,-,putative dUTP pyrophosphatase,20210424,-
1229752,13829216,D302_gp011,D302_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829217,D302_gp012,D302_gp012,-,-,-,-,putative NAD/FAD-utilizing dehyrogenase,protein-coding,-,-,-,putative NAD/FAD-utilizing dehyrogenase,20200629,-
1229752,13829218,D302_gp013,D302_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829219,D302_gp014,D302_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829220,D302_gp015,D302_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829221,D302_gp016,D302_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829222,D302_gp017,D302_gp017,-,-,-,-,putative DNA topoisomerase,protein-coding,-,-,-,putative DNA topoisomerase,20200629,-
1229752,13829223,D302_gp018,D302_gp018,-,-,-,-,putative Hef-like homing endonuclease,protein-coding,-,-,-,putative Hef-like homing endonuclease,20200629,-
1229752,13829224,D302_gp019,D302_gp019,-,-,-,-,topoisomerase II large subunit,protein-coding,-,-,-,topoisomerase II large subunit,20200629,-
1229752,13829225,D302_gp020,D302_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829226,D302_gp021,D302_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829227,D302_gp022,D302_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829228,D302_gp023,D302_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829229,D302_gp024,D302_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829230,D302_gp025,D302_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829231,D302_gp026,D302_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829232,D302_gp027,D302_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829233,D302_gp028,D302_gp028,-,-,-,-,putative peptidase,protein-coding,-,-,-,putative peptidase,20200629,-
1229752,13829234,D302_gp029,D302_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829235,D302_gp030,D302_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829236,D302_gp031,D302_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829237,D302_gp032,D302_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829238,D302_gp033,D302_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829239,D302_gp034,D302_gp034,-,-,-,-,putative baseplate hub and tail lysozyme,protein-coding,-,-,-,putative baseplate hub and tail lysozyme,20200629,-
1229752,13829240,D302_gp035,D302_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829241,D302_gp036,D302_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1229752,13829242,D302_gp037,D302_gp037,-,-,-,-,putative Hef-like homing endonuclease,protein-coding,-,-,-,putative Hef-like homing endonuclease,20200629,-
1229752,13829243,D302_gp038,D302_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829244,D302_gp039,D302_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829245,D302_gp040,D302_gp040,-,-,-,-,putative tail tube protein,protein-coding,-,-,-,putative tail tube protein,20200629,-
1229752,13829246,D302_gp041,D302_gp041,-,-,-,-,putative tail tube protein,protein-coding,-,-,-,putative tail tube protein,20210417,-
1229752,13829247,D302_gp042,D302_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829248,D302_gp043,D302_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829249,D302_gp044,D302_gp044,-,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20200629,-
1229752,13829250,D302_gp045,D302_gp045,-,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20200629,-
1229752,13829251,D302_gp046,D302_gp046,-,-,-,-,putative sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,putative sliding clamp DNA polymerase accessory protein,20210417,-
1229752,13829252,D302_gp047,D302_gp047,-,-,-,-,aminidotransferase family protein,protein-coding,-,-,-,aminidotransferase family protein,20200629,-
1229752,13829253,D302_gp048,D302_gp048,-,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20200629,-
1229752,13829254,D302_gp049,D302_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829255,D302_gp050,D302_gp050,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1229752,13829256,D302_gp051,D302_gp051,-,-,-,-,RNaseH ribonuclease,protein-coding,-,-,-,RNaseH ribonuclease,20200629,-
1229752,13829257,D302_gp052,D302_gp052,-,-,-,-,putative clamp loader subunit,protein-coding,-,-,-,putative clamp loader subunit,20200629,-
1229752,13829258,D302_gp053,D302_gp053,-,-,-,-,putative ssDNA binding protein,protein-coding,-,-,-,putative ssDNA binding protein,20210417,-
1229752,13829259,D302_gp054,D302_gp054,-,-,-,-,putative Hef-like homing endonuclease,protein-coding,-,-,-,putative Hef-like homing endonuclease,20200629,-
1229752,13829260,D302_gp055,D302_gp055,-,-,-,-,putative DNA end protector protein,protein-coding,-,-,-,putative DNA end protector protein,20200629,-
1229752,13829261,D302_gp056,D302_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829262,D302_gp057,D302_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829263,D302_gp058,D302_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829264,D302_gp059,D302_gp059,-,-,-,-,thymidylate synthetase,protein-coding,-,-,-,thymidylate synthetase,20200629,-
1229752,13829265,D302_gp060,D302_gp060,-,-,-,-,putative Hef-like homing endonuclease,protein-coding,-,-,-,putative Hef-like homing endonuclease,20200629,-
1229752,13829266,D302_gp061,D302_gp061,-,-,-,-,putative Hef-like homing endonuclease,protein-coding,-,-,-,putative Hef-like homing endonuclease,20200629,-
1229752,13829267,D302_gp062,D302_gp062,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200629,-
1229752,13829268,D302_gp063,D302_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829269,D302_gp064,D302_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829270,D302_gp065,D302_gp065,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200629,-
1229752,13829271,D302_gp066,D302_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829272,D302_gp067,D302_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829273,D302_gp068,D302_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
