#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2565510,55615742,2,HWC17_gp02,SEA_AKONI_2,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210123,-
2565510,55615743,3,HWC17_gp03,SEA_AKONI_3,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210123,-
2565510,55615744,4,HWC17_gp04,SEA_AKONI_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615745,5,HWC17_gp05,SEA_AKONI_5,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200620,-
2565510,55615746,6,HWC17_gp06,SEA_AKONI_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615747,7,HWC17_gp07,SEA_AKONI_7,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210123,-
2565510,55615748,9,HWC17_gp09,SEA_AKONI_9,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210424,-
2565510,55615749,10,HWC17_gp10,SEA_AKONI_10,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
2565510,55615750,11,HWC17_gp11,SEA_AKONI_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615751,12,HWC17_gp12,SEA_AKONI_12,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210123,-
2565510,55615752,13,HWC17_gp13,SEA_AKONI_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615753,14,HWC17_gp14,SEA_AKONI_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615754,15,HWC17_gp15,SEA_AKONI_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615755,16,HWC17_gp16,SEA_AKONI_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615756,17,HWC17_gp17,SEA_AKONI_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2565510,55615757,18,HWC17_gp18,SEA_AKONI_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615758,19,HWC17_gp19,SEA_AKONI_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615759,20,HWC17_gp20,SEA_AKONI_20,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2565510,55615760,21,HWC17_gp21,SEA_AKONI_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615761,22,HWC17_gp22,SEA_AKONI_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615762,23,HWC17_gp23,SEA_AKONI_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615763,24,HWC17_gp24,SEA_AKONI_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615764,25,HWC17_gp25,SEA_AKONI_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615765,26,HWC17_gp26,SEA_AKONI_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615766,27,HWC17_gp27,SEA_AKONI_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615767,28,HWC17_gp28,SEA_AKONI_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615768,29,HWC17_gp29,SEA_AKONI_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615769,30,HWC17_gp30,SEA_AKONI_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615770,31,HWC17_gp31,SEA_AKONI_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615771,32,HWC17_gp32,SEA_AKONI_32,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200620,-
2565510,55615772,33,HWC17_gp33,SEA_AKONI_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615773,34,HWC17_gp34,SEA_AKONI_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615774,35,HWC17_gp35,SEA_AKONI_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2565510,55615775,36,HWC17_gp36,SEA_AKONI_36,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2565510,55615776,37,HWC17_gp37,SEA_AKONI_37,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2565510,55615777,38,HWC17_gp38,SEA_AKONI_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615778,39,HWC17_gp39,SEA_AKONI_39,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210425,-
2565510,55615779,40,HWC17_gp40,SEA_AKONI_40,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2565510,55615780,41,HWC17_gp41,SEA_AKONI_41,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2565510,55615781,42,HWC17_gp42,SEA_AKONI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615782,43,HWC17_gp43,SEA_AKONI_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615783,44,HWC17_gp44,SEA_AKONI_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615784,45,HWC17_gp45,SEA_AKONI_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615785,46,HWC17_gp46,SEA_AKONI_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615786,47,HWC17_gp47,SEA_AKONI_47,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2565510,55615787,48,HWC17_gp48,SEA_AKONI_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615788,49,HWC17_gp49,SEA_AKONI_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615789,50,HWC17_gp50,SEA_AKONI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615790,51,HWC17_gp51,SEA_AKONI_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2565510,55615791,52,HWC17_gp52,SEA_AKONI_52,-,-,-,terminase,protein-coding,-,-,-,terminase,20200620,-
2565510,55615792,53,HWC17_gp53,SEA_AKONI_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615793,54,HWC17_gp54,SEA_AKONI_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615794,55,HWC17_gp55,SEA_AKONI_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615795,8,HWC17_gp08,SEA_AKONI_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55615796,1,HWC17_gp01,SEA_AKONI_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565510,55635932,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
