#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1175657,26623480,terL,AVV52_gp02,PaMx11_02,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201221,-
1175657,26623481,AVV52_gp03,AVV52_gp03,PaMx11_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1175657,26623482,AVV52_gp04,AVV52_gp04,PaMx11_04,-,-,-,morphogenesis protein,protein-coding,-,-,-,morphogenesis protein,20201221,-
1175657,26623483,phoH,AVV52_gp05,PaMx11_05,-,-,-,putative PhoH-like protein,protein-coding,-,-,-,putative PhoH-like protein,20201221,-
1175657,26623484,AVV52_gp06,AVV52_gp06,PaMx11_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623485,AVV52_gp07,AVV52_gp07,PaMx11_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623486,AVV52_gp08,AVV52_gp08,PaMx11_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623487,AVV52_gp09,AVV52_gp09,PaMx11_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623488,AVV52_gp10,AVV52_gp10,PaMx11_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623489,AVV52_gp11,AVV52_gp11,PaMx11_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623490,AVV52_gp12,AVV52_gp12,PaMx11_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623491,AVV52_gp13,AVV52_gp13,PaMx11_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623492,AVV52_gp14,AVV52_gp14,PaMx11_14,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
1175657,26623493,AVV52_gp15,AVV52_gp15,PaMx11_15,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1175657,26623494,AVV52_gp16,AVV52_gp16,PaMx11_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623495,AVV52_gp17,AVV52_gp17,PaMx11_17,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1175657,26623496,AVV52_gp18,AVV52_gp18,PaMx11_18,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
1175657,26623497,AVV52_gp19,AVV52_gp19,PaMx11_19,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1175657,26623498,AVV52_gp20,AVV52_gp20,PaMx11_20,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
1175657,26623499,AVV52_gp21,AVV52_gp21,PaMx11_21,-,-,-,putative tail terminator protein,protein-coding,-,-,-,putative tail terminator protein,20201221,-
1175657,26623500,AVV52_gp22,AVV52_gp22,PaMx11_22,-,-,-,major tail structural protein,protein-coding,-,-,-,major tail structural protein,20201221,-
1175657,26623501,AVV52_gp23,AVV52_gp23,PaMx11_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623502,AVV52_gp24,AVV52_gp24,PaMx11_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623503,AVV52_gp25,AVV52_gp25,PaMx11_25,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201221,-
1175657,26623504,AVV52_gp26,AVV52_gp26,PaMx11_26,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1175657,26623505,AVV52_gp27,AVV52_gp27,PaMx11_27,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
1175657,26623506,AVV52_gp28,AVV52_gp28,PaMx11_28,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1175657,26623507,AVV52_gp29,AVV52_gp29,PaMx11_29,-,-,-,putative virion structural protein,protein-coding,-,-,-,putative virion structural protein,20201221,-
1175657,26623508,AVV52_gp30,AVV52_gp30,PaMx11_30,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1175657,26623509,AVV52_gp31,AVV52_gp31,PaMx11_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623510,AVV52_gp32,AVV52_gp32,PaMx11_32,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1175657,26623511,AVV52_gp33,AVV52_gp33,PaMx11_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623512,AVV52_gp34,AVV52_gp34,PaMx11_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623513,AVV52_gp35,AVV52_gp35,PaMx11_35,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1175657,26623514,AVV52_gp36,AVV52_gp36,PaMx11_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623515,AVV52_gp37,AVV52_gp37,PaMx11_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623516,AVV52_gp38,AVV52_gp38,PaMx11_38,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201221,-
1175657,26623517,AVV52_gp39,AVV52_gp39,PaMx11_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623518,AVV52_gp40,AVV52_gp40,PaMx11_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623519,AVV52_gp41,AVV52_gp41,PaMx11_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623520,uvrD,AVV52_gp42,PaMx11_42,-,-,-,putative UvrD helicase,protein-coding,-,-,-,putative UvrD helicase,20201221,-
1175657,26623521,nrdB,AVV52_gp43,PaMx11_43,-,-,-,putative ribonucleotide reductase small subunit,protein-coding,-,-,-,putative ribonucleotide reductase small subunit,20201221,-
1175657,26623522,nrdA,AVV52_gp44,PaMx11_44,-,-,-,putative ribonucleotide reductase large subunit,protein-coding,-,-,-,putative ribonucleotide reductase large subunit,20201221,-
1175657,26623523,AVV52_gp45,AVV52_gp45,PaMx11_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623524,AVV52_gp46,AVV52_gp46,PaMx11_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623525,AVV52_gp47,AVV52_gp47,PaMx11_47,-,-,-,putative FAD dependent oxidoreductase,protein-coding,-,-,-,putative FAD dependent oxidoreductase,20201221,-
1175657,26623526,AVV52_gp48,AVV52_gp48,PaMx11_48,-,-,-,putative acetyltransferase,protein-coding,-,-,-,putative acetyltransferase,20201221,-
1175657,26623527,AVV52_gp49,AVV52_gp49,PaMx11_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623528,AVV52_gp50,AVV52_gp50,PaMx11_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623529,AVV52_gp51,AVV52_gp51,PaMx11_51,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20201221,-
1175657,26623530,thyA,AVV52_gp52,PaMx11_52,-,-,-,putative HD domain-containing protein,protein-coding,-,-,-,putative HD domain-containing protein,20201221,-
1175657,26623531,AVV52_gp53,AVV52_gp53,PaMx11_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623532,AVV52_gp54,AVV52_gp54,PaMx11_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623533,AVV52_gp55,AVV52_gp55,PaMx11_55,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1175657,26623534,cd,AVV52_gp56,PaMx11_56,-,-,-,putative dCMP deaminase,protein-coding,-,-,-,putative dCMP deaminase,20201221,-
1175657,26623535,AVV52_gp57,AVV52_gp57,PaMx11_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623536,AVV52_gp58,AVV52_gp58,PaMx11_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623537,AVV52_gp59,AVV52_gp59,PaMx11_59,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20201221,-
1175657,26623538,AVV52_gp60,AVV52_gp60,PaMx11_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623539,AVV52_gp61,AVV52_gp61,PaMx11_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623540,AVV52_gp62,AVV52_gp62,PaMx11_62,-,-,-,putative nucleotide pyrophosphohydrolase,protein-coding,-,-,-,putative nucleotide pyrophosphohydrolase,20201221,-
1175657,26623541,AVV52_gp63,AVV52_gp63,PaMx11_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623542,AVV52_gp64,AVV52_gp64,PaMx11_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623543,AVV52_gp65,AVV52_gp65,PaMx11_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623544,AVV52_gp66,AVV52_gp66,PaMx11_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623545,AVV52_gp67,AVV52_gp67,PaMx11_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623546,AVV52_gp68,AVV52_gp68,PaMx11_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623547,AVV52_gp69,AVV52_gp69,PaMx11_69,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20201221,-
1175657,26623548,AVV52_gp70,AVV52_gp70,PaMx11_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623549,AVV52_gp71,AVV52_gp71,PaMx11_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623550,AVV52_gp72,AVV52_gp72,PaMx11_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623551,AVV52_gp73,AVV52_gp73,PaMx11_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623552,AVV52_gp74,AVV52_gp74,PaMx11_74,-,-,-,putative nucleotide triphosphate hydrolase,protein-coding,-,-,-,putative nucleotide triphosphate hydrolase,20201221,-
1175657,26623553,AVV52_gp75,AVV52_gp75,PaMx11_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623554,AVV52_gp76,AVV52_gp76,PaMx11_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623555,AVV52_gp77,AVV52_gp77,PaMx11_77,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201221,-
1175657,26623556,AVV52_gp78,AVV52_gp78,PaMx11_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623557,AVV52_gp79,AVV52_gp79,PaMx11_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623558,AVV52_gp80,AVV52_gp80,PaMx11_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623559,AVV52_gp81,AVV52_gp81,PaMx11_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1175657,26623560,terS,AVV52_gp01,PaMx11_01,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20201221,-
1175657,26680542,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
