#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250320,65114539,2,KNT98_gp02,SEA_FROKOSTDAME_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2250320,65114540,3,KNT98_gp03,SEA_FROKOSTDAME_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2250320,65114541,4,KNT98_gp04,SEA_FROKOSTDAME_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210607,-
2250320,65114542,5,KNT98_gp05,SEA_FROKOSTDAME_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210607,-
2250320,65114543,6,KNT98_gp06,SEA_FROKOSTDAME_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2250320,65114544,7,KNT98_gp07,SEA_FROKOSTDAME_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114545,8,KNT98_gp08,SEA_FROKOSTDAME_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210607,-
2250320,65114546,9,KNT98_gp09,SEA_FROKOSTDAME_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114547,10,KNT98_gp10,SEA_FROKOSTDAME_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114548,11,KNT98_gp11,SEA_FROKOSTDAME_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114549,12,KNT98_gp12,SEA_FROKOSTDAME_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114550,13,KNT98_gp13,SEA_FROKOSTDAME_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210607,-
2250320,65114551,14,KNT98_gp14,SEA_FROKOSTDAME_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2250320,65114552,16,KNT98_gp15,SEA_FROKOSTDAME_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210607,-
2250320,65114553,17,KNT98_gp17,SEA_FROKOSTDAME_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210607,-
2250320,65114554,15,KNT98_gp16,SEA_FROKOSTDAME_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210607,-
2250320,65114555,18,KNT98_gp18,SEA_FROKOSTDAME_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2250320,65114556,19,KNT98_gp19,SEA_FROKOSTDAME_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2250320,65114557,20,KNT98_gp20,SEA_FROKOSTDAME_20,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",protein-coding,-,-,-,"lysin A, L-Ala-D-Glu peptidase domain",20210609,-
2250320,65114558,21,KNT98_gp21,SEA_FROKOSTDAME_21,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20210607,-
2250320,65114559,22,KNT98_gp22,SEA_FROKOSTDAME_22,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
2250320,65114560,23,KNT98_gp23,SEA_FROKOSTDAME_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114561,24,KNT98_gp24,SEA_FROKOSTDAME_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114562,25,KNT98_gp25,SEA_FROKOSTDAME_25,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210607,-
2250320,65114563,26,KNT98_gp26,SEA_FROKOSTDAME_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114564,27,KNT98_gp27,SEA_FROKOSTDAME_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2250320,65114565,28,KNT98_gp28,SEA_FROKOSTDAME_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2250320,65114566,29,KNT98_gp29,SEA_FROKOSTDAME_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114567,30,KNT98_gp30,SEA_FROKOSTDAME_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2250320,65114568,31,KNT98_gp31,SEA_FROKOSTDAME_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114569,32,KNT98_gp32,SEA_FROKOSTDAME_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114570,33,KNT98_gp33,SEA_FROKOSTDAME_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114571,34,KNT98_gp34,SEA_FROKOSTDAME_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114572,35,KNT98_gp35,SEA_FROKOSTDAME_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114573,36,KNT98_gp36,SEA_FROKOSTDAME_36,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210607,-
2250320,65114574,37,KNT98_gp37,SEA_FROKOSTDAME_37,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20210607,-
2250320,65114575,38,KNT98_gp38,SEA_FROKOSTDAME_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114576,39,KNT98_gp39,SEA_FROKOSTDAME_39,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210607,-
2250320,65114577,40,KNT98_gp40,SEA_FROKOSTDAME_40,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2250320,65114578,41,KNT98_gp41,SEA_FROKOSTDAME_41,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2250320,65114579,42,KNT98_gp42,SEA_FROKOSTDAME_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114580,43,KNT98_gp43,SEA_FROKOSTDAME_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114581,44,KNT98_gp44,SEA_FROKOSTDAME_44,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210607,-
2250320,65114582,45,KNT98_gp45,SEA_FROKOSTDAME_45,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2250320,65114583,46,KNT98_gp46,SEA_FROKOSTDAME_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114584,47,KNT98_gp47,SEA_FROKOSTDAME_47,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210607,-
2250320,65114585,48,KNT98_gp48,SEA_FROKOSTDAME_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114586,49,KNT98_gp49,SEA_FROKOSTDAME_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114587,50,KNT98_gp50,SEA_FROKOSTDAME_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114588,51,KNT98_gp51,SEA_FROKOSTDAME_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114589,52,KNT98_gp52,SEA_FROKOSTDAME_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114590,53,KNT98_gp53,SEA_FROKOSTDAME_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114591,54,KNT98_gp54,SEA_FROKOSTDAME_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114592,55,KNT98_gp55,SEA_FROKOSTDAME_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114593,56,KNT98_gp56,SEA_FROKOSTDAME_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114594,57,KNT98_gp57,SEA_FROKOSTDAME_57,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2250320,65114595,58,KNT98_gp58,SEA_FROKOSTDAME_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114596,59,KNT98_gp59,SEA_FROKOSTDAME_59,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210607,-
2250320,65114597,60,KNT98_gp60,SEA_FROKOSTDAME_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114598,61,KNT98_gp61,SEA_FROKOSTDAME_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114599,62,KNT98_gp62,SEA_FROKOSTDAME_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114600,63,KNT98_gp63,SEA_FROKOSTDAME_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114601,64,KNT98_gp64,SEA_FROKOSTDAME_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114602,65,KNT98_gp65,SEA_FROKOSTDAME_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114603,66,KNT98_gp66,SEA_FROKOSTDAME_66,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210607,-
2250320,65114604,67,KNT98_gp67,SEA_FROKOSTDAME_67,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210607,-
2250320,65114605,68,KNT98_gp68,SEA_FROKOSTDAME_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114606,69,KNT98_gp69,SEA_FROKOSTDAME_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114607,70,KNT98_gp70,SEA_FROKOSTDAME_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114608,71,KNT98_gp71,SEA_FROKOSTDAME_71,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
