#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027903,60334767,I5H97_gp002,I5H97_gp002,SEA_WACHHUND_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2027903,60334768,I5H97_gp003,I5H97_gp003,SEA_WACHHUND_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210406,-
2027903,60334769,I5H97_gp004,I5H97_gp004,SEA_WACHHUND_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2027903,60334770,I5H97_gp005,I5H97_gp005,SEA_WACHHUND_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210424,-
2027903,60334771,I5H97_gp006,I5H97_gp006,SEA_WACHHUND_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2027903,60334772,I5H97_gp007,I5H97_gp007,SEA_WACHHUND_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2027903,60334773,I5H97_gp008,I5H97_gp008,SEA_WACHHUND_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2027903,60334774,I5H97_gp009,I5H97_gp009,SEA_WACHHUND_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2027903,60334775,I5H97_gp010,I5H97_gp010,SEA_WACHHUND_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2027903,60334776,I5H97_gp011,I5H97_gp011,SEA_WACHHUND_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2027903,60334777,I5H97_gp012,I5H97_gp012,SEA_WACHHUND_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2027903,60334778,I5H97_gp014,I5H97_gp014,SEA_WACHHUND_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2027903,60334779,I5H97_gp013,I5H97_gp013,SEA_WACHHUND_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2027903,60334780,I5H97_gp015,I5H97_gp015,SEA_WACHHUND_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027903,60334781,I5H97_gp016,I5H97_gp016,SEA_WACHHUND_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027903,60334782,I5H97_gp017,I5H97_gp017,SEA_WACHHUND_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027903,60334783,I5H97_gp018,I5H97_gp018,SEA_WACHHUND_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027903,60334784,I5H97_gp019,I5H97_gp019,SEA_WACHHUND_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2027903,60334785,I5H97_gp020,I5H97_gp020,SEA_WACHHUND_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027903,60334786,I5H97_gp021,I5H97_gp021,SEA_WACHHUND_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027903,60334787,I5H97_gp022,I5H97_gp022,SEA_WACHHUND_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027903,60334788,I5H97_gp023,I5H97_gp023,SEA_WACHHUND_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027903,60334789,I5H97_gp024,I5H97_gp024,SEA_WACHHUND_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027903,60334790,I5H97_gp025,I5H97_gp025,SEA_WACHHUND_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210129,-
2027903,60334791,I5H97_gp026,I5H97_gp026,SEA_WACHHUND_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334792,I5H97_gp027,I5H97_gp027,SEA_WACHHUND_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334793,I5H97_gp028,I5H97_gp028,SEA_WACHHUND_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334794,I5H97_gp029,I5H97_gp029,SEA_WACHHUND_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334795,I5H97_gp030,I5H97_gp030,SEA_WACHHUND_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2027903,60334796,I5H97_gp031,I5H97_gp031,SEA_WACHHUND_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2027903,60334797,I5H97_gp032,I5H97_gp032,SEA_WACHHUND_32,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
2027903,60334798,I5H97_gp033,I5H97_gp033,SEA_WACHHUND_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2027903,60334799,I5H97_gp034,I5H97_gp034,SEA_WACHHUND_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334800,I5H97_gp035,I5H97_gp035,SEA_WACHHUND_35,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210424,-
2027903,60334801,I5H97_gp036,I5H97_gp036,SEA_WACHHUND_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334802,I5H97_gp037,I5H97_gp037,SEA_WACHHUND_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
