#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027272,55808424,HYP50_gp02,HYP50_gp02,LP0903_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2027272,55808425,HYP50_gp03,HYP50_gp03,LP0903_03,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200912,-
2027272,55808426,HYP50_gp04,HYP50_gp04,LP0903_04,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2027272,55808427,HYP50_gp05,HYP50_gp05,LP0903_05,-,-,-,protease,protein-coding,-,-,-,protease,20210424,-
2027272,55808428,HYP50_gp06,HYP50_gp06,LP0903_06,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200704,-
2027272,55808429,HYP50_gp07,HYP50_gp07,LP0903_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808430,HYP50_gp08,HYP50_gp08,LP0903_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808431,HYP50_gp09,HYP50_gp09,LP0903_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808432,HYP50_gp10,HYP50_gp10,LP0903_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808433,HYP50_gp11,HYP50_gp11,LP0903_11,-,-,-,neck passage structure,protein-coding,-,-,-,neck passage structure,20210424,-
2027272,55808434,HYP50_gp12,HYP50_gp12,LP0903_13,-,-,-,major tail protein extension,protein-coding,-,-,-,major tail protein extension,20210424,-
2027272,55808435,HYP50_gp14,HYP50_gp14,LP0903_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808436,HYP50_gp13,HYP50_gp13,LP0903_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210424,-
2027272,55808437,HYP50_gp15,HYP50_gp15,LP0903_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808438,HYP50_gp16,HYP50_gp16,LP0903_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2027272,55808439,HYP50_gp17,HYP50_gp17,LP0903_17,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20210424,-
2027272,55808440,HYP50_gp18,HYP50_gp18,LP0903_18,-,-,-,tail associated lysin,protein-coding,-,-,-,tail associated lysin,20210424,-
2027272,55808441,HYP50_gp19,HYP50_gp19,LP0903_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808442,HYP50_gp20,HYP50_gp20,LP0903_20,-,-,-,receptor binding protein,protein-coding,-,-,-,receptor binding protein,20210424,-
2027272,55808443,HYP50_gp21,HYP50_gp21,LP0903_21,-,-,-,holin,protein-coding,-,-,-,holin,20200704,-
2027272,55808444,HYP50_gp22,HYP50_gp22,LP0903_22,-,-,-,lysin,protein-coding,-,-,-,lysin,20210424,-
2027272,55808445,HYP50_gp23,HYP50_gp23,LP0903_23,-,-,-,putative lytic transglycosylase,protein-coding,-,-,-,putative lytic transglycosylase,20210515,-
2027272,55808446,HYP50_gp24,HYP50_gp24,LP0903_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808447,HYP50_gp25,HYP50_gp25,LP0903_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808448,HYP50_gp26,HYP50_gp26,LP0903_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808449,HYP50_gp27,HYP50_gp27,LP0903_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808450,HYP50_gp28,HYP50_gp28,LP0903_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808451,HYP50_gp29,HYP50_gp29,LP0903_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808452,HYP50_gp30,HYP50_gp30,LP0903_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808453,HYP50_gp31,HYP50_gp31,LP0903_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2027272,55808454,HYP50_gp32,HYP50_gp32,LP0903_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808455,HYP50_gp33,HYP50_gp33,LP0903_33,-,-,-,methylase,protein-coding,-,-,-,methylase,20200704,-
2027272,55808456,HYP50_gp34,HYP50_gp34,LP0903_34,-,-,-,methylase,protein-coding,-,-,-,methylase,20200704,-
2027272,55808457,HYP50_gp35,HYP50_gp35,LP0903_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808458,HYP50_gp36,HYP50_gp36,LP0903_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808459,HYP50_gp37,HYP50_gp37,LP0903_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808460,HYP50_gp38,HYP50_gp38,LP0903_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808461,HYP50_gp39,HYP50_gp39,LP0903_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808462,HYP50_gp40,HYP50_gp40,LP0903_40,-,-,-,SSB protein,protein-coding,-,-,-,SSB protein,20210424,-
2027272,55808463,HYP50_gp41,HYP50_gp41,LP0903_41,-,-,-,SAK protein,protein-coding,-,-,-,SAK protein,20210424,-
2027272,55808464,HYP50_gp42,HYP50_gp42,LP0903_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808465,HYP50_gp43,HYP50_gp43,LP0903_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808466,HYP50_gp44,HYP50_gp44,LP0903_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808467,HYP50_gp45,HYP50_gp45,LP0903_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2027272,55808468,HYP50_gp46,HYP50_gp46,LP0903_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808469,HYP50_gp47,HYP50_gp47,LP0903_47,-,-,-,repressor protein/antirepressor,protein-coding,-,-,-,repressor protein/antirepressor,20210424,-
2027272,55808470,HYP50_gp48,HYP50_gp48,LP0903_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808471,HYP50_gp49,HYP50_gp49,LP0903_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808472,HYP50_gp50,HYP50_gp50,LP0903_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808473,HYP50_gp51,HYP50_gp51,LP0903_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808474,HYP50_gp52,HYP50_gp52,LP0903_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808475,HYP50_gp53,HYP50_gp53,LP0903_53,-,-,-,holiday junction endonuclease,protein-coding,-,-,-,holiday junction endonuclease,20210424,-
2027272,55808476,HYP50_gp54,HYP50_gp54,LP0903_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2027272,55808477,HYP50_gp01,HYP50_gp01,LP0903_01,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201010,-
2027272,55863457,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
