#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483671,63026049,2,J1761_gp02,SEA_KROOS_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2483671,63026050,3,J1761_gp03,SEA_KROOS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026051,4,J1761_gp04,SEA_KROOS_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026052,5,J1761_gp05,SEA_KROOS_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026053,6,J1761_gp06,SEA_KROOS_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026054,7,J1761_gp07,SEA_KROOS_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026055,8,J1761_gp08,SEA_KROOS_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026056,9,J1761_gp09,SEA_KROOS_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026057,10,J1761_gp10,SEA_KROOS_10,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210417,-
2483671,63026058,11,J1761_gp11,SEA_KROOS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2483671,63026059,12,J1761_gp12,SEA_KROOS_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210309,-
2483671,63026060,13,J1761_gp13,SEA_KROOS_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026061,14,J1761_gp14,SEA_KROOS_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026062,15,J1761_gp15,SEA_KROOS_15,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210309,-
2483671,63026063,16,J1761_gp16,SEA_KROOS_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026064,17,J1761_gp17,SEA_KROOS_17,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210309,-
2483671,63026065,18,J1761_gp18,SEA_KROOS_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026066,19,J1761_gp19,SEA_KROOS_19,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210309,-
2483671,63026067,20,J1761_gp20,SEA_KROOS_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026068,21,J1761_gp21,SEA_KROOS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026069,22,J1761_gp22,SEA_KROOS_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
