#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1566993,23680843,ArV1_002,ArV1_002,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1566993,23680844,ArV1_003,ArV1_003,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1566993,23680845,ArV1_004,ArV1_004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680846,ArV1_005,ArV1_005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680847,ArV1_006,ArV1_006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680848,ArV1_007,ArV1_007,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1566993,23680849,ArV1_008,ArV1_008,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1566993,23680850,ArV1_009,ArV1_009,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1566993,23680851,ArV1_010,ArV1_010,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1566993,23680852,ArV1_011,ArV1_011,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1566993,23680853,ArV1_012,ArV1_012,-,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20201221,-
1566993,23680854,ArV1_013,ArV1_013,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1566993,23680855,ArV1_014,ArV1_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680856,ArV1_015,ArV1_015,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20201221,-
1566993,23680857,ArV1_016,ArV1_016,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1566993,23680858,ArV1_017,ArV1_017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680859,ArV1_018,ArV1_018,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1566993,23680860,ArV1_019,ArV1_019,-,-,-,-,peptidoglycan-binding protein LysM,protein-coding,-,-,-,peptidoglycan-binding protein LysM,20201221,-
1566993,23680861,ArV1_020,ArV1_020,-,-,-,-,CHAP domain protein,protein-coding,-,-,-,CHAP domain protein,20201221,-
1566993,23680862,ArV1_021,ArV1_021,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1566993,23680863,ArV1_022,ArV1_022,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
1566993,23680864,ArV1_023,ArV1_023,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1566993,23680865,ArV1_024,ArV1_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680866,ArV1_025,ArV1_025,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
1566993,23680867,ArV1_026,ArV1_026,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1566993,23680868,ArV1_027,ArV1_027,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1566993,23680869,ArV1_028,ArV1_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680870,ArV1_029,ArV1_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680871,ArV1_030,ArV1_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680872,ArV1_031,ArV1_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680873,ArV1_032,ArV1_032,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201221,-
1566993,23680874,ArV1_033,ArV1_033,-,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20201221,-
