#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1916701,37616877,D1Q00_gp002,D1Q00_gp002,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20180826,-
1916701,37616878,D1Q00_gp003,D1Q00_gp003,-,-,-,-,pk1,protein-coding,-,-,-,pk1,20181103,-
1916701,37616879,D1Q00_gp004,D1Q00_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616880,D1Q00_gp005,D1Q00_gp005,-,-,-,-,p10,protein-coding,-,-,-,p10,20181103,-
1916701,37616881,D1Q00_gp006,D1Q00_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616882,D1Q00_gp007,D1Q00_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616883,D1Q00_gp008,D1Q00_gp008,-,-,-,-,ie1,protein-coding,-,-,-,ie1,20180826,-
1916701,37616884,D1Q00_gp009,D1Q00_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
1916701,37616885,D1Q00_gp010,D1Q00_gp010,-,-,-,-,chtBD2,protein-coding,-,-,-,chtBD2,20181103,-
1916701,37616886,D1Q00_gp011,D1Q00_gp011,-,-,-,-,p49,protein-coding,-,-,-,p49,20181110,-
1916701,37616887,D1Q00_gp012,D1Q00_gp012,-,-,-,-,ring,protein-coding,-,-,-,ring,20181110,-
1916701,37616888,D1Q00_gp013,D1Q00_gp013,-,-,-,-,odv-e56,protein-coding,-,-,-,odv-e56,20181110,-
1916701,37616889,D1Q00_gp014,D1Q00_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616890,D1Q00_gp015,D1Q00_gp015,-,-,-,-,pep,protein-coding,-,-,-,pep,20181103,-
1916701,37616891,D1Q00_gp016,D1Q00_gp016,-,-,-,-,pep,protein-coding,-,-,-,pep,20181110,-
1916701,37616892,D1Q00_gp017,D1Q00_gp017,-,-,-,-,pep,protein-coding,-,-,-,pep,20181103,-
1916701,37616893,D1Q00_gp018,D1Q00_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
1916701,37616894,D1Q00_gp019,D1Q00_gp019,-,-,-,-,p94,protein-coding,-,-,-,p94,20180826,-
1916701,37616895,D1Q00_gp020,D1Q00_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
1916701,37616896,D1Q00_gp021,D1Q00_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616897,D1Q00_gp022,D1Q00_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616898,D1Q00_gp023,D1Q00_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616899,D1Q00_gp024,D1Q00_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616900,D1Q00_gp025,D1Q00_gp025,-,-,-,-,efp,protein-coding,-,-,-,efp,20181110,-
1916701,37616901,D1Q00_gp026,D1Q00_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616902,D1Q00_gp027,D1Q00_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616903,D1Q00_gp028,D1Q00_gp028,-,-,-,-,pif-3,protein-coding,-,-,-,pif-3,20181103,-
1916701,37616904,D1Q00_gp029,D1Q00_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
1916701,37616905,D1Q00_gp030,D1Q00_gp030,-,-,-,-,lef-2,protein-coding,-,-,-,lef-2,20181110,-
1916701,37616906,D1Q00_gp031,D1Q00_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616907,D1Q00_gp032,D1Q00_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616908,D1Q00_gp033,D1Q00_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
