#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
101852,19488572,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20140527,-
101852,29289380,rps3,BKI48_gp19,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,-,20170210,-
101852,29289381,trnR(tcg),BKI48_gt28,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161014,-
101852,29289382,trnF(aaa),BKI48_gt29,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161014,-
101852,29289383,nad2,BKI48_gp07,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,-,20170210,-
101852,29289384,atp8,BKI48_gp05,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,-,20170210,-
101852,29289385,rns,BKI48_gr02,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20161014,-
101852,29289386,trnY(gta),BKI48_gt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161014,-
101852,29289387,trnN(gtt),BKI48_gt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161014,-
101852,29289388,trnR(tcg),BKI48_gt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161014,-
101852,29289389,nad6,BKI48_gp22,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,-,20170210,-
101852,29289390,trnV(tac),BKI48_gt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161014,-
101852,29289391,cox3,BKI48_gp21,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,-,20170210,-
101852,29289392,trnK(ttt),BKI48_gt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161014,-
101852,29289393,trnG(tcc),BKI48_gt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161014,-
101852,29289394,atp9,BKI48_gp20,-,-,MT,-,ATP synthase F0 subunit c,protein-coding,-,-,-,-,20200912,-
101852,29289395,trnD(gtc),BKI48_gt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20161014,-
