#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1662331,40080134,FDH88_gp02,FDH88_gp02,RCSPARTAN_2,-,-,-,peptidase M15,protein-coding,-,-,-,peptidase M15,20201221,-
1662331,40080135,FDH88_gp03,FDH88_gp03,RCSPARTAN_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080136,FDH88_gp04,FDH88_gp04,RCSPARTAN_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080137,FDH88_gp05,FDH88_gp05,RCSPARTAN_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080138,FDH88_gp06,FDH88_gp06,RCSPARTAN_6,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1662331,40080139,FDH88_gp07,FDH88_gp07,RCSPARTAN_7,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1662331,40080140,FDH88_gp08,FDH88_gp08,RCSPARTAN_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1662331,40080141,FDH88_gp09,FDH88_gp09,RCSPARTAN_9,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1662331,40080142,FDH88_gp10,FDH88_gp10,RCSPARTAN_10,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1662331,40080143,FDH88_gp11,FDH88_gp11,RCSPARTAN_11,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1662331,40080144,FDH88_gp12,FDH88_gp12,RCSPARTAN_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080145,FDH88_gp13,FDH88_gp13,RCSPARTAN_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080146,FDH88_gp14,FDH88_gp14,RCSPARTAN_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080147,FDH88_gp15,FDH88_gp15,RCSPARTAN_15,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20201221,-
