#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229794,13827456,2,D296_gp02,ATCC29399BC_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1229794,13827457,3,D296_gp03,ATCC29399BC_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
1229794,13827458,4,D296_gp04,ATCC29399BC_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1229794,13827459,5,D296_gp05,ATCC29399BC_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1229794,13827460,6,D296_gp06,ATCC29399BC_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1229794,13827461,7,D296_gp07,ATCC29399BC_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1229794,13827462,8,D296_gp08,ATCC29399BC_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827463,9,D296_gp09,ATCC29399BC_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827464,10,D296_gp10,ATCC29399BC_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827465,11,D296_gp11,ATCC29399BC_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1229794,13827466,13,D296_gp12,ATCC29399BC_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229794,13827467,14,D296_gp14,ATCC29399BC_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210123,-
1229794,13827468,12,D296_gp13,ATCC29399BC_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229794,13827469,15,D296_gp15,ATCC29399BC_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
1229794,13827470,16,D296_gp16,ATCC29399BC_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
1229794,13827471,17,D296_gp17,ATCC29399BC_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
1229794,13827472,18,D296_gp18,ATCC29399BC_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827473,19,D296_gp19,ATCC29399BC_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229794,13827474,20,D296_gp20,ATCC29399BC_20,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210123,-
1229794,13827475,21,D296_gp21,ATCC29399BC_21,-,-,-,holin,protein-coding,-,-,-,holin,20210123,-
1229794,13827476,22,D296_gp22,ATCC29399BC_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827477,23,D296_gp23,ATCC29399BC_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1229794,13827478,24,D296_gp24,ATCC29399BC_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827479,25,D296_gp25,ATCC29399BC_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827480,26,D296_gp26,ATCC29399BC_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827481,27,D296_gp27,ATCC29399BC_27,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1229794,13827482,28,D296_gp28,ATCC29399BC_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827483,29,D296_gp29,ATCC29399BC_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827484,30,D296_gp30,ATCC29399BC_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1229794,13827485,31,D296_gp31,ATCC29399BC_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1229794,13827486,33,D296_gp33,ATCC29399BC_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1229794,13827487,34,D296_gp34,ATCC29399BC_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827488,35,D296_gp35,ATCC29399BC_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827489,36,D296_gp36,ATCC29399BC_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1229794,13827490,37,D296_gp37,ATCC29399BC_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1229794,13827491,38,D296_gp38,ATCC29399BC_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827492,39,D296_gp39,ATCC29399BC_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827493,40,D296_gp40,ATCC29399BC_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827494,41,D296_gp41,ATCC29399BC_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827495,42,D296_gp42,ATCC29399BC_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827496,43,D296_gp43,ATCC29399BC_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827497,44,D296_gp44,ATCC29399BC_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827498,46,D296_gp46,ATCC29399BC_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1229794,13827499,32,D296_gp32,ATCC29399BC_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827500,45,D296_gp45,ATCC29399BC_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229794,13827501,1,D296_gp01,ATCC29399BC_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1229794,13839505,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Propionibacterium acnes phage ATCC29399B_C).,other,-,-,-,-,20200513,-
