#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5325,19488566,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bjerkandera versicolor; Boletus versicolor; Coriolus versicolor; Microporus versicolor; Poria versicolor).,other,-,-,-,-,20181022,-
5325,63652923,orf322,J6772_mgp02,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210529,-
5325,63652924,orf324,J6772_mgp03,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210529,-
5325,63652925,orf380,J6772_mgp04,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210529,-
5325,63652926,orf363,J6772_mgp05,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
5325,63652927,orf316,J6772_mgp06,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210529,-
5325,63652928,orf324,J6772_mgp07,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210529,-
5325,63652929,orf345,J6772_mgp08,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210529,-
5325,63652930,orf425,J6772_mgp09,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210529,-
5325,63652931,orf320,J6772_mgp10,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210529,-
5325,63652932,orf247,J6772_mgp11,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210529,-
5325,63652933,orf118,J6772_mgp12,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
5325,63652934,orf267,J6772_mgp13,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210529,-
5325,63652935,nad4,J6772_mgp14,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20210529,-
5325,63652936,trnA(tgc),J6772_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652937,trnF(gaa),J6772_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652938,trnT(tgt),J6772_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652939,trnQ(ttg),J6772_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652940,trnK(ttt),J6772_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652941,trnY(gta),J6772_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652942,trnM(cat),J6772_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652943,trnS(tga),J6772_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652944,trnS(gct),J6772_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652945,nad2,J6772_mgp38,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20210529,-
5325,63652946,nad3,J6772_mgp37,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210529,-
5325,63652947,trnG(tcc),J6772_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652948,trnW(cca),J6772_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652949,trnD(gtc),J6772_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652950,atp9,J6772_mgp36,-,-,MT,-,ATP synthase F0 subunit c,protein-coding,-,-,-,ATP synthase F0 subunit c,20210418,-
5325,63652951,orf576,J6772_mgp35,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210418,-
5325,63652952,rnl,J6772_mgr02,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20210418,-
5325,63652953,orf424,J6772_mgp34,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210529,-
5325,63652954,orf239,J6772_mgp33,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
5325,63652955,nad5,J6772_mgp32,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20210529,-
5325,63652956,nad4L,J6772_mgp31,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20210418,-
5325,63652957,cox3,J6772_mgp30,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20210529,-
5325,63652958,orf436,J6772_mgp29,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
5325,63652959,trnS(gct),J6772_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652960,trnR(tct),J6772_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652961,atp8,J6772_mgp28,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,ATP synthase F0 subunit 8,20210529,-
5325,63652962,trnE(ttc),J6772_mgt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652963,trnC(gca),J6772_mgt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652964,orf955,J6772_mgp27,-,-,MT,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210529,-
5325,63652965,orf528,J6772_mgp26,-,-,MT,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20210529,-
5325,63652966,orf759,J6772_mgp25,-,-,MT,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20210529,-
5325,63652967,orf253,J6772_mgp24,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210529,-
5325,63652968,orf113,J6772_mgp23,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
5325,63652969,orf110,J6772_mgp22,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
5325,63652970,orf112,J6772_mgp21,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
