#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1028375,54969966,HOQ69_gp001,HOQ69_gp001,-,-,-,-,terminase large subunit family protein,protein-coding,-,-,-,terminase large subunit family protein,20210130,-
1028375,54969967,HOQ69_gp174,HOQ69_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969968,HOQ69_gp215,HOQ69_gp215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969969,tRNA-Asp,HOQ69_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1028375,54969970,tRNA-Phe,HOQ69_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1028375,54969971,HOQ69_gp002,HOQ69_gp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969972,HOQ69_gp003,HOQ69_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969973,HOQ69_gp004,HOQ69_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969974,HOQ69_gp005,HOQ69_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969975,HOQ69_gp006,HOQ69_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969976,HOQ69_gp007,HOQ69_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1028375,54969977,HOQ69_gp008,HOQ69_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969978,HOQ69_gp009,HOQ69_gp009,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210320,-
1028375,54969979,HOQ69_gp010,HOQ69_gp010,-,-,-,-,HK97 familygprohead protease,protein-coding,-,-,-,HK97 familygprohead protease,20201220,-
1028375,54969980,HOQ69_gp011,HOQ69_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969981,HOQ69_gp012,HOQ69_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969982,HOQ69_gp013,HOQ69_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969983,HOQ69_gp014,HOQ69_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969984,HOQ69_gp015,HOQ69_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969985,HOQ69_gp016,HOQ69_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969986,HOQ69_gp017,HOQ69_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969987,HOQ69_gp018,HOQ69_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969988,HOQ69_gp019,HOQ69_gp019,-,-,-,-,putative major tail sheath protein,protein-coding,-,-,-,putative major tail sheath protein,20210130,-
1028375,54969989,HOQ69_gp020,HOQ69_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969990,HOQ69_gp021,HOQ69_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969991,HOQ69_gp022,HOQ69_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969992,HOQ69_gp023,HOQ69_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969993,HOQ69_gp024,HOQ69_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969994,HOQ69_gp025,HOQ69_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969995,HOQ69_gp026,HOQ69_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969996,HOQ69_gp027,HOQ69_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1028375,54969997,HOQ69_gp028,HOQ69_gp028,-,-,-,-,CHAP domain-containing protein,protein-coding,-,-,-,CHAP domain-containing protein,20201220,-
1028375,54969998,HOQ69_gp029,HOQ69_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54969999,HOQ69_gp030,HOQ69_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1028375,54970000,HOQ69_gp031,HOQ69_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970001,HOQ69_gp032,HOQ69_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970002,HOQ69_gp033,HOQ69_gp033,-,-,-,-,DUF2634 domain-containing protein,protein-coding,-,-,-,DUF2634 domain-containing protein,20210130,-
1028375,54970003,HOQ69_gp034,HOQ69_gp034,-,-,-,-,baseplate J/gp47 family protein,protein-coding,-,-,-,baseplate J/gp47 family protein,20210320,-
1028375,54970004,HOQ69_gp035,HOQ69_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970005,HOQ69_gp036,HOQ69_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970006,HOQ69_gp037,HOQ69_gp037,-,-,-,-,DUF4815 domain-containing protein,protein-coding,-,-,-,DUF4815 domain-containing protein,20201220,-
1028375,54970007,HOQ69_gp038,HOQ69_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970008,HOQ69_gp039,HOQ69_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1028375,54970009,HOQ69_gp040,HOQ69_gp040,-,-,-,-,DUF2977 domain-containing protein,protein-coding,-,-,-,DUF2977 domain-containing protein,20201220,-
1028375,54970010,HOQ69_gp041,HOQ69_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210130,-
1028375,54970011,HOQ69_gp042,HOQ69_gp042,-,-,-,-,DEAD/DEAH box helicase family protein,protein-coding,-,-,-,DEAD/DEAH box helicase family protein,20201220,-
1028375,54970012,HOQ69_gp043,HOQ69_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970013,HOQ69_gp044,HOQ69_gp044,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201220,-
1028375,54970014,HOQ69_gp045,HOQ69_gp045,-,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210130,-
1028375,54970015,HOQ69_gp046,HOQ69_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970016,HOQ69_gp047,HOQ69_gp047,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201220,-
1028375,54970017,HOQ69_gp048,HOQ69_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970018,HOQ69_gp049,HOQ69_gp049,-,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20210130,-
1028375,54970019,HOQ69_gp050,HOQ69_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970020,HOQ69_gp051,HOQ69_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970021,HOQ69_gp052,HOQ69_gp052,-,-,-,-,ORF064,protein-coding,-,-,-,ORF064,20210129,-
1028375,54970022,HOQ69_gp053,HOQ69_gp053,-,-,-,-,class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,protein-coding,-,-,-,class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,20210320,-
1028375,54970023,HOQ69_gp054,HOQ69_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970024,HOQ69_gp055,HOQ69_gp055,-,-,-,-,ribonucleotide-diphosphate reductase subunit beta,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit beta,20210130,-
1028375,54970025,HOQ69_gp056,HOQ69_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970026,HOQ69_gp057,HOQ69_gp057,-,-,-,-,thiol reductase thioredoxin,protein-coding,-,-,-,thiol reductase thioredoxin,20210320,-
1028375,54970027,HOQ69_gp058,HOQ69_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970028,HOQ69_gp059,HOQ69_gp059,-,-,-,-,HU family DNA-binding protein,protein-coding,-,-,-,HU family DNA-binding protein,20210130,-
1028375,54970029,HOQ69_gp060,HOQ69_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1028375,54970030,HOQ69_gp061,HOQ69_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970031,HOQ69_gp062,HOQ69_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1028375,54970032,HOQ69_gp063,HOQ69_gp063,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210130,-
1028375,54970033,HOQ69_gp064,HOQ69_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210130,-
1028375,54970034,HOQ69_gp065,HOQ69_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970035,HOQ69_gp066,HOQ69_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210130,-
1028375,54970036,HOQ69_gp067,HOQ69_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970037,HOQ69_gp068,HOQ69_gp068,-,-,-,-,putative DNA repair protein,protein-coding,-,-,-,putative DNA repair protein,20210130,-
1028375,54970038,HOQ69_gp069,HOQ69_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970039,HOQ69_gp070,HOQ69_gp070,-,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20210130,-
1028375,54970040,HOQ69_gp071,HOQ69_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970041,HOQ69_gp072,HOQ69_gp072,-,-,-,-,Ig domain-containing protein,protein-coding,-,-,-,Ig domain-containing protein,20201220,-
1028375,54970042,HOQ69_gp073,HOQ69_gp073,-,-,-,-,ORF189,protein-coding,-,-,-,ORF189,20201220,-
1028375,54970043,HOQ69_gp074,HOQ69_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970044,HOQ69_gp075,HOQ69_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970045,HOQ69_gp076,HOQ69_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970046,HOQ69_gp077,HOQ69_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970047,HOQ69_gp078,HOQ69_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970048,HOQ69_gp079,HOQ69_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970049,HOQ69_gp080,HOQ69_gp080,-,-,-,-,sce7726 family protein,protein-coding,-,-,-,sce7726 family protein,20210129,-
1028375,54970050,HOQ69_gp081,HOQ69_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970051,HOQ69_gp082,HOQ69_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
