#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2014434,58571995,H7U15_gp004,H7U15_gp004,D6_4,-,-,-,late gene transcriptional activator,protein-coding,-,-,-,late gene transcriptional activator,20201221,-
2014434,58571996,H7U15_gp003,H7U15_gp003,D6_3,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2014434,58571997,H7U15_gt001,H7U15_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2014434,58571998,H7U15_gp001,H7U15_gp001,D6_1,-,-,-,prophage repressor,protein-coding,-,-,-,prophage repressor,20200910,-
2014434,58571999,H7U15_gp117,H7U15_gp117,D6_10,-,-,-,putative morphogenetic function protein,protein-coding,-,-,-,putative morphogenetic function protein,20200910,-
2014434,58572000,H7U15_gp116,H7U15_gp116,D6_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572001,H7U15_gp002,H7U15_gp002,D6_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210417,-
2014434,58572002,H7U15_gp114,H7U15_gp114,D6_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572003,H7U15_gp112,H7U15_gp112,D6_15,-,-,-,defense against restriction,protein-coding,-,-,-,defense against restriction,20210417,-
2014434,58572004,H7U15_gp111,H7U15_gp111,D6_16,-,-,-,putative peptidoglycan hydrolase,protein-coding,-,-,-,putative peptidoglycan hydrolase,20210123,-
2014434,58572005,H7U15_gp108,H7U15_gp108,D6_19,-,-,-,inhibition of cell division,protein-coding,-,-,-,inhibition of cell division,20210116,-
2014434,58572006,H7U15_gp107,H7U15_gp107,D6_20,-,-,-,lytic replication protein,protein-coding,-,-,-,lytic replication protein,20200910,-
2014434,58572007,H7U15_gp105,H7U15_gp105,D6_22,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
2014434,58572008,H7U15_gp104,H7U15_gp104,D6_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572009,H7U15_gp100,H7U15_gp100,D6_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2014434,58572010,H7U15_gp099,H7U15_gp099,D6_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2014434,58572011,H7U15_gp098,H7U15_gp098,D6_29,-,-,-,holin antagonist,protein-coding,-,-,-,holin antagonist,20200912,-
2014434,58572012,H7U15_gp097,H7U15_gp097,D6_30,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
2014434,58572013,H7U15_gp096,H7U15_gp096,D6_31,-,-,-,DNA invertase,protein-coding,-,-,-,DNA invertase,20210129,-
2014434,58572014,H7U15_gp094,H7U15_gp094,D6_33,-,-,-,tail fiber assembly protein,protein-coding,-,-,-,tail fiber assembly protein,20210417,-
