#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2592659,60327651,2,I5H29_gp02,SEA_DOUG_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210406,-
2592659,60327652,3,I5H29_gp03,SEA_DOUG_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2592659,60327653,4,I5H29_gp04,SEA_DOUG_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2592659,60327654,5,I5H29_gp05,SEA_DOUG_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210424,-
2592659,60327655,6,I5H29_gp06,SEA_DOUG_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
2592659,60327656,7,I5H29_gp07,SEA_DOUG_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2592659,60327657,8,I5H29_gp08,SEA_DOUG_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2592659,60327658,9,I5H29_gp09,SEA_DOUG_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2592659,60327659,10,I5H29_gp10,SEA_DOUG_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2592659,60327660,11,I5H29_gp11,SEA_DOUG_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2592659,60327661,13,I5H29_gp12,SEA_DOUG_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2592659,60327662,14,I5H29_gp14,SEA_DOUG_14,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2592659,60327663,12,I5H29_gp13,SEA_DOUG_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2592659,60327664,15,I5H29_gp15,SEA_DOUG_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2592659,60327665,16,I5H29_gp16,SEA_DOUG_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2592659,60327666,17,I5H29_gp17,SEA_DOUG_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2592659,60327667,18,I5H29_gp18,SEA_DOUG_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2592659,60327668,19,I5H29_gp19,SEA_DOUG_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2592659,60327669,20,I5H29_gp20,SEA_DOUG_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2592659,60327670,21,I5H29_gp21,SEA_DOUG_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2592659,60327671,22,I5H29_gp22,SEA_DOUG_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
