#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2762400,63026135,2,J1762_gp02,SEA_JKSYNGBOY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210529,-
2762400,63026136,3,J1762_gp03,SEA_JKSYNGBOY_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026137,4,J1762_gp04,SEA_JKSYNGBOY_4,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210529,-
2762400,63026138,5,J1762_gp05,SEA_JKSYNGBOY_5,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210309,-
2762400,63026139,6,J1762_gp06,SEA_JKSYNGBOY_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026140,7,J1762_gp07,SEA_JKSYNGBOY_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026141,8,J1762_gp08,SEA_JKSYNGBOY_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026142,9,J1762_gp09,SEA_JKSYNGBOY_9,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210417,-
2762400,63026143,10,J1762_gp10,SEA_JKSYNGBOY_10,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210424,-
2762400,63026144,11,J1762_gp11,SEA_JKSYNGBOY_11,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210309,-
2762400,63026145,12,J1762_gp12,SEA_JKSYNGBOY_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026146,13,J1762_gp13,SEA_JKSYNGBOY_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026147,14,J1762_gp14,SEA_JKSYNGBOY_14,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210529,-
2762400,63026148,15,J1762_gp15,SEA_JKSYNGBOY_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026149,16,J1762_gp16,SEA_JKSYNGBOY_16,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210529,-
2762400,63026150,17,J1762_gp17,SEA_JKSYNGBOY_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026151,18,J1762_gp18,SEA_JKSYNGBOY_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026152,19,J1762_gp19,SEA_JKSYNGBOY_19,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210529,-
2762400,63026153,20,J1762_gp20,SEA_JKSYNGBOY_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026154,21,J1762_gp21,SEA_JKSYNGBOY_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026155,22,J1762_gp22,SEA_JKSYNGBOY_22,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210309,-
