#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2201444,54993685,2,HOT46_gp02,SEA_ZETA1847_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210129,-
2201444,54993686,3,HOT46_gp03,SEA_ZETA1847_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210129,-
2201444,54993687,4,HOT46_gp04,SEA_ZETA1847_4,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20200910,-
2201444,54993688,5,HOT46_gp05,SEA_ZETA1847_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200910,-
2201444,54993689,6,HOT46_gp06,SEA_ZETA1847_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210129,-
2201444,54993690,7,HOT46_gp07,SEA_ZETA1847_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200910,-
2201444,54993691,8,HOT46_gp08,SEA_ZETA1847_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200910,-
2201444,54993692,9,HOT46_gp09,SEA_ZETA1847_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993693,10,HOT46_gp10,SEA_ZETA1847_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200910,-
2201444,54993694,11,HOT46_gp11,SEA_ZETA1847_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
2201444,54993695,13,HOT46_gp12,SEA_ZETA1847_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2201444,54993696,14,HOT46_gp14,SEA_ZETA1847_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210129,-
2201444,54993697,12,HOT46_gp13,SEA_ZETA1847_12,-,-,-,tal assembly chaperone,protein-coding,-,-,-,tal assembly chaperone,20200910,-
2201444,54993698,15,HOT46_gp15,SEA_ZETA1847_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210129,-
2201444,54993699,16,HOT46_gp16,SEA_ZETA1847_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210129,-
2201444,54993700,17,HOT46_gp17,SEA_ZETA1847_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2201444,54993701,18,HOT46_gp18,SEA_ZETA1847_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210129,-
2201444,54993702,19,HOT46_gp19,SEA_ZETA1847_19,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210129,-
2201444,54993703,20,HOT46_gp20,SEA_ZETA1847_20,-,-,-,tail needle protein,protein-coding,-,-,-,tail needle protein,20200910,-
2201444,54993704,21,HOT46_gp21,SEA_ZETA1847_21,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2201444,54993705,22,HOT46_gp22,SEA_ZETA1847_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
