#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2775045,63911359,2,KDJ10_gp02,PHIT46-1_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210605,-
2775045,63911360,3,KDJ10_gp03,PHIT46-1_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210515,-
2775045,63911361,4,KDJ10_gp04,PHIT46-1_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210529,-
2775045,63911362,5,KDJ10_gp05,PHIT46-1_5,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210420,-
2775045,63911363,6,KDJ10_gp06,PHIT46-1_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210420,-
2775045,63911364,7,KDJ10_gp07,PHIT46-1_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911365,8,KDJ10_gp08,PHIT46-1_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210420,-
2775045,63911366,9,KDJ10_gp09,PHIT46-1_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210420,-
2775045,63911367,10,KDJ10_gp10,PHIT46-1_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911368,11,KDJ10_gp11,PHIT46-1_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210420,-
2775045,63911369,12,KDJ10_gp12,PHIT46-1_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210420,-
2775045,63911370,13,KDJ10_gp13,PHIT46-1_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911371,14,KDJ10_gp14,PHIT46-1_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911372,15,KDJ10_gp15,PHIT46-1_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210420,-
2775045,63911373,16,KDJ10_gp16,PHIT46-1_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911374,17,KDJ10_gp17,PHIT46-1_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210515,-
2775045,63911375,18,KDJ10_gp18,PHIT46-1_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2775045,63911376,19,KDJ10_gp19,PHIT46-1_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2775045,63911377,20,KDJ10_gp20,PHIT46-1_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911378,21,KDJ10_gp21,PHIT46-1_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2775045,63911379,22,KDJ10_gp22,PHIT46-1_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2775045,63911380,23,KDJ10_gp23,PHIT46-1_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210605,-
2775045,63911381,24,KDJ10_gp24,PHIT46-1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911382,25,KDJ10_gp25,PHIT46-1_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911383,26,KDJ10_gp26,PHIT46-1_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210605,-
2775045,63911384,27,KDJ10_gp27,PHIT46-1_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210420,-
2775045,63911385,28,KDJ10_gp28,PHIT46-1_28,-,-,-,holin,protein-coding,-,-,-,holin,20210420,-
2775045,63911386,29,KDJ10_gp29,PHIT46-1_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911387,30,KDJ10_gp30,PHIT46-1_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911388,31,KDJ10_gp31,PHIT46-1_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911389,32,KDJ10_gp32,PHIT46-1_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911390,33,KDJ10_gp33,PHIT46-1_33,-,-,-,immunity protein,protein-coding,-,-,-,immunity protein,20210605,-
2775045,63911391,34,KDJ10_gp34,PHIT46-1_34,-,-,-,polymorphic toxin protein,protein-coding,-,-,-,polymorphic toxin protein,20210605,-
2775045,63911392,35,KDJ10_gp35,PHIT46-1_35,-,-,-,ESAT6-like protein,protein-coding,-,-,-,ESAT6-like protein,20210420,-
2775045,63911393,36,KDJ10_gp36,PHIT46-1_36,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2775045,63911394,37,KDJ10_gp37,PHIT46-1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911395,38,KDJ10_gp38,PHIT46-1_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911396,39,KDJ10_gp39,PHIT46-1_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911397,40,KDJ10_gp40,PHIT46-1_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2775045,63911398,41,KDJ10_gp41,PHIT46-1_41,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210605,-
2775045,63911399,42,KDJ10_gp42,PHIT46-1_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
2775045,63911400,43,KDJ10_gp43,PHIT46-1_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
2775045,63911401,44,KDJ10_gp44,PHIT46-1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911402,45,KDJ10_gp45,PHIT46-1_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911403,46,KDJ10_gp46,PHIT46-1_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911404,47,KDJ10_gp47,PHIT46-1_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911405,48,KDJ10_gp48,PHIT46-1_48,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210605,-
2775045,63911406,49,KDJ10_gp49,PHIT46-1_49,-,-,-,RecT-like ss DNA binding protein,protein-coding,-,-,-,RecT-like ss DNA binding protein,20210605,-
2775045,63911407,50,KDJ10_gp50,PHIT46-1_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911408,51,KDJ10_gp51,PHIT46-1_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911409,52,KDJ10_gp52,PHIT46-1_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911410,53,KDJ10_gp53,PHIT46-1_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911411,54,KDJ10_gp54,PHIT46-1_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911412,55,KDJ10_gp55,PHIT46-1_55,-,-,-,oxidoreductase,protein-coding,-,-,-,oxidoreductase,20210420,-
2775045,63911413,56,KDJ10_gp56,PHIT46-1_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911414,57,KDJ10_gp57,PHIT46-1_57,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210420,-
