#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1086800,18560283,2,VIOLET_2,-,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20201220,-
1086800,18560284,3,VIOLET_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560285,4,VIOLET_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560286,5,VIOLET_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560287,6,VIOLET_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560288,7,VIOLET_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560289,8,VIOLET_8,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
1086800,18560290,9,VIOLET_9,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
1086800,18560291,10,VIOLET_10,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201220,-
1086800,18560292,11,VIOLET_11,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1086800,18560293,12,VIOLET_12,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201220,-
1086800,18560294,13,VIOLET_13,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201220,-
1086800,18560295,14,VIOLET_14,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1086800,18560296,15,VIOLET_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560297,16,VIOLET_16,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201220,-
1086800,18560298,17,VIOLET_17,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201220,-
1086800,18560299,18,VIOLET_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1086800,18560300,19,VIOLET_19,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201220,-
1086800,18560301,20,VIOLET_20,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
1086800,18560302,22,VIOLET_22,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210406,-
1086800,18560303,23,VIOLET_23,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20210424,-
