#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
48586,64673043,DFJ58DRAFT_100404,DFJ58DRAFT_100404,-,-,Unknown,-,ankyrin repeat-containing domain protein,protein-coding,-,-,-,ankyrin repeat-containing domain protein,20210605,-
48586,64673044,DFJ58DRAFT_100553,DFJ58DRAFT_100553,-,-,Unknown,-,CHAT domain-containing protein,protein-coding,-,-,-,CHAT domain-containing protein,20210605,-
48586,64673045,DFJ58DRAFT_100606,DFJ58DRAFT_100606,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673046,DFJ58DRAFT_100618,DFJ58DRAFT_100618,-,-,Unknown,-,TPR-like protein,protein-coding,-,-,-,TPR-like protein,20210605,-
48586,64673047,DFJ58DRAFT_100739,DFJ58DRAFT_100739,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673048,DFJ58DRAFT_101466,DFJ58DRAFT_101466,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673049,DFJ58DRAFT_101524,DFJ58DRAFT_101524,-,-,Unknown,-,isoprenoid synthase domain-containing protein,protein-coding,-,-,-,isoprenoid synthase domain-containing protein,20210605,-
48586,64673050,DFJ58DRAFT_101826,DFJ58DRAFT_101826,-,-,Unknown,-,HMGL-like-domain-containing protein,protein-coding,-,-,-,HMGL-like-domain-containing protein,20210605,-
48586,64673051,DFJ58DRAFT_101858,DFJ58DRAFT_101858,-,-,Unknown,-,ribosomal protein L34-domain-containing protein,protein-coding,-,-,-,ribosomal protein L34-domain-containing protein,20210605,-
48586,64673052,DFJ58DRAFT_101867,DFJ58DRAFT_101867,-,-,Unknown,-,clasp N terminal-domain-containing protein,protein-coding,-,-,-,clasp N terminal-domain-containing protein,20210605,-
48586,64673053,DFJ58DRAFT_101950,DFJ58DRAFT_101950,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
48586,64673054,DFJ58DRAFT_101998,DFJ58DRAFT_101998,-,-,Unknown,-,adenylylsulfate kinase,protein-coding,-,-,-,adenylylsulfate kinase,20210605,-
48586,64673055,DFJ58DRAFT_102311,DFJ58DRAFT_102311,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673056,DFJ58DRAFT_102341,DFJ58DRAFT_102341,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210605,-
48586,64673057,DFJ58DRAFT_102685,DFJ58DRAFT_102685,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673058,DFJ58DRAFT_102782,DFJ58DRAFT_102782,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673059,DFJ58DRAFT_102853,DFJ58DRAFT_102853,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673060,DFJ58DRAFT_103023,DFJ58DRAFT_103023,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673061,DFJ58DRAFT_103098,DFJ58DRAFT_103098,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673062,DFJ58DRAFT_103179,DFJ58DRAFT_103179,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673063,DFJ58DRAFT_103244,DFJ58DRAFT_103244,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673064,DFJ58DRAFT_103364,DFJ58DRAFT_103364,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673065,DFJ58DRAFT_103560,DFJ58DRAFT_103560,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673066,DFJ58DRAFT_103629,DFJ58DRAFT_103629,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
48586,64673067,DFJ58DRAFT_103652,DFJ58DRAFT_103652,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673068,DFJ58DRAFT_103662,DFJ58DRAFT_103662,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673069,DFJ58DRAFT_103807,DFJ58DRAFT_103807,-,-,Unknown,-,"TB2/DP1, HVA22 family-domain-containing protein",protein-coding,-,-,-,"TB2/DP1, HVA22 family-domain-containing protein",20210605,-
48586,64673070,DFJ58DRAFT_103819,DFJ58DRAFT_103819,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673071,DFJ58DRAFT_104023,DFJ58DRAFT_104023,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673072,DFJ58DRAFT_104091,DFJ58DRAFT_104091,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673073,DFJ58DRAFT_104182,DFJ58DRAFT_104182,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673074,DFJ58DRAFT_10423,DFJ58DRAFT_10423,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20210605,-
48586,64673075,DFJ58DRAFT_104231,DFJ58DRAFT_104231,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
48586,64673076,DFJ58DRAFT_104362,DFJ58DRAFT_104362,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
48586,64673077,DFJ58DRAFT_104742,DFJ58DRAFT_104742,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673078,DFJ58DRAFT_104782,DFJ58DRAFT_104782,-,-,Unknown,-,acyl-CoA N-acyltransferase,protein-coding,-,-,-,acyl-CoA N-acyltransferase,20210605,-
48586,64673079,DFJ58DRAFT_104827,DFJ58DRAFT_104827,-,-,Unknown,-,60S ribosomal protein L19,protein-coding,-,-,-,60S ribosomal protein L19,20210605,-
48586,64673080,DFJ58DRAFT_104918,DFJ58DRAFT_104918,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
