#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
445688,10329367,gp33,PSSM7_241,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20200909,-
445688,10329368,PSSM7_240,PSSM7_240,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200909,-
445688,10329369,phoH,PSSM7_239,-,-,-,-,P-starvation inducible protein,protein-coding,-,-,-,P-starvation inducible protein,20200909,-
445688,10329370,PSSM7_238,PSSM7_238,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329371,td,PSSM7_237,-,-,-,-,Td thymidylate synthetase,protein-coding,-,-,-,Td thymidylate synthetase,20200909,-
445688,10329372,PSSM7_236,PSSM7_236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329373,PSSM7_235,PSSM7_235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329374,PSSM7_234,PSSM7_234,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329375,nrdC,PSSM7_233,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200909,-
445688,10329376,PSSM7_232,PSSM7_232,-,-,-,-,DUF680 domain-containing protein,protein-coding,-,-,-,DUF680 domain-containing protein,20200909,-
445688,10329377,PSSM7_231,PSSM7_231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329378,PSSM7_230,PSSM7_230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329379,PSSM7_229,PSSM7_229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329380,PSSM7_228,PSSM7_228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329381,PSSM7_227,PSSM7_227,-,-,-,-,ferredoxin,protein-coding,-,-,-,ferredoxin,20200909,-
445688,10329382,PSSM7_226,PSSM7_226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329383,psbA,PSSM7_225,-,-,-,-,photosystem II D1 protein,protein-coding,-,-,-,photosystem II D1 protein,20200909,-
445688,10329384,PSSM7_224,PSSM7_224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329385,PSSM7_223,PSSM7_223,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329386,PSSM7_222,PSSM7_222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329387,PSSM7_221,PSSM7_221,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329388,PSSM7_220,PSSM7_220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329389,PSSM7_219,PSSM7_219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329390,PSSM7_218,PSSM7_218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329391,hli05,PSSM7_217,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200909,-
445688,10329392,hli04,PSSM7_216,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200909,-
