#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1264700,14515932,G428_gp02,G428_gp02,-,-,-,-,"putative terminase, large subunit",protein-coding,-,-,-,"putative terminase, large subunit",20201221,-
1264700,14515933,G428_gp03,G428_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515934,G428_gp04,G428_gp04,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1264700,14515935,G428_gp05,G428_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515936,G428_gp06,G428_gp06,-,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20201221,-
1264700,14515937,G428_gp07,G428_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515938,G428_gp08,G428_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515939,G428_gp09,G428_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515940,G428_gp10,G428_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515941,G428_gp11,G428_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515942,G428_gp12,G428_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515943,G428_gp13,G428_gp13,-,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20201221,-
1264700,14515944,G428_gp14,G428_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515945,G428_gp15,G428_gp15,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20201221,-
