#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1391431,17776931,2,X823_gp02,CONSPIRACY_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200622,-
1391431,17776932,4,X823_gp04,CONSPIRACY_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776933,5,X823_gp05,CONSPIRACY_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776934,6,X823_gt01,CONSPIRACY_6,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1391431,17776935,7,X823_gp86,CONSPIRACY_7,-,-,-,LysA,protein-coding,-,-,-,LysA,20200905,-
1391431,17776936,8,X823_gp85,CONSPIRACY_8,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200905,-
1391431,17776937,9,X823_gp84,CONSPIRACY_9,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200622,-
1391431,17776938,10,X823_gp83,CONSPIRACY_10,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200905,-
1391431,17776939,11,X823_gp82,CONSPIRACY_11,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200622,-
1391431,17776940,12,X823_gp81,CONSPIRACY_12,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200622,-
1391431,17776941,13,X823_gp80,CONSPIRACY_13,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200622,-
1391431,17776942,14,X823_gp79,CONSPIRACY_14,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200622,-
1391431,17776943,15,X823_gp78,CONSPIRACY_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776944,16,X823_gp77,CONSPIRACY_16,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200622,-
1391431,17776945,17,X823_gp76,CONSPIRACY_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776946,18,X823_gp75,CONSPIRACY_18,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200622,-
1391431,17776947,19,X823_gp74,CONSPIRACY_19,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200622,-
1391431,17776948,21,X823_gp72,CONSPIRACY_21,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201026,-
1391431,17776949,22,X823_gp71,CONSPIRACY_22,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201026,-
1391431,17776950,20,X823_gp73,CONSPIRACY_20,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201026,-
1391431,17776951,23,X823_gp70,CONSPIRACY_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200622,-
1391431,17776952,24,X823_gp69,CONSPIRACY_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200622,-
1391431,17776953,25,X823_gp68,CONSPIRACY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
