#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
29883,6159458,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20140823,-
29883,40499532,orf253,FKU11_mgp03,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20200905,-
29883,40499533,orf302,FKU11_mgp04,-,-,MT,-,LAGLIDADG 1 endonuclease,protein-coding,-,-,-,LAGLIDADG 1 endonuclease,20200905,-
29883,40499534,orf308,FKU11_mgp05,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20191025,-
29883,40499535,trnM(cat),FKU11_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499536,orf332,FKU11_mgp02,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20191025,-
29883,40499537,trnA(tgc),FKU11_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499538,trnW(cca),FKU11_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499539,trnP(tgg),FKU11_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499540,trnN(gtt),FKU11_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499541,rps3,FKU11_mgp29,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20190717,-
29883,40499542,nad5,FKU11_mgp28,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20191025,-
29883,40499543,nad4L,FKU11_mgp27,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20200905,-
29883,40499544,trnK(ttt),FKU11_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499545,orf816,FKU11_mgp26,-,-,MT,-,DNA polymerase 2,protein-coding,-,-,-,DNA polymerase 2,20200905,-
29883,40499546,orf278,FKU11_mgp25,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
29883,40499547,nad6,FKU11_mgp24,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20200905,-
29883,40499548,orf129,FKU11_mgp23,-,-,MT,-,DNA-directed DNA polymerase,protein-coding,-,-,-,DNA-directed DNA polymerase,20190717,-
29883,40499549,trnC(gca),FKU11_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499550,trnV(tac),FKU11_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499551,rns,FKU11_mgr02,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
29883,40499552,orf281,FKU11_mgp22,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
29883,40499553,trnS(tga),FKU11_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499554,trnS(gct),FKU11_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499555,atp8,FKU11_mgp21,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,ATP synthase F0 subunit 8,20191025,-
29883,40499556,trnG(tcc),FKU11_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499557,trnY(gta),FKU11_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499558,trnF(gaa),FKU11_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499559,trnT(tgt),FKU11_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499560,trnQ(ttg),FKU11_mgt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499561,trnR(tct),FKU11_mgt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499562,nad4,FKU11_mgp20,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20191025,-
29883,40499563,trnL(taa),FKU11_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499564,trnH(gtg),FKU11_mgt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499565,trnL(tag),FKU11_mgt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499566,atp6,FKU11_mgp19,-,-,MT,-,ATP synthase F0 subunit a,protein-coding,-,-,-,ATP synthase F0 subunit a,20191025,-
29883,40499567,nad3,FKU11_mgp18,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20200905,-
29883,40499568,nad2,FKU11_mgp17,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20200905,-
29883,40499569,trnM(cat),FKU11_mgt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499570,rnl,FKU11_mgr01,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200908,-
29883,40499571,orf236,FKU11_mgp16,-,-,MT,-,LAGLIDADG 2 homing endonuclease,protein-coding,-,-,-,LAGLIDADG 2 homing endonuclease,20200905,-
29883,40499572,orf238,FKU11_mgp15,-,-,MT,-,LAGLIDADG 2 homing endonuclease,protein-coding,-,-,-,LAGLIDADG 2 homing endonuclease,20200905,-
29883,40499573,atp9,FKU11_mgp14,-,-,MT,-,ATP synthase F0 subunit c,protein-coding,-,-,-,ATP synthase F0 subunit c,20200905,-
29883,40499574,trnD(gtc),FKU11_mgt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499575,trnE(ttc),FKU11_mgt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499576,orf255,FKU11_mgp13,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190717,-
29883,40499577,cox3,FKU11_mgp12,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20191025,-
29883,40499578,cox2,FKU11_mgp11,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20191025,-
29883,40499579,cob,FKU11_mgp10,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,apocytochrome b,20191025,-
29883,40499580,orf280,FKU11_mgp08,-,-,MT,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20191025,-
29883,40499581,orf249,FKU11_mgp07,-,-,MT,-,LAGLIDADG 2 homing endonuclease,protein-coding,-,-,-,LAGLIDADG 2 homing endonuclease,20200905,-
29883,40499582,trnI(gat),FKU11_mgt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499583,orf171,FKU11_mgp09,-,-,MT,-,LAGLIDADG 2 homing endonuclease,protein-coding,-,-,-,LAGLIDADG 2 homing endonuclease,20200905,-
29883,40499584,nad1,FKU11_mgp06,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20200905,-
29883,40499585,trnM(cat),FKU11_mgt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499586,trnR(tcg),FKU11_mgt25,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
29883,40499587,cox1,FKU11_mgp01,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20191025,-
