#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656586,62361503,2,JMN69_gp02,SEA_KILLIGREW_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2656586,62361504,3,JMN69_gp03,SEA_KILLIGREW_3,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2656586,62361505,4,JMN69_gp04,SEA_KILLIGREW_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361506,5,JMN69_gp05,SEA_KILLIGREW_5,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2656586,62361507,6,JMN69_gp06,SEA_KILLIGREW_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361508,7,JMN69_gp07,SEA_KILLIGREW_7,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2656586,62361509,8,JMN69_gp08,SEA_KILLIGREW_8,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2656586,62361510,9,JMN69_gp09,SEA_KILLIGREW_9,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2656586,62361511,10,JMN69_gp10,SEA_KILLIGREW_10,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2656586,62361512,11,JMN69_gp11,SEA_KILLIGREW_11,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210123,-
2656586,62361513,12,JMN69_gp12,SEA_KILLIGREW_12,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210123,-
2656586,62361514,13,JMN69_gp13,SEA_KILLIGREW_13,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2656586,62361515,14,JMN69_gp14,SEA_KILLIGREW_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361516,15,JMN69_gp15,SEA_KILLIGREW_15,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210212,-
2656586,62361517,16,JMN69_gp16,SEA_KILLIGREW_16,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
2656586,62361518,17,JMN69_gp17,SEA_KILLIGREW_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656586,62361519,18,JMN69_gp18,SEA_KILLIGREW_18,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
2656586,62361520,19,JMN69_gp19,SEA_KILLIGREW_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2656586,62361521,21,JMN69_gp20,SEA_KILLIGREW_21,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
2656586,62361522,22,JMN69_gp22,SEA_KILLIGREW_22,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20210424,-
2656586,62361523,20,JMN69_gp21,SEA_KILLIGREW_20,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
2656586,62361524,23,JMN69_gp23,SEA_KILLIGREW_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2656586,62361525,24,JMN69_gp24,SEA_KILLIGREW_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361526,25,JMN69_gp25,SEA_KILLIGREW_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
