#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2039780,65099774,2L,KM509_gp002,-,-,-,-,DNA-binding packing protein,protein-coding,-,-,-,DNA-binding packing protein,20210607,-
2039780,65099775,3L,KM509_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099776,4L,KM509_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099777,5L,KM509_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099778,6L,KM509_gp006,-,-,-,-,mitochondrial DNA topoisomerase,protein-coding,-,-,-,mitochondrial DNA topoisomerase,20210607,-
2039780,65099779,7R,KM509_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099780,8L,KM509_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099781,9L,KM509_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099782,10L,KM509_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099783,11L,KM509_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099784,12R,KM509_gp012,-,-,-,-,phosphotransferase,protein-coding,-,-,-,phosphotransferase,20210607,-
2039780,65099785,13R,KM509_gp013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099786,14L,KM509_gp014,-,-,-,-,inactivated thioredoxin glutaredoxin,protein-coding,-,-,-,inactivated thioredoxin glutaredoxin,20210607,-
2039780,65099787,15R,KM509_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099788,16R,KM509_gp016,-,-,-,-,SWIB MDM2 domain-containing protein,protein-coding,-,-,-,SWIB MDM2 domain-containing protein,20210607,-
2039780,65099789,17L,KM509_gp017,-,-,-,-,serine/threonine kinase VRK1-like protein,protein-coding,-,-,-,serine/threonine kinase VRK1-like protein,20210607,-
2039780,65099790,18L,KM509_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099791,19R,KM509_gp019,-,-,-,-,zinc finger CCCH domain-containing 37,protein-coding,-,-,-,zinc finger CCCH domain-containing 37,20210607,-
2039780,65099792,20L,KM509_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099793,21R,KM509_gp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
