#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1552735,23681205,VC66_gp02,VC66_gp02,LDL_002,-,-,-,DNA repair protein family protein,protein-coding,-,-,-,DNA repair protein family protein,20201221,-
1552735,23681206,VC66_gp03,VC66_gp03,LDL_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681207,VC66_gp04,VC66_gp04,LDL_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681208,VC66_gp05,VC66_gp05,LDL_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681209,VC66_gp06,VC66_gp06,LDL_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681210,VC66_gp07,VC66_gp07,LDL_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681211,VC66_gp08,VC66_gp08,LDL_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681212,VC66_gp09,VC66_gp09,LDL_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681213,VC66_gp10,VC66_gp10,LDL_010,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210129,-
1552735,23681214,VC66_gp11,VC66_gp11,LDL_011,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1552735,23681215,VC66_gp12,VC66_gp12,LDL_012,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1552735,23681216,VC66_gp13,VC66_gp13,LDL_013,-,-,-,hk97 family portal protein,protein-coding,-,-,-,hk97 family portal protein,20201221,-
1552735,23681217,VC66_gp14,VC66_gp14,LDL_014,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20201221,-
1552735,23681218,VC66_gp15,VC66_gp15,LDL_015,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1552735,23681219,VC66_gp16,VC66_gp16,LDL_016,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1552735,23681220,VC66_gp17,VC66_gp17,LDL_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681221,VC66_gp18,VC66_gp18,LDL_018,-,-,-,head-tail joining protein,protein-coding,-,-,-,head-tail joining protein,20201221,-
1552735,23681222,VC66_gp19,VC66_gp19,LDL_019,-,-,-,head-tail adaptor,protein-coding,-,-,-,head-tail adaptor,20201221,-
