#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2801574,62682281,sppA,JT349_gp02,COFMJEFH_00002,-,-,-,putative signal peptide peptidase,protein-coding,-,-,-,putative signal peptide peptidase,20210424,-
2801574,62682282,JT349_gp03,JT349_gp03,COFMJEFH_00003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2801574,62682283,JT349_gp04,JT349_gp04,COFMJEFH_00004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2801574,62682284,JT349_gp05,JT349_gp05,COFMJEFH_00005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2801574,62682285,JT349_gp06,JT349_gp06,COFMJEFH_00006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2801574,62682286,rapA,JT349_gp07,COFMJEFH_00007,-,-,-,RNA polymerase-associated protein,protein-coding,-,-,-,RNA polymerase-associated protein,20210424,-
2801574,62682287,JT349_gp08,JT349_gp08,COFMJEFH_00008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2801574,62682288,JT349_gp09,JT349_gp09,COFMJEFH_00009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
2801574,62682289,JT349_gp10,JT349_gp10,COFMJEFH_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2801574,62682290,JT349_gp11,JT349_gp11,COFMJEFH_00011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2801574,62682291,JT349_gp12,JT349_gp12,COFMJEFH_00012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682292,JT349_gp13,JT349_gp13,COFMJEFH_00013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682293,JT349_gp14,JT349_gp14,COFMJEFH_00014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682294,JT349_gp15,JT349_gp15,COFMJEFH_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
2801574,62682295,JT349_gp16,JT349_gp16,COFMJEFH_00016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2801574,62682296,JT349_gp17,JT349_gp17,COFMJEFH_00017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682297,JT349_gp18,JT349_gp18,COFMJEFH_00018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682298,JT349_gp19,JT349_gp19,COFMJEFH_00019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682299,JT349_gp20,JT349_gp20,COFMJEFH_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682300,JT349_gp21,JT349_gp21,COFMJEFH_00021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682301,JT349_gp22,JT349_gp22,COFMJEFH_00022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682302,JT349_gp23,JT349_gp23,COFMJEFH_00023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682303,JT349_gp24,JT349_gp24,COFMJEFH_00024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682304,JT349_gp25,JT349_gp25,COFMJEFH_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682305,JT349_gp26,JT349_gp26,COFMJEFH_00026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2801574,62682306,JT349_gp27,JT349_gp27,COFMJEFH_00027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682307,JT349_gp28,JT349_gp28,COFMJEFH_00028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682308,JT349_gp29,JT349_gp29,COFMJEFH_00029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682309,JT349_gp30,JT349_gp30,COFMJEFH_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682310,rdgC,JT349_gp31,COFMJEFH_00031,-,-,-,recombination-associated protein,protein-coding,-,-,-,recombination-associated protein,20210605,-
2801574,62682311,JT349_gp32,JT349_gp32,COFMJEFH_00032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682312,JT349_gp33,JT349_gp33,COFMJEFH_00033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682313,JT349_gp34,JT349_gp34,COFMJEFH_00034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682314,JT349_gp35,JT349_gp35,COFMJEFH_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682315,JT349_gp36,JT349_gp36,COFMJEFH_00036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682316,JT349_gp37,JT349_gp37,COFMJEFH_00037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2801574,62682317,JT349_gp38,JT349_gp38,COFMJEFH_00038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682318,JT349_gp39,JT349_gp39,COFMJEFH_00039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682319,JT349_gp40,JT349_gp40,COFMJEFH_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2801574,62682320,JT349_gp41,JT349_gp41,COFMJEFH_00041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682321,JT349_gp42,JT349_gp42,COFMJEFH_00042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682322,JT349_gp43,JT349_gp43,COFMJEFH_00043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682323,JT349_gp44,JT349_gp44,COFMJEFH_00044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682324,JT349_gp45,JT349_gp45,COFMJEFH_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682325,JT349_gp46,JT349_gp46,COFMJEFH_00046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682326,JT349_gp47,JT349_gp47,COFMJEFH_00047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682327,JT349_gp48,JT349_gp48,COFMJEFH_00048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682328,JT349_gp49,JT349_gp49,COFMJEFH_00049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682329,JT349_gp50,JT349_gp50,COFMJEFH_00050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682330,JT349_gp51,JT349_gp51,COFMJEFH_00051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
