#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2599838,55813765,2,HYQ00_gp02,PBI_TRIPLEJ_2,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200704,-
2599838,55813766,3,HYQ00_gp03,PBI_TRIPLEJ_3,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210424,-
2599838,55813767,4,HYQ00_gp04,PBI_TRIPLEJ_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813768,5,HYQ00_gp05,PBI_TRIPLEJ_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200704,-
2599838,55813769,6,HYQ00_gp06,PBI_TRIPLEJ_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2599838,55813770,7,HYQ00_gp07,PBI_TRIPLEJ_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2599838,55813771,8,HYQ00_gp08,PBI_TRIPLEJ_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813772,9,HYQ00_gp09,PBI_TRIPLEJ_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813773,10,HYQ00_gp10,PBI_TRIPLEJ_10,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210424,-
2599838,55813774,11,HYQ00_gp11,PBI_TRIPLEJ_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200704,-
2599838,55813775,12,HYQ00_gp12,PBI_TRIPLEJ_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813776,13,HYQ00_gp13,PBI_TRIPLEJ_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200704,-
2599838,55813777,14,HYQ00_gp14,PBI_TRIPLEJ_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813778,16,HYQ00_gp15,PBI_TRIPLEJ_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200704,-
2599838,55813779,17,HYQ00_gp17,PBI_TRIPLEJ_17,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200704,-
2599838,55813780,15,HYQ00_gp16,PBI_TRIPLEJ_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200704,-
2599838,55813781,18,HYQ00_gp18,PBI_TRIPLEJ_18,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2599838,55813782,19,HYQ00_gp19,PBI_TRIPLEJ_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2599838,55813783,20,HYQ00_gp20,PBI_TRIPLEJ_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200704,-
2599838,55813784,21,HYQ00_gp21,PBI_TRIPLEJ_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813785,22,HYQ00_gp22,PBI_TRIPLEJ_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813786,23,HYQ00_gp23,PBI_TRIPLEJ_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813787,24,HYQ00_gp24,PBI_TRIPLEJ_24,-,-,-,"lysin A, protease M23 domain",protein-coding,-,-,-,"lysin A, protease M23 domain",20210424,-
2599838,55813788,25,HYQ00_gp25,PBI_TRIPLEJ_25,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200704,-
2599838,55813789,26,HYQ00_gp26,PBI_TRIPLEJ_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2599838,55813790,27,HYQ00_gp27,PBI_TRIPLEJ_27,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20210424,-
2599838,55813791,28,HYQ00_gp28,PBI_TRIPLEJ_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813792,29,HYQ00_gp29,PBI_TRIPLEJ_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813793,30,HYQ00_gp30,PBI_TRIPLEJ_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813794,31,HYQ00_gp31,PBI_TRIPLEJ_31,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210424,-
2599838,55813795,32,HYQ00_gp32,PBI_TRIPLEJ_32,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20201217,-
2599838,55813796,33,HYQ00_gp33,PBI_TRIPLEJ_33,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200704,-
2599838,55813797,34,HYQ00_gp34,PBI_TRIPLEJ_34,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200704,-
2599838,55813798,35,HYQ00_gp35,PBI_TRIPLEJ_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813799,36,HYQ00_gp36,PBI_TRIPLEJ_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813800,37,HYQ00_gp37,PBI_TRIPLEJ_37,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20201217,-
2599838,55813801,38,HYQ00_gp38,PBI_TRIPLEJ_38,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2599838,55813802,39,HYQ00_gp39,PBI_TRIPLEJ_39,-,-,-,metallopeptidase,protein-coding,-,-,-,metallopeptidase,20210424,-
2599838,55813803,40,HYQ00_gp40,PBI_TRIPLEJ_40,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200704,-
2599838,55813804,41,HYQ00_gp41,PBI_TRIPLEJ_41,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200704,-
2599838,55813805,42,HYQ00_gp42,PBI_TRIPLEJ_42,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201217,-
2599838,55813806,43,HYQ00_gp43,PBI_TRIPLEJ_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813807,44,HYQ00_gp44,PBI_TRIPLEJ_44,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210424,-
2599838,55813808,45,HYQ00_gp45,PBI_TRIPLEJ_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813809,46,HYQ00_gp46,PBI_TRIPLEJ_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813810,47,HYQ00_gp47,PBI_TRIPLEJ_47,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2599838,55813811,48,HYQ00_gp48,PBI_TRIPLEJ_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813812,49,HYQ00_gp49,PBI_TRIPLEJ_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813813,50,HYQ00_gp50,PBI_TRIPLEJ_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813814,51,HYQ00_gp51,PBI_TRIPLEJ_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813815,52,HYQ00_gp52,PBI_TRIPLEJ_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813816,53,HYQ00_gp53,PBI_TRIPLEJ_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813817,54,HYQ00_gp54,PBI_TRIPLEJ_54,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210424,-
2599838,55813818,55,HYQ00_gp55,PBI_TRIPLEJ_55,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210424,-
2599838,55813819,56,HYQ00_gp56,PBI_TRIPLEJ_56,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201217,-
2599838,55813820,57,HYQ00_gp57,PBI_TRIPLEJ_57,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210424,-
2599838,55813821,58,HYQ00_gp58,PBI_TRIPLEJ_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813822,59,HYQ00_gp59,PBI_TRIPLEJ_59,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
