#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419756,64469035,KGB40_gp02,KGB40_gp02,Segz_2,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210502,-
2419756,64469036,KGB40_gp03,KGB40_gp03,Segz_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469037,KGB40_gp04,KGB40_gp04,Segz_4,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210502,-
2419756,64469038,KGB40_gp05,KGB40_gp05,Segz_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2419756,64469039,KGB40_gp06,KGB40_gp06,Segz_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469040,KGB40_gp07,KGB40_gp07,Segz_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469041,KGB40_gp08,KGB40_gp08,Segz_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469042,KGB40_gp09,KGB40_gp09,Segz_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469043,KGB40_gp10,KGB40_gp10,Segz_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469044,KGB40_gp11,KGB40_gp11,Segz_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469045,KGB40_gp12,KGB40_gp12,Segz_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469046,KGB40_gp13,KGB40_gp13,Segz_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469047,KGB40_gp14,KGB40_gp14,Segz_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469048,KGB40_gp15,KGB40_gp15,Segz_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469049,KGB40_gp16,KGB40_gp16,Segz_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469050,KGB40_gp17,KGB40_gp17,Segz_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469051,KGB40_gp18,KGB40_gp18,Segz_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469052,KGB40_gp19,KGB40_gp19,Segz_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469053,KGB40_gp20,KGB40_gp20,Segz_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469054,KGB40_gp21,KGB40_gp21,Segz_21,-,-,-,putative capsid decoration protein,protein-coding,-,-,-,putative capsid decoration protein,20210502,-
2419756,64469055,KGB40_gp22,KGB40_gp22,Segz_22,-,-,-,putative coat protein,protein-coding,-,-,-,putative coat protein,20210502,-
2419756,64469056,KGB40_gp23,KGB40_gp23,Segz_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
