#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
877240,10351221,ssb,AV949_gp06,-,-,-,-,single-stranded binding protein,protein-coding,-,-,-,single-stranded binding protein,20201220,-
877240,10351222,erf,AV949_gp08,-,-,-,-,essential recombination function protein,protein-coding,-,-,-,essential recombination function protein,20201220,-
877240,10351223,terS,AV949_gp18,-,-,-,-,phage terminase small subunit,protein-coding,-,-,-,phage terminase small subunit,20201220,-
877240,10351224,terL,AV949_gp19,-,-,-,-,phage terminase large subunit,protein-coding,-,-,-,phage terminase large subunit,20201220,-
877240,10351225,mazg,AV949_gp01,-,-,-,-,transcriptional repressor,protein-coding,-,-,-,transcriptional repressor,20201220,-
877240,10379888,AV949_gp49,AV949_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379889,AV949_gp47,AV949_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379890,AV949_gp35,AV949_gp35,-,-,-,-,conserved phage structural protein,protein-coding,-,-,-,conserved phage structural protein,20201220,-
877240,10379891,AV949_gp20,AV949_gp20,-,-,-,-,phage head morphogenesis protein,protein-coding,-,-,-,phage head morphogenesis protein,20201220,-
877240,10379892,AV949_gp36,AV949_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379893,AV949_gp52,AV949_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379894,AV949_gp17,AV949_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379895,AV949_gp10,AV949_gp10,-,-,-,-,transcriptional repressor,protein-coding,-,-,-,transcriptional repressor,20201220,-
877240,10379896,AV949_gp14,AV949_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379897,AV949_gp11,AV949_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379898,AV949_gp26,AV949_gp26,-,-,-,-,conserved phage structural protein,protein-coding,-,-,-,conserved phage structural protein,20201220,-
877240,10379899,AV949_gp43,AV949_gp43,-,-,-,-,phage tail tape measure protein,protein-coding,-,-,-,phage tail tape measure protein,20201220,-
