#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301563,60327966,2,I5H32_gp002,SEA_ELEANORGEORGE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2301563,60327967,3,I5H32_gp003,SEA_ELEANORGEORGE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2301563,60327968,4,I5H32_gp004,SEA_ELEANORGEORGE_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2301563,60327969,5,I5H32_gp005,SEA_ELEANORGEORGE_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2301563,60327970,6,I5H32_gp006,SEA_ELEANORGEORGE_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2301563,60327971,7,I5H32_gp007,SEA_ELEANORGEORGE_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2301563,60327972,8,I5H32_gp008,SEA_ELEANORGEORGE_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2301563,60327973,9,I5H32_gp009,SEA_ELEANORGEORGE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301563,60327974,10,I5H32_gp010,SEA_ELEANORGEORGE_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2301563,60327975,11,I5H32_gp011,SEA_ELEANORGEORGE_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2301563,60327976,13,I5H32_gp012,SEA_ELEANORGEORGE_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2301563,60327977,14,I5H32_gp014,SEA_ELEANORGEORGE_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2301563,60327978,12,I5H32_gp013,SEA_ELEANORGEORGE_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2301563,60327979,15,I5H32_gp015,SEA_ELEANORGEORGE_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301563,60327980,16,I5H32_gp016,SEA_ELEANORGEORGE_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301563,60327981,17,I5H32_gp017,SEA_ELEANORGEORGE_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60327982,18,I5H32_gp018,SEA_ELEANORGEORGE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301563,60327983,19,I5H32_gp019,SEA_ELEANORGEORGE_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2301563,60327984,20,I5H32_gp020,SEA_ELEANORGEORGE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60327985,21,I5H32_gp021,SEA_ELEANORGEORGE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60327986,22,I5H32_gp022,SEA_ELEANORGEORGE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60327987,23,I5H32_gp023,SEA_ELEANORGEORGE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60327988,24,I5H32_gp024,SEA_ELEANORGEORGE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60327989,25,I5H32_gp025,SEA_ELEANORGEORGE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
