#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2801895,65133296,2,KNV76_gp002,SEA_OHSHAGHENNESSY_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210608,-
2801895,65133297,3,KNV76_gp003,SEA_OHSHAGHENNESSY_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133298,4,KNV76_gp004,SEA_OHSHAGHENNESSY_4,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2801895,65133299,5,KNV76_gp005,SEA_OHSHAGHENNESSY_5,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2801895,65133300,6,KNV76_gp006,SEA_OHSHAGHENNESSY_6,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210608,-
2801895,65133301,7,KNV76_gp007,SEA_OHSHAGHENNESSY_7,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210608,-
2801895,65133302,8,KNV76_gp008,SEA_OHSHAGHENNESSY_8,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2801895,65133303,9,KNV76_gp009,SEA_OHSHAGHENNESSY_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210608,-
2801895,65133304,10,KNV76_gp010,SEA_OHSHAGHENNESSY_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210608,-
2801895,65133305,11,KNV76_gp011,SEA_OHSHAGHENNESSY_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133306,12,KNV76_gp012,SEA_OHSHAGHENNESSY_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210608,-
2801895,65133307,13,KNV76_gp013,SEA_OHSHAGHENNESSY_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210608,-
