#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1673877,26634811,SEA_AMELA_2,SEA_AMELA_2,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1673877,26634812,SEA_AMELA_3,SEA_AMELA_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634813,SEA_AMELA_4,SEA_AMELA_4,-,-,-,-,nuclease-like protein,protein-coding,-,-,-,nuclease-like protein,20201221,-
1673877,26634814,SEA_AMELA_5,SEA_AMELA_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634815,SEA_AMELA_6,SEA_AMELA_6,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1673877,26634816,SEA_AMELA_7,SEA_AMELA_7,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1673877,26634817,SEA_AMELA_8,SEA_AMELA_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634818,SEA_AMELA_9,SEA_AMELA_9,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1673877,26634819,SEA_AMELA_10,SEA_AMELA_10,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1673877,26634820,SEA_AMELA_11,SEA_AMELA_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634821,SEA_AMELA_12,SEA_AMELA_12,-,-,-,-,head-tail adaptor,protein-coding,-,-,-,head-tail adaptor,20201221,-
1673877,26634822,SEA_AMELA_13,SEA_AMELA_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634823,SEA_AMELA_14,SEA_AMELA_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
