#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1448311,37205778,BO88DRAFT_100227,BO88DRAFT_100227,-,-,Unknown,-,prenyltransferase,protein-coding,-,-,-,prenyltransferase,20200919,-
1448311,37205779,BO88DRAFT_100265,BO88DRAFT_100265,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205780,BO88DRAFT_100379,BO88DRAFT_100379,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205781,BO88DRAFT_100520,BO88DRAFT_100520,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205782,BO88DRAFT_100583,BO88DRAFT_100583,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205783,BO88DRAFT_100686,BO88DRAFT_100686,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205784,BO88DRAFT_101310,BO88DRAFT_101310,-,-,Unknown,-,"alpha-1,3-mannosyltransferase CMT1",protein-coding,-,-,-,"alpha-1,3-mannosyltransferase CMT1",20200919,-
1448311,37205785,BO88DRAFT_101311,BO88DRAFT_101311,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205786,BO88DRAFT_101354,BO88DRAFT_101354,-,-,Unknown,-,leucine rich repeat protein,protein-coding,-,-,-,leucine rich repeat protein,20200919,-
1448311,37205787,BO88DRAFT_101761,BO88DRAFT_101761,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205788,BO88DRAFT_102228,BO88DRAFT_102228,-,-,Unknown,-,amino acid transporter,protein-coding,-,-,-,amino acid transporter,20200919,-
1448311,37205789,BO88DRAFT_102526,BO88DRAFT_102526,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205790,BO88DRAFT_102611,BO88DRAFT_102611,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205791,BO88DRAFT_102620,BO88DRAFT_102620,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205792,BO88DRAFT_102634,BO88DRAFT_102634,-,-,Unknown,-,CDK-activating kinase assembly factor MAT1,protein-coding,-,-,-,CDK-activating kinase assembly factor MAT1,20200919,-
1448311,37205793,BO88DRAFT_102638,BO88DRAFT_102638,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205794,BO88DRAFT_103141,BO88DRAFT_103141,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205795,BO88DRAFT_10318,BO88DRAFT_10318,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205796,BO88DRAFT_103272,BO88DRAFT_103272,-,-,Unknown,-,GPI-anchored cell surface glyco protein,protein-coding,-,-,-,GPI-anchored cell surface glyco protein,20200919,-
1448311,37205797,BO88DRAFT_103281,BO88DRAFT_103281,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205798,BO88DRAFT_103356,BO88DRAFT_103356,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205799,BO88DRAFT_103371,BO88DRAFT_103371,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205800,BO88DRAFT_103647,BO88DRAFT_103647,-,-,Unknown,-,regulatory protein Ral2,protein-coding,-,-,-,regulatory protein Ral2,20200919,-
1448311,37205801,BO88DRAFT_10365,BO88DRAFT_10365,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205802,BO88DRAFT_103757,BO88DRAFT_103757,-,-,Unknown,-,F-box domain protein,protein-coding,-,-,-,F-box domain protein,20200919,-
1448311,37205803,BO88DRAFT_103822,BO88DRAFT_103822,-,-,Unknown,-,transcription elongation factor Spt5,protein-coding,-,-,-,transcription elongation factor Spt5,20200919,-
1448311,37205804,BO88DRAFT_104092,BO88DRAFT_104092,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205805,BO88DRAFT_104099,BO88DRAFT_104099,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205806,BO88DRAFT_104111,BO88DRAFT_104111,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205807,BO88DRAFT_104119,BO88DRAFT_104119,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205808,BO88DRAFT_104244,BO88DRAFT_104244,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205809,BO88DRAFT_104268,BO88DRAFT_104268,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205810,BO88DRAFT_104275,BO88DRAFT_104275,-,-,Unknown,-,YeeE/YedE family integral membrane protein,protein-coding,-,-,-,YeeE/YedE family integral membrane protein,20200919,-
1448311,37205811,BO88DRAFT_104330,BO88DRAFT_104330,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20200919,-
1448311,37205812,BO88DRAFT_104462,BO88DRAFT_104462,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205813,BO88DRAFT_104547,BO88DRAFT_104547,-,-,Unknown,-,GPI transamidase component PIG-U,protein-coding,-,-,-,GPI transamidase component PIG-U,20200919,-
1448311,37205814,BO88DRAFT_104556,BO88DRAFT_104556,-,-,Unknown,-,GNAT family acetyltransferase Nat4,protein-coding,-,-,-,GNAT family acetyltransferase Nat4,20200919,-
1448311,37205815,BO88DRAFT_104602,BO88DRAFT_104602,-,-,Unknown,-,succinate-semialdehyde dehydrogenase [NADP+],protein-coding,-,-,-,succinate-semialdehyde dehydrogenase [NADP+],20200919,-
1448311,37205816,BO88DRAFT_104651,BO88DRAFT_104651,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205817,BO88DRAFT_104762,BO88DRAFT_104762,-,-,Unknown,-,SAM-dependent methyltransferas-like protein,protein-coding,-,-,-,SAM-dependent methyltransferas-like protein,20200919,-
1448311,37205818,BO88DRAFT_104800,BO88DRAFT_104800,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205819,BO88DRAFT_105159,BO88DRAFT_105159,-,-,Unknown,-,pitrilysin family metalloprotease,protein-coding,-,-,-,pitrilysin family metalloprotease,20200919,-
1448311,37205820,BO88DRAFT_105231,BO88DRAFT_105231,-,-,Unknown,-,DNA polymerase delta subunit 2,protein-coding,-,-,-,DNA polymerase delta subunit 2,20200919,-
1448311,37205821,BO88DRAFT_105297,BO88DRAFT_105297,-,-,Unknown,-,NTF2-like protein,protein-coding,-,-,-,NTF2-like protein,20210424,-
1448311,37205822,BO88DRAFT_105434,BO88DRAFT_105434,-,-,Unknown,-,CaaX farnesyltransferase alpha subunit,protein-coding,-,-,-,CaaX farnesyltransferase alpha subunit,20200919,-
1448311,37205823,BO88DRAFT_105816,BO88DRAFT_105816,-,-,Unknown,-,carboxylesterase-lipase family protein,protein-coding,-,-,-,carboxylesterase-lipase family protein,20200919,-
1448311,37205824,BO88DRAFT_10621,BO88DRAFT_10621,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205825,BO88DRAFT_10622,BO88DRAFT_10622,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205826,BO88DRAFT_106420,BO88DRAFT_106420,-,-,Unknown,-,N-terminal nucleophile aminohydrolase,protein-coding,-,-,-,N-terminal nucleophile aminohydrolase,20200919,-
1448311,37205827,BO88DRAFT_106470,BO88DRAFT_106470,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205828,BO88DRAFT_106518,BO88DRAFT_106518,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205829,BO88DRAFT_106600,BO88DRAFT_106600,-,-,Unknown,-,60S ribosomal protein L36,protein-coding,-,-,-,60S ribosomal protein L36,20200919,-
1448311,37205830,BO88DRAFT_106623,BO88DRAFT_106623,-,-,Unknown,-,sensor histidine kinase/response regulator,protein-coding,-,-,-,sensor histidine kinase/response regulator,20200919,-
1448311,37205831,BO88DRAFT_106833,BO88DRAFT_106833,-,-,Unknown,-,cytidylyltransferase,protein-coding,-,-,-,cytidylyltransferase,20200919,-
1448311,37205832,BO88DRAFT_106850,BO88DRAFT_106850,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205833,BO88DRAFT_10687,BO88DRAFT_10687,-,-,Unknown,-,ferric-chelate reductase,protein-coding,-,-,-,ferric-chelate reductase,20200919,-
1448311,37205834,BO88DRAFT_107169,BO88DRAFT_107169,-,-,Unknown,-,putative cytochrome c subunit,protein-coding,-,-,-,putative cytochrome c subunit,20200919,-
1448311,37205835,BO88DRAFT_107256,BO88DRAFT_107256,-,-,Unknown,-,nuclear envelope protein,protein-coding,-,-,-,nuclear envelope protein,20200919,-
1448311,37205836,BO88DRAFT_107384,BO88DRAFT_107384,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205837,BO88DRAFT_107440,BO88DRAFT_107440,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205838,BO88DRAFT_107916,BO88DRAFT_107916,-,-,Unknown,-,ubiquitin-conjugating enzyme E2-18 kDa,protein-coding,-,-,-,ubiquitin-conjugating enzyme E2-18 kDa,20210424,-
1448311,37205839,BO88DRAFT_108131,BO88DRAFT_108131,-,-,Unknown,-,MSP domain protein,protein-coding,-,-,-,MSP domain protein,20200919,-
1448311,37205840,BO88DRAFT_108270,BO88DRAFT_108270,-,-,Unknown,-,mannan polymerase II complex ANP1 subunit,protein-coding,-,-,-,mannan polymerase II complex ANP1 subunit,20210424,-
1448311,37205841,BO88DRAFT_108272,BO88DRAFT_108272,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1448311,37205842,BO88DRAFT_108950,BO88DRAFT_108950,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205843,BO88DRAFT_108981,BO88DRAFT_108981,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205844,BO88DRAFT_109108,BO88DRAFT_109108,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205845,BO88DRAFT_109564,BO88DRAFT_109564,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205846,BO88DRAFT_109620,BO88DRAFT_109620,-,-,Unknown,-,CHL4-domain-containing protein,protein-coding,-,-,-,CHL4-domain-containing protein,20200919,-
1448311,37205847,BO88DRAFT_109738,BO88DRAFT_109738,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205848,BO88DRAFT_109745,BO88DRAFT_109745,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205849,BO88DRAFT_109748,BO88DRAFT_109748,-,-,Unknown,-,dDENN domain protein,protein-coding,-,-,-,dDENN domain protein,20200919,-
1448311,37205850,BO88DRAFT_109749,BO88DRAFT_109749,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205851,BO88DRAFT_109853,BO88DRAFT_109853,-,-,Unknown,-,mitochondrial carrier,protein-coding,-,-,-,mitochondrial carrier,20200919,-
1448311,37205852,BO88DRAFT_109943,BO88DRAFT_109943,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205853,BO88DRAFT_109968,BO88DRAFT_109968,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205854,BO88DRAFT_109976,BO88DRAFT_109976,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205855,BO88DRAFT_110093,BO88DRAFT_110093,-,-,Unknown,-,longevity-assurance protein,protein-coding,-,-,-,longevity-assurance protein,20200919,-
1448311,37205856,BO88DRAFT_110140,BO88DRAFT_110140,-,-,Unknown,-,cytochrome b5,protein-coding,-,-,-,cytochrome b5,20200919,-
1448311,37205857,BO88DRAFT_110194,BO88DRAFT_110194,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205858,BO88DRAFT_110201,BO88DRAFT_110201,-,-,Unknown,-,casein kinase II beta 1 subunit,protein-coding,-,-,-,casein kinase II beta 1 subunit,20200919,-
1448311,37205859,BO88DRAFT_110368,BO88DRAFT_110368,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205860,BO88DRAFT_110643,BO88DRAFT_110643,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205861,BO88DRAFT_110832,BO88DRAFT_110832,-,-,Unknown,-,JmjC domain protein,protein-coding,-,-,-,JmjC domain protein,20200919,-
1448311,37205862,BO88DRAFT_110834,BO88DRAFT_110834,-,-,Unknown,-,DUF1783-domain-containing protein,protein-coding,-,-,-,DUF1783-domain-containing protein,20200919,-
1448311,37205863,BO88DRAFT_110891,BO88DRAFT_110891,-,-,Unknown,-,flavo protein,protein-coding,-,-,-,flavo protein,20200919,-
1448311,37205864,BO88DRAFT_110902,BO88DRAFT_110902,-,-,Unknown,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200919,-
1448311,37205865,BO88DRAFT_111613,BO88DRAFT_111613,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205866,BO88DRAFT_11180,BO88DRAFT_11180,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
