#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2716729,65064363,KMC30_gp001,KMC30_gp001,PhiZZ30_001,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210608,-
2716729,65064364,KMC30_gp002,KMC30_gp002,PhiZZ30_002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2716729,65064365,KMC30_gp003,KMC30_gp003,PhiZZ30_003,-,-,-,DNA gyrase subunit B,protein-coding,-,-,-,DNA gyrase subunit B,20210609,-
2716729,65064366,KMC30_gp004,KMC30_gp004,PhiZZ30_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064367,KMC30_gp005,KMC30_gp005,PhiZZ30_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064368,KMC30_gp006,KMC30_gp006,PhiZZ30_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064369,KMC30_gp007,KMC30_gp007,PhiZZ30_007,-,-,-,mRNA metabolism modulator,protein-coding,-,-,-,mRNA metabolism modulator,20210608,-
2716729,65064370,KMC30_gp008,KMC30_gp008,PhiZZ30_008,-,-,-,modifier of suppressor tRNAs,protein-coding,-,-,-,modifier of suppressor tRNAs,20210608,-
2716729,65064371,KMC30_gp009,KMC30_gp009,PhiZZ30_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064372,KMC30_gp010,KMC30_gp010,PhiZZ30_010,-,-,-,transcription regulatory protein,protein-coding,-,-,-,transcription regulatory protein,20210608,-
2716729,65064373,KMC30_gp011,KMC30_gp011,PhiZZ30_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064374,KMC30_gp012,KMC30_gp012,PhiZZ30_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064375,KMC30_gp013,KMC30_gp013,PhiZZ30_013,-,-,-,putative exonuclease A,protein-coding,-,-,-,putative exonuclease A,20210608,-
2716729,65064376,KMC30_gp014,KMC30_gp014,PhiZZ30_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064377,KMC30_gp015,KMC30_gp015,PhiZZ30_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064378,KMC30_gp016,KMC30_gp016,PhiZZ30_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064379,KMC30_gp017,KMC30_gp017,PhiZZ30_017,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210608,-
2716729,65064380,KMC30_gp018,KMC30_gp018,PhiZZ30_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064381,KMC30_gp019,KMC30_gp019,PhiZZ30_019,-,-,-,putative decoy of host sigma70 or sigmaS,protein-coding,-,-,-,putative decoy of host sigma70 or sigmaS,20210608,-
2716729,65064382,KMC30_gp020,KMC30_gp020,PhiZZ30_020,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20210608,-
2716729,65064383,KMC30_gp021,KMC30_gp021,PhiZZ30_021,-,-,-,NAD--protein ADP-ribosyltransferase,protein-coding,-,-,-,NAD--protein ADP-ribosyltransferase,20210608,-
2716729,65064384,KMC30_gp022,KMC30_gp022,PhiZZ30_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064385,KMC30_gp023,KMC30_gp023,PhiZZ30_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064386,KMC30_gp024,KMC30_gp024,PhiZZ30_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064387,KMC30_gp025,KMC30_gp025,PhiZZ30_025,-,-,-,transcription modulator,protein-coding,-,-,-,transcription modulator,20210608,-
2716729,65064388,KMC30_gp026,KMC30_gp026,PhiZZ30_026,-,-,-,transcription modulator under heat shock,protein-coding,-,-,-,transcription modulator under heat shock,20210608,-
2716729,65064389,KMC30_gp027,KMC30_gp027,PhiZZ30_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064390,KMC30_gp028,KMC30_gp028,PhiZZ30_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064391,KMC30_gp029,KMC30_gp029,PhiZZ30_029,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20210608,-
2716729,65064392,KMC30_gp030,KMC30_gp030,PhiZZ30_030,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20210608,-
2716729,65064393,KMC30_gp031,KMC30_gp031,PhiZZ30_031,-,-,-,putative DNA adenine methyltransferase,protein-coding,-,-,-,putative DNA adenine methyltransferase,20210612,-
2716729,65064394,KMC30_gp032,KMC30_gp032,PhiZZ30_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064395,KMC30_gp033,KMC30_gp033,PhiZZ30_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064396,KMC30_gp034,KMC30_gp034,PhiZZ30_034,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210609,-
2716729,65064397,KMC30_gp035,KMC30_gp035,PhiZZ30_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064398,KMC30_gp036,KMC30_gp036,PhiZZ30_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064399,KMC30_gp037,KMC30_gp037,PhiZZ30_037,-,-,-,spackle periplasmic protein,protein-coding,-,-,-,spackle periplasmic protein,20210608,-
2716729,65064400,KMC30_gp038,KMC30_gp038,PhiZZ30_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064401,KMC30_gp039,KMC30_gp039,PhiZZ30_039,-,-,-,discriminator of mRNA degradation,protein-coding,-,-,-,discriminator of mRNA degradation,20210608,-
2716729,65064402,KMC30_gp040,KMC30_gp040,PhiZZ30_040,-,-,-,DNA primase/helicase subunit,protein-coding,-,-,-,DNA primase/helicase subunit,20210608,-
2716729,65064403,KMC30_gp041,KMC30_gp041,PhiZZ30_041,-,-,-,putative head vertex assembly chaperone,protein-coding,-,-,-,putative head vertex assembly chaperone,20210608,-
2716729,65064404,KMC30_gp042,KMC30_gp042,PhiZZ30_042,-,-,-,RecA-like recombinase protein,protein-coding,-,-,-,RecA-like recombinase protein,20210609,-
2716729,65064405,KMC30_gp043,KMC30_gp043,PhiZZ30_043,-,-,-,glucosyltransferase,protein-coding,-,-,-,glucosyltransferase,20210608,-
2716729,65064406,KMC30_gp044,KMC30_gp044,PhiZZ30_044,-,-,-,deoxycytidylate 5-hydroxymethyltransferase,protein-coding,-,-,-,deoxycytidylate 5-hydroxymethyltransferase,20210608,-
2716729,65064407,KMC30_gp045,KMC30_gp045,PhiZZ30_045,-,-,-,immunity to superinfection membrane protein,protein-coding,-,-,-,immunity to superinfection membrane protein,20210608,-
2716729,65064408,KMC30_gp046,KMC30_gp046,PhiZZ30_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064409,KMC30_gp047,KMC30_gp047,PhiZZ30_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064410,KMC30_gp048,KMC30_gp048,PhiZZ30_048,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210608,-
2716729,65064411,KMC30_gp049,KMC30_gp049,PhiZZ30_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064412,KMC30_gp050,KMC30_gp050,PhiZZ30_050,-,-,-,translation repressor of early genes,protein-coding,-,-,-,translation repressor of early genes,20210612,-
2716729,65064413,KMC30_gp051,KMC30_gp051,PhiZZ30_051,-,-,-,clamp-loader subunit,protein-coding,-,-,-,clamp-loader subunit,20210608,-
2716729,65064414,KMC30_gp052,KMC30_gp052,PhiZZ30_052,-,-,-,DNA polymerase clamp loader subunit,protein-coding,-,-,-,DNA polymerase clamp loader subunit,20210608,-
2716729,65064415,KMC30_gp053,KMC30_gp053,PhiZZ30_053,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20210608,-
2716729,65064416,KMC30_gp054,KMC30_gp054,PhiZZ30_054,-,-,-,putative RNA polymerase binding protein,protein-coding,-,-,-,putative RNA polymerase binding protein,20210612,-
2716729,65064417,KMC30_gp055,KMC30_gp055,PhiZZ30_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064418,KMC30_gp056,KMC30_gp056,PhiZZ30_056,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210608,-
