#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419753,64469276,KGB43_gp02,KGB43_gp02,SeSz2_2,-,-,-,bacterial type single-stranded DNA-binding protein,protein-coding,-,-,-,bacterial type single-stranded DNA-binding protein,20210502,-
2419753,64469277,KGB43_gp03,KGB43_gp03,SeSz2_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469278,KGB43_gp04,KGB43_gp04,SeSz2_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469279,KGB43_gp05,KGB43_gp05,SeSz2_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469280,KGB43_gp06,KGB43_gp06,SeSz2_6,-,-,-,-,other,-,-,-,-,20210502,-
2419753,64469281,KGB43_gp07,KGB43_gp07,SeSz2_7,-,-,-,putative ATP-dependent helicase,protein-coding,-,-,-,putative ATP-dependent helicase,20210502,-
2419753,64469282,KGB43_gp08,KGB43_gp08,SeSz2_8,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210502,-
2419753,64469283,KGB43_gp09,KGB43_gp09,SeSz2_9,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20210502,-
2419753,64469284,KGB43_gp10,KGB43_gp10,SeSz2_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469285,KGB43_gp11,KGB43_gp11,SeSz2_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469286,KGB43_gp12,KGB43_gp12,SeSz2_12,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210502,-
2419753,64469287,KGB43_gp13,KGB43_gp13,SeSz2_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469288,KGB43_gp14,KGB43_gp14,SeSz2_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469289,KGB43_gp15,KGB43_gp15,SeSz2_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469290,KGB43_gp16,KGB43_gp16,SeSz2_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469291,KGB43_gp17,KGB43_gp17,SeSz2_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469292,KGB43_gp18,KGB43_gp18,SeSz2_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469293,KGB43_gp19,KGB43_gp19,SeSz2_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469294,KGB43_gp20,KGB43_gp20,SeSz2_20,-,-,-,putative endonuclease protein,protein-coding,-,-,-,putative endonuclease protein,20210502,-
2419753,64469295,KGB43_gp21,KGB43_gp21,SeSz2_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469296,KGB43_gp22,KGB43_gp22,SeSz2_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469297,KGB43_gp23,KGB43_gp23,SeSz2_23,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20210502,-
2419753,64469298,KGB43_gp24,KGB43_gp24,SeSz2_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469299,KGB43_gp25,KGB43_gp25,SeSz2_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469300,KGB43_gp26,KGB43_gp26,SeSz2_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469301,KGB43_gp27,KGB43_gp27,SeSz2_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469302,KGB43_gp28,KGB43_gp28,SeSz2_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469303,KGB43_gp29,KGB43_gp29,SeSz2_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469304,KGB43_gp30,KGB43_gp30,SeSz2_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469305,KGB43_gp31,KGB43_gp31,SeSz2_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469306,KGB43_gp32,KGB43_gp32,SeSz2_32,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210502,-
2419753,64469307,KGB43_gp33,KGB43_gp33,SeSz2_33,-,-,-,putative head assembly protein,protein-coding,-,-,-,putative head assembly protein,20210502,-
2419753,64469308,KGB43_gp34,KGB43_gp34,SeSz2_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469309,KGB43_gp35,KGB43_gp35,SeSz2_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469310,KGB43_gp36,KGB43_gp36,SeSz2_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469311,KGB43_gp37,KGB43_gp37,SeSz2_37,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20210502,-
2419753,64469312,KGB43_gp38,KGB43_gp38,SeSz2_38,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210502,-
2419753,64469313,KGB43_gp39,KGB43_gp39,SeSz2_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469314,KGB43_gp40,KGB43_gp40,SeSz2_40,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210502,-
2419753,64469315,KGB43_gp41,KGB43_gp41,SeSz2_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469316,KGB43_gp42,KGB43_gp42,SeSz2_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469317,KGB43_gp43,KGB43_gp43,SeSz2_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469318,KGB43_gp44,KGB43_gp44,SeSz2_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469319,KGB43_gp45,KGB43_gp45,SeSz2_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
