#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099449,62348297,2,JMN40_gp02,EA_SCOWL_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2099449,62348298,3,JMN40_gp03,EA_SCOWL_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348299,4,JMN40_gp04,EA_SCOWL_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348300,5,JMN40_gp05,EA_SCOWL_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348301,6,JMN40_gp06,EA_SCOWL_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348302,7,JMN40_gp07,EA_SCOWL_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348303,8,JMN40_gp08,EA_SCOWL_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348304,9,JMN40_gp09,EA_SCOWL_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348305,10,JMN40_gp10,EA_SCOWL_10,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2099449,62348306,11,JMN40_gp11,EA_SCOWL_11,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210123,-
2099449,62348307,12,JMN40_gp12,EA_SCOWL_12,-,-,-,terminase,protein-coding,-,-,-,terminase,20210417,-
2099449,62348308,13,JMN40_gp13,EA_SCOWL_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2099449,62348309,14,JMN40_gp14,EA_SCOWL_14,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210123,-
2099449,62348310,15,JMN40_gp15,EA_SCOWL_15,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210123,-
2099449,62348311,16,JMN40_gp16,EA_SCOWL_16,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2099449,62348312,17,JMN40_gp17,EA_SCOWL_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348313,18,JMN40_gp18,EA_SCOWL_18,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210212,-
2099449,62348314,19,JMN40_gp19,EA_SCOWL_19,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210123,-
2099449,62348315,20,JMN40_gp20,EA_SCOWL_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2099449,62348316,21,JMN40_gp21,EA_SCOWL_21,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210123,-
2099449,62348317,22,JMN40_gp22,EA_SCOWL_22,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
2099449,62348318,23,JMN40_gp23,EA_SCOWL_23,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2099449,62348319,24,JMN40_gp24,EA_SCOWL_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
2099449,62348320,26,JMN40_gp26,EA_SCOWL_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099449,62348321,27,JMN40_gp27,EA_SCOWL_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099449,62348322,28,JMN40_gp28,EA_SCOWL_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099449,62348323,29,JMN40_gp29,EA_SCOWL_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210212,-
2099449,62348324,30,JMN40_gp30,EA_SCOWL_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099449,62348325,31,JMN40_gp31,EA_SCOWL_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2099449,62348326,32,JMN40_gp32,EA_SCOWL_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2099449,62348327,33,JMN40_gp33,EA_SCOWL_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348328,34,JMN40_gp34,EA_SCOWL_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348329,35,JMN40_gp35,EA_SCOWL_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348330,36,JMN40_gp36,EA_SCOWL_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348331,37,JMN40_gp37,EA_SCOWL_37,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2099449,62348332,38,JMN40_gp38,EA_SCOWL_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348333,39,JMN40_gp39,EA_SCOWL_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348334,40,JMN40_gp40,EA_SCOWL_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348335,41,JMN40_gp41,EA_SCOWL_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348336,42,JMN40_gp42,EA_SCOWL_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348337,43,JMN40_gp43,EA_SCOWL_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
