#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1597966,26636460,AVV20_gp02,AVV20_gp02,CPT_Palmer2,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20201221,-
1597966,26636461,AVV20_gp03,AVV20_gp03,CPT_Palmer3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636462,AVV20_gp04,AVV20_gp04,CPT_Palmer4,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20201221,-
1597966,26636463,AVV20_gp05,AVV20_gp05,CPT_Palmer5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636464,AVV20_gp06,AVV20_gp06,CPT_Palmer6,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1597966,26636465,AVV20_gp07,AVV20_gp07,CPT_Palmer7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636466,AVV20_gp08,AVV20_gp08,CPT_Palmer8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636467,AVV20_gp09,AVV20_gp09,CPT_Palmer9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636468,AVV20_gp10,AVV20_gp10,CPT_Palmer10,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1597966,26636469,AVV20_gp11,AVV20_gp11,CPT_Palmer11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636470,AVV20_gp12,AVV20_gp12,CPT_Palmer12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636471,AVV20_gp13,AVV20_gp13,CPT_Palmer13,-,-,-,tailspike,protein-coding,-,-,-,tailspike,20201221,-
1597966,26636472,AVV20_gp14,AVV20_gp14,CPT_Palmer14,-,-,-,carboxypeptidase A,protein-coding,-,-,-,carboxypeptidase A,20201221,-
1597966,26636473,AVV20_gp15,AVV20_gp15,CPT_Palmer15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636474,AVV20_gp16,AVV20_gp16,CPT_Palmer16,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20201221,-
1597966,26636475,AVV20_gp17,AVV20_gp17,CPT_Palmer17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636476,AVV20_gp18,AVV20_gp18,CPT_Palmer18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636477,AVV20_gp19,AVV20_gp19,CPT_Palmer19,-,-,-,peptidoglycan-degrading protein,protein-coding,-,-,-,peptidoglycan-degrading protein,20201221,-
1597966,26636478,AVV20_gp20,AVV20_gp20,CPT_Palmer20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636479,AVV20_gp21,AVV20_gp21,CPT_Palmer21,-,-,-,antiholin,protein-coding,-,-,-,antiholin,20201221,-
1597966,26636480,AVV20_gp22,AVV20_gp22,CPT_Palmer22,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1597966,26636481,AVV20_gp23,AVV20_gp23,CPT_Palmer23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636482,AVV20_gp24,AVV20_gp24,CPT_Palmer24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636483,AVV20_gp25,AVV20_gp25,CPT_Palmer25,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201221,-
1597966,26636484,AVV20_gp26,AVV20_gp26,CPT_Palmer26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636485,AVV20_gp27,AVV20_gp27,CPT_Palmer27,-,-,-,FtsK/SpoIIIE protein,protein-coding,-,-,-,FtsK/SpoIIIE protein,20201221,-
1597966,26636486,AVV20_gp28,AVV20_gp28,CPT_Palmer28,-,-,-,replication-relaxation protein,protein-coding,-,-,-,replication-relaxation protein,20201221,-
1597966,26636487,AVV20_gp29,AVV20_gp29,CPT_Palmer29,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1597966,26636488,AVV20_gp30,AVV20_gp30,CPT_Palmer30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636489,AVV20_gp31,AVV20_gp31,CPT_Palmer31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636490,AVV20_gp32,AVV20_gp32,CPT_Palmer32,-,-,-,nucleoside triphosphate hydrolase,protein-coding,-,-,-,nucleoside triphosphate hydrolase,20201221,-
1597966,26636491,AVV20_gp33,AVV20_gp33,CPT_Palmer33,-,-,-,single-strand DNA annealing protein,protein-coding,-,-,-,single-strand DNA annealing protein,20201221,-
1597966,26636492,AVV20_gp34,AVV20_gp34,CPT_Palmer34,-,-,-,metal-dependent hydrolase,protein-coding,-,-,-,metal-dependent hydrolase,20201221,-
1597966,26636493,AVV20_gp35,AVV20_gp35,CPT_Palmer35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636494,AVV20_gp36,AVV20_gp36,CPT_Palmer36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636495,AVV20_gp37,AVV20_gp37,CPT_Palmer37,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1597966,26636496,AVV20_gp38,AVV20_gp38,CPT_Palmer38,-,-,-,DnaD/DnaB replication protein,protein-coding,-,-,-,DnaD/DnaB replication protein,20201221,-
1597966,26636497,AVV20_gp39,AVV20_gp39,CPT_Palmer39,-,-,-,DNA replication protein DnaC,protein-coding,-,-,-,DNA replication protein DnaC,20201221,-
1597966,26636498,AVV20_gp40,AVV20_gp40,CPT_Palmer40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636499,AVV20_gp41,AVV20_gp41,CPT_Palmer41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636500,AVV20_gp42,AVV20_gp42,CPT_Palmer42,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201221,-
1597966,26636501,AVV20_gp43,AVV20_gp43,CPT_Palmer43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636502,AVV20_gp44,AVV20_gp44,CPT_Palmer44,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20201221,-
1597966,26636503,AVV20_gp45,AVV20_gp45,CPT_Palmer45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636504,AVV20_gp46,AVV20_gp46,CPT_Palmer46,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20201221,-
1597966,26636505,AVV20_gp47,AVV20_gp47,CPT_Palmer47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636506,AVV20_gp48,AVV20_gp48,CPT_Palmer48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597966,26636507,AVV20_gp49,AVV20_gp49,CPT_Palmer49,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20201221,-
1597966,26636508,AVV20_gp50,AVV20_gp50,CPT_Palmer50,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20201221,-
1597966,26636509,AVV20_gp01,AVV20_gp01,CPT_Palmer1,-,-,-,small terminase subunit,protein-coding,-,-,-,small terminase subunit,20201221,-
1597966,26680734,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
