#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301700,60330494,2,I5H56_gp002,SEA_KRISTARAM_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2301700,60330495,3,I5H56_gp003,SEA_KRISTARAM_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2301700,60330496,4,I5H56_gp004,SEA_KRISTARAM_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2301700,60330497,5,I5H56_gp005,SEA_KRISTARAM_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2301700,60330498,6,I5H56_gp006,SEA_KRISTARAM_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2301700,60330499,7,I5H56_gp007,SEA_KRISTARAM_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2301700,60330500,8,I5H56_gp008,SEA_KRISTARAM_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2301700,60330501,9,I5H56_gp009,SEA_KRISTARAM_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2301700,60330502,10,I5H56_gp010,SEA_KRISTARAM_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301700,60330503,11,I5H56_gp011,SEA_KRISTARAM_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2301700,60330504,12,I5H56_gp012,SEA_KRISTARAM_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2301700,60330505,14,I5H56_gp013,SEA_KRISTARAM_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2301700,60330506,15,I5H56_gp015,SEA_KRISTARAM_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2301700,60330507,13,I5H56_gp014,SEA_KRISTARAM_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2301700,60330508,16,I5H56_gp016,SEA_KRISTARAM_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301700,60330509,17,I5H56_gp017,SEA_KRISTARAM_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301700,60330510,18,I5H56_gp018,SEA_KRISTARAM_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301700,60330511,19,I5H56_gp019,SEA_KRISTARAM_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301700,60330512,20,I5H56_gp020,SEA_KRISTARAM_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210417,-
2301700,60330513,21,I5H56_gp021,SEA_KRISTARAM_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301700,60330514,22,I5H56_gp022,SEA_KRISTARAM_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301700,60330515,23,I5H56_gp023,SEA_KRISTARAM_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301700,60330516,24,I5H56_gp024,SEA_KRISTARAM_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301700,60330517,25,I5H56_gp025,SEA_KRISTARAM_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2301700,60330518,26,I5H56_gp026,SEA_KRISTARAM_26,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2301700,60330519,27,I5H56_gp027,SEA_KRISTARAM_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330520,28,I5H56_gp028,SEA_KRISTARAM_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330521,29,I5H56_gp029,SEA_KRISTARAM_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330522,30,I5H56_gp030,SEA_KRISTARAM_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330523,31,I5H56_gp031,SEA_KRISTARAM_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2301700,60330524,32,I5H56_gp032,SEA_KRISTARAM_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2301700,60330525,33,I5H56_gp033,SEA_KRISTARAM_33,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
2301700,60330526,34,I5H56_gp034,SEA_KRISTARAM_34,-,-,-,NKF protein,protein-coding,-,-,-,NKF protein,20210417,-
2301700,60330527,35,I5H56_gp035,SEA_KRISTARAM_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330528,36,I5H56_gp036,SEA_KRISTARAM_36,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20201129,-
2301700,60330529,37,I5H56_gp037,SEA_KRISTARAM_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330530,38,I5H56_gp038,SEA_KRISTARAM_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330531,39,I5H56_gp039,SEA_KRISTARAM_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330532,40,I5H56_gp040,SEA_KRISTARAM_40,-,-,-,cluster A immunity repressor,protein-coding,-,-,-,cluster A immunity repressor,20201129,-
2301700,60330533,41,I5H56_gp041,SEA_KRISTARAM_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330534,42,I5H56_gp042,SEA_KRISTARAM_42,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2301700,60330535,43,I5H56_gp043,SEA_KRISTARAM_43,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2301700,60330536,44,I5H56_gp044,SEA_KRISTARAM_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330537,45,I5H56_gp045,SEA_KRISTARAM_45,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2301700,60330538,46,I5H56_gp046,SEA_KRISTARAM_46,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20201203,-
2301700,60330539,47,I5H56_gp047,SEA_KRISTARAM_47,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210417,-
2301700,60330540,48,I5H56_gp048,SEA_KRISTARAM_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330541,49,I5H56_gp049,SEA_KRISTARAM_49,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2301700,60330542,50,I5H56_gp050,SEA_KRISTARAM_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330543,51,I5H56_gp051,SEA_KRISTARAM_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
