#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1655314,40069037,FDG86_gp001,FDG86_gp001,APCEc02_001,-,-,-,cell wall hydrolase,protein-coding,-,-,-,cell wall hydrolase,20210129,-
1655314,40069038,FDG86_gp002,FDG86_gp002,APCEc02_002,-,-,-,putative DNA-biding rIIA protein,protein-coding,-,-,-,putative DNA-biding rIIA protein,20210327,-
1655314,40069039,FDG86_gp003,FDG86_gp003,APCEc02_003,-,-,-,rIIB protector,protein-coding,-,-,-,rIIB protector,20200629,-
1655314,40069040,FDG86_gp004,FDG86_gp004,APCEc02_004,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20210327,-
1655314,40069041,FDG86_gp005,FDG86_gp005,APCEc02_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069042,FDG86_gp006,FDG86_gp006,APCEc02_006,-,-,-,putative adenine methyltransferase,protein-coding,-,-,-,putative adenine methyltransferase,20200629,-
1655314,40069043,FDG86_gp007,FDG86_gp007,APCEc02_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069044,FDG86_gp008,FDG86_gp008,APCEc02_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069045,FDG86_gp009,FDG86_gp009,APCEc02_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069046,FDG86_gp010,FDG86_gp010,APCEc02_010,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20201221,-
1655314,40069047,FDG86_gp011,FDG86_gp011,APCEc02_011,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210327,-
1655314,40069048,FDG86_gp012,FDG86_gp012,APCEc02_012,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210417,-
1655314,40069049,FDG86_gp013,FDG86_gp013,APCEc02_013,-,-,-,H-N-H homing endonuclease,protein-coding,-,-,-,H-N-H homing endonuclease,20200912,-
1655314,40069050,FDG86_gp014,FDG86_gp014,APCEc02_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069051,FDG86_gp015,FDG86_gp015,APCEc02_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069052,FDG86_gp016,FDG86_gp016,APCEc02_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
