#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1289467,55803516,HYO78_gp02,HYO78_gp02,-,-,-,-,large terminase,protein-coding,-,-,-,large terminase,20210417,-
1289467,55803517,HYO78_gp03,HYO78_gp03,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200926,-
1289467,55803518,HYO78_gp04,HYO78_gp04,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1289467,55803519,HYO78_gp05,HYO78_gp05,-,-,-,-,protease,protein-coding,-,-,-,protease,20210406,-
1289467,55803520,HYO78_gp06,HYO78_gp06,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200704,-
1289467,55803521,HYO78_gp07,HYO78_gp07,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200704,-
1289467,55803522,HYO78_gp08,HYO78_gp08,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200704,-
1289467,55803523,HYO78_gp09,HYO78_gp09,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200704,-
1289467,55803524,HYO78_gp10,HYO78_gp10,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200704,-
1289467,55803525,HYO78_gp11,HYO78_gp11,-,-,-,-,neck passage structure,protein-coding,-,-,-,neck passage structure,20210417,-
1289467,55803526,HYO78_gp12,HYO78_gp12,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
1289467,55803527,HYO78_gp13,HYO78_gp13,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200704,-
1289467,55803528,HYO78_gp14,HYO78_gp14,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200704,-
1289467,55803529,HYO78_gp15,HYO78_gp15,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
1289467,55803530,HYO78_gp16,HYO78_gp16,-,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20210417,-
1289467,55803531,HYO78_gp17,HYO78_gp17,-,-,-,-,host attachement protein,protein-coding,-,-,-,host attachement protein,20210417,-
1289467,55803532,HYO78_gp18,HYO78_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1289467,55803533,HYO78_gp19,HYO78_gp19,-,-,-,-,receptor binding protein,protein-coding,-,-,-,receptor binding protein,20210417,-
1289467,55803534,HYO78_gp20,HYO78_gp20,-,-,-,-,holin,protein-coding,-,-,-,holin,20200704,-
1289467,55803535,HYO78_gp21,HYO78_gp21,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20210417,-
1289467,55803536,HYO78_gp22,HYO78_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1289467,55803537,HYO78_gp23,HYO78_gp23,-,-,-,-,unknown early protein,protein-coding,-,-,-,unknown early protein,20200704,-
1289467,55803538,HYO78_gp24,HYO78_gp24,-,-,-,-,unknown early protein,protein-coding,-,-,-,unknown early protein,20200704,-
