#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1412875,18503557,T548_0002,T548_0002,-,-,-,-,putative exodeoxyribonuclease,protein-coding,-,-,-,putative exodeoxyribonuclease,20200910,-
1412875,18503558,T548_0003,T548_0003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503559,T548_0004,T548_0004,-,-,-,-,transglycosylase,protein-coding,-,-,-,transglycosylase,20200910,-
1412875,18503560,T548_0005,T548_0005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503561,T548_0006,T548_0006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503562,T548_0007,T548_0007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503563,T548_0008,T548_0008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503564,T548_0009,T548_0009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503565,T548_0010,T548_0010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503566,T548_0011,T548_0011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503567,T548_0012,T548_0012,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20200910,-
1412875,18503568,T548_0013,T548_0013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503569,T548_0014,T548_0014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503570,T548_0015,T548_0015,-,-,-,-,transglycosylase,protein-coding,-,-,-,transglycosylase,20200910,-
1412875,18503571,T548_0016,T548_0016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503572,T548_0017,T548_0017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503573,T548_0018,T548_0018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503574,T548_0019,T548_0019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503575,T548_0020,T548_0020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503576,T548_0021,T548_0021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503577,T548_0022,T548_0022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503578,T548_0023,T548_0023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503579,T548_0024,T548_0024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503580,T548_0025,T548_0025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
