#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2590929,65121602,2,KNU69_gp02,SEA_JUJU_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2590929,65121603,3,KNU69_gp03,SEA_JUJU_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210608,-
2590929,65121604,4,KNU69_gp04,SEA_JUJU_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210608,-
2590929,65121605,5,KNU69_gp05,SEA_JUJU_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210608,-
2590929,65121606,6,KNU69_gp06,SEA_JUJU_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2590929,65121607,7,KNU69_gp07,SEA_JUJU_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2590929,65121608,8,KNU69_gp08,SEA_JUJU_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210608,-
2590929,65121609,9,KNU69_gp09,SEA_JUJU_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210608,-
2590929,65121610,10,KNU69_gp10,SEA_JUJU_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2590929,65121611,11,KNU69_gp11,SEA_JUJU_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2590929,65121612,12,KNU69_gp12,SEA_JUJU_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2590929,65121613,13,KNU69_gp13,SEA_JUJU_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210608,-
