#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2070194,55606573,HWB44_gp02,HWB44_gp02,PBL1C_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2070194,55606574,HWB44_gp03,HWB44_gp03,PBL1C_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2070194,55606575,HWB44_gp04,HWB44_gp04,PBL1C_4,-,-,-,Clp protease,protein-coding,-,-,-,Clp protease,20210424,-
2070194,55606576,HWB44_gp05,HWB44_gp05,PBL1C_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2070194,55606577,HWB44_gp06,HWB44_gp06,PBL1C_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2070194,55606578,HWB44_gp07,HWB44_gp07,PBL1C_7,-,-,-,head-tail connector complex protein,protein-coding,-,-,-,head-tail connector complex protein,20210424,-
2070194,55606579,HWB44_gp08,HWB44_gp08,PBL1C_8,-,-,-,head-tail connector complex protein,protein-coding,-,-,-,head-tail connector complex protein,20210424,-
2070194,55606580,HWB44_gp09,HWB44_gp09,PBL1C_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2070194,55606581,HWB44_gp10,HWB44_gp10,PBL1C_10,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210424,-
2070194,55606582,HWB44_gp11,HWB44_gp11,PBL1C_11,-,-,-,"major tail protein, TP901-1 family",protein-coding,-,-,-,"major tail protein, TP901-1 family",20210406,-
2070194,55606583,HWB44_gp12,HWB44_gp12,PBL1C_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606584,HWB44_gp13,HWB44_gp13,PBL1C_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606585,HWB44_gp14,HWB44_gp14,PBL1C_14,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210424,-
2070194,55606586,HWB44_gp15,HWB44_gp15,PBL1C_15,-,-,-,tail family protein,protein-coding,-,-,-,tail family protein,20210320,-
2070194,55606587,HWB44_gp16,HWB44_gp16,PBL1C_16,-,-,-,siphovirus ReqiPepy6 Gp37-like family protein,protein-coding,-,-,-,siphovirus ReqiPepy6 Gp37-like family protein,20210424,-
2070194,55606588,HWB44_gp17,HWB44_gp17,PBL1C_17,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200620,-
2070194,55606589,HWB44_gp18,HWB44_gp18,PBL1C_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606590,HWB44_gp19,HWB44_gp19,PBL1C_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606591,HWB44_gp20,HWB44_gp20,PBL1C_20,-,-,-,bacteriocin biosynthesis protein,protein-coding,-,-,-,bacteriocin biosynthesis protein,20210417,-
2070194,55606592,HWB44_gp21,HWB44_gp21,PBL1C_21,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210424,-
2070194,55606593,HWB44_gp22,HWB44_gp22,PBL1C_22,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200620,-
2070194,55606594,HWB44_gp23,HWB44_gp23,PBL1C_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606595,HWB44_gp24,HWB44_gp24,PBL1C_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606596,HWB44_gp25,HWB44_gp25,PBL1C_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606597,HWB44_gp26,HWB44_gp26,PBL1C_26,-,-,-,amidase domain-containing protein,protein-coding,-,-,-,amidase domain-containing protein,20210417,-
2070194,55606598,HWB44_gp27,HWB44_gp27,PBL1C_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606599,HWB44_gp28,HWB44_gp28,PBL1C_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606600,HWB44_gp29,HWB44_gp29,PBL1C_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606601,HWB44_gp30,HWB44_gp30,PBL1C_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606602,HWB44_gp31,HWB44_gp31,PBL1C_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606603,HWB44_gp32,HWB44_gp32,PBL1C_32,-,-,-,YolD-like family protein,protein-coding,-,-,-,YolD-like family protein,20210424,-
2070194,55606604,HWB44_gp33,HWB44_gp33,PBL1C_33,-,-,-,transposase/integrase,protein-coding,-,-,-,transposase/integrase,20210424,-
2070194,55606605,HWB44_gp34,HWB44_gp34,PBL1C_34,-,-,-,IS3 family transposase,protein-coding,-,-,-,IS3 family transposase,20210417,-
2070194,55606606,HWB44_gp35,HWB44_gp35,PBL1C_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606607,HWB44_gp36,HWB44_gp36,PBL1C_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606608,HWB44_gp37,HWB44_gp37,PBL1C_37,-,-,-,putative antirepressor,protein-coding,-,-,-,putative antirepressor,20200620,-
2070194,55606609,HWB44_gp38,HWB44_gp38,PBL1C_38,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210424,-
2070194,55606610,HWB44_gp39,HWB44_gp39,PBL1C_39,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210417,-
2070194,55606611,HWB44_gp40,HWB44_gp40,PBL1C_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606612,HWB44_gp41,HWB44_gp41,PBL1C_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606613,HWB44_gp42,HWB44_gp42,PBL1C_42,-,-,-,Rha family transcriptional regulator,protein-coding,-,-,-,Rha family transcriptional regulator,20210417,-
2070194,55606614,HWB44_gp43,HWB44_gp43,PBL1C_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606615,HWB44_gp44,HWB44_gp44,PBL1C_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606616,HWB44_gp45,HWB44_gp45,PBL1C_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606617,HWB44_gp46,HWB44_gp46,PBL1C_46,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2070194,55606618,HWB44_gp47,HWB44_gp47,PBL1C_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606619,HWB44_gp48,HWB44_gp48,PBL1C_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606620,HWB44_gp49,HWB44_gp49,PBL1C_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606621,HWB44_gp50,HWB44_gp50,PBL1C_50,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210417,-
2070194,55606622,HWB44_gp51,HWB44_gp51,PBL1C_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606623,HWB44_gp52,HWB44_gp52,PBL1C_52,-,-,-,DNA recombination protein,protein-coding,-,-,-,DNA recombination protein,20210424,-
2070194,55606624,HWB44_gp53,HWB44_gp53,PBL1C_53,-,-,-,MBL fold metallo-hydrolase,protein-coding,-,-,-,MBL fold metallo-hydrolase,20210424,-
2070194,55606625,HWB44_gp54,HWB44_gp54,PBL1C_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2070194,55606626,HWB44_gp55,HWB44_gp55,PBL1C_55,-,-,-,primosome component-like protein,protein-coding,-,-,-,primosome component-like protein,20200620,-
2070194,55606627,HWB44_gp56,HWB44_gp56,PBL1C_56,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20210417,-
2070194,55606628,HWB44_gp57,HWB44_gp57,PBL1C_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606629,HWB44_gp58,HWB44_gp58,PBL1C_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606630,HWB44_gp59,HWB44_gp59,PBL1C_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606631,HWB44_gp60,HWB44_gp60,PBL1C_60,-,-,-,protein YopX,protein-coding,-,-,-,protein YopX,20210417,-
2070194,55606632,HWB44_gp61,HWB44_gp61,PBL1C_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2070194,55606633,HWB44_gp62,HWB44_gp62,PBL1C_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606634,HWB44_gp63,HWB44_gp63,PBL1C_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2070194,55606635,HWB44_gp64,HWB44_gp64,PBL1C_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606636,HWB44_gp65,HWB44_gp65,PBL1C_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606637,HWB44_gp66,HWB44_gp66,PBL1C_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606638,HWB44_gp67,HWB44_gp67,PBL1C_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606639,HWB44_gp68,HWB44_gp68,PBL1C_68,-,-,-,crossover junction endodeoxyribonuclease RuvC,protein-coding,-,-,-,crossover junction endodeoxyribonuclease RuvC,20210417,-
2070194,55606640,HWB44_gp69,HWB44_gp69,PBL1C_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606641,HWB44_gp70,HWB44_gp70,PBL1C_70,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210417,-
2070194,55606642,HWB44_gp71,HWB44_gp71,PBL1C_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606643,HWB44_gp72,HWB44_gp72,PBL1C_72,-,-,-,recombinase family protein,protein-coding,-,-,-,recombinase family protein,20210406,-
2070194,55606644,HWB44_gp73,HWB44_gp73,PBL1C_73,-,-,-,putative phosphomannomutase,protein-coding,-,-,-,putative phosphomannomutase,20200620,-
2070194,55606645,HWB44_gp74,HWB44_gp74,PBL1C_74,-,-,-,type II toxin-antitoxin system HicB family antitoxin,protein-coding,-,-,-,type II toxin-antitoxin system HicB family antitoxin,20210417,-
2070194,55606646,HWB44_gp75,HWB44_gp75,PBL1C_75,-,-,-,type II toxin-antitoxin system HicA family toxin,protein-coding,-,-,-,type II toxin-antitoxin system HicA family toxin,20210417,-
2070194,55606647,HWB44_gp76,HWB44_gp76,PBL1C_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606648,HWB44_gp77,HWB44_gp77,PBL1C_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2070194,55606649,HWB44_gp78,HWB44_gp78,PBL1C_78,-,-,-,putative transglycosylase,protein-coding,-,-,-,putative transglycosylase,20200620,-
2070194,55606650,HWB44_gp79,HWB44_gp79,PBL1C_79,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210425,-
2070194,55606651,HWB44_gp01,HWB44_gp01,PBL1C_1,-,-,-,P27 familygterminase small subunit,protein-coding,-,-,-,P27 familygterminase small subunit,20210424,-
2070194,55635757,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacillus phage PBL1c).,other,-,-,-,-,20200622,-
