#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301692,63026303,2,J1764_gp02,SEA_ASHERTHEMAN_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2301692,63026304,3,J1764_gp03,SEA_ASHERTHEMAN_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026305,4,J1764_gp04,SEA_ASHERTHEMAN_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026306,5,J1764_gp05,SEA_ASHERTHEMAN_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026307,6,J1764_gp06,SEA_ASHERTHEMAN_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026308,7,J1764_gp07,SEA_ASHERTHEMAN_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026309,8,J1764_gp08,SEA_ASHERTHEMAN_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026310,9,J1764_gp09,SEA_ASHERTHEMAN_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026311,10,J1764_gp10,SEA_ASHERTHEMAN_10,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210417,-
2301692,63026312,11,J1764_gp11,SEA_ASHERTHEMAN_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026313,12,J1764_gp12,SEA_ASHERTHEMAN_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210309,-
2301692,63026314,13,J1764_gp13,SEA_ASHERTHEMAN_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026315,14,J1764_gp14,SEA_ASHERTHEMAN_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026316,15,J1764_gp15,SEA_ASHERTHEMAN_15,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210309,-
2301692,63026317,16,J1764_gp16,SEA_ASHERTHEMAN_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026318,17,J1764_gp17,SEA_ASHERTHEMAN_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026319,18,J1764_gp18,SEA_ASHERTHEMAN_18,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210309,-
2301692,63026320,19,J1764_gp19,SEA_ASHERTHEMAN_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026321,20,J1764_gp20,SEA_ASHERTHEMAN_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026322,21,J1764_gp21,SEA_ASHERTHEMAN_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026323,22,J1764_gp22,SEA_ASHERTHEMAN_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026324,23,J1764_gp23,SEA_ASHERTHEMAN_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026325,24,J1764_gp24,SEA_ASHERTHEMAN_24,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210309,-
2301692,63026326,25,J1764_gp25,SEA_ASHERTHEMAN_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026327,26,J1764_gp26,SEA_ASHERTHEMAN_26,-,-,-,esterase,protein-coding,-,-,-,esterase,20210309,-
2301692,63026328,27,J1764_gp27,SEA_ASHERTHEMAN_27,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210309,-
2301692,63026329,28,J1764_gp28,SEA_ASHERTHEMAN_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026330,29,J1764_gp29,SEA_ASHERTHEMAN_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026331,30,J1764_gp30,SEA_ASHERTHEMAN_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026332,31,J1764_gp31,SEA_ASHERTHEMAN_31,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2301692,63026333,32,J1764_gp32,SEA_ASHERTHEMAN_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026334,33,J1764_gp33,SEA_ASHERTHEMAN_33,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210309,-
2301692,63026335,34,J1764_gp34,SEA_ASHERTHEMAN_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2301692,63026336,35,J1764_gp35,SEA_ASHERTHEMAN_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2301692,63026337,36,J1764_gp36,SEA_ASHERTHEMAN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026338,37,J1764_gp37,SEA_ASHERTHEMAN_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026339,38,J1764_gp38,SEA_ASHERTHEMAN_38,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2301692,63026340,39,J1764_gp39,SEA_ASHERTHEMAN_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026341,40,J1764_gp40,SEA_ASHERTHEMAN_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026342,41,J1764_gp41,SEA_ASHERTHEMAN_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026343,42,J1764_gp42,SEA_ASHERTHEMAN_42,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210309,-
2301692,63026344,43,J1764_gp43,SEA_ASHERTHEMAN_43,-,-,-,holin,protein-coding,-,-,-,holin,20210309,-
2301692,63026345,44,J1764_gp44,SEA_ASHERTHEMAN_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026346,45,J1764_gp45,SEA_ASHERTHEMAN_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026347,46,J1764_gp46,SEA_ASHERTHEMAN_46,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210309,-
2301692,63026348,47,J1764_gp47,SEA_ASHERTHEMAN_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026349,48,J1764_gp48,SEA_ASHERTHEMAN_48,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210309,-
2301692,63026350,49,J1764_gp49,SEA_ASHERTHEMAN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026351,50,J1764_gp50,SEA_ASHERTHEMAN_50,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210309,-
2301692,63026352,51,J1764_gp51,SEA_ASHERTHEMAN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026353,52,J1764_gp52,SEA_ASHERTHEMAN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026354,53,J1764_gp53,SEA_ASHERTHEMAN_53,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2301692,63026355,54,J1764_gp54,SEA_ASHERTHEMAN_54,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2301692,63026356,55,J1764_gp55,SEA_ASHERTHEMAN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026357,56,J1764_gp56,SEA_ASHERTHEMAN_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
