#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034118,40083746,2,FDI12_gp02,PBI_SWITZER_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201220,-
1034118,40083747,3,FDI12_gp03,PBI_SWITZER_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083748,4,FDI12_gp04,PBI_SWITZER_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083749,5,FDI12_gp05,PBI_SWITZER_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083750,6,FDI12_gp06,PBI_SWITZER_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083751,7,FDI12_gp07,PBI_SWITZER_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083752,8,FDI12_gp08,PBI_SWITZER_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083753,9,FDI12_gp09,PBI_SWITZER_9,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201220,-
1034118,40083754,10,FDI12_gp10,PBI_SWITZER_10,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
1034118,40083755,11,FDI12_gp11,PBI_SWITZER_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083756,12,FDI12_gp12,PBI_SWITZER_12,-,-,-,terminase,protein-coding,-,-,-,terminase,20201220,-
1034118,40083757,13,FDI12_gp13,PBI_SWITZER_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1034118,40083758,14,FDI12_gp14,PBI_SWITZER_14,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201220,-
1034118,40083759,15,FDI12_gp15,PBI_SWITZER_15,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201220,-
1034118,40083760,16,FDI12_gp16,PBI_SWITZER_16,-,-,-,major capsid protease,protein-coding,-,-,-,major capsid protease,20201220,-
1034118,40083761,17,FDI12_gp17,PBI_SWITZER_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083762,18,FDI12_gp18,PBI_SWITZER_18,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201220,-
1034118,40083763,19,FDI12_gp19,PBI_SWITZER_19,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201220,-
1034118,40083764,20,FDI12_gp20,PBI_SWITZER_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1034118,40083765,21,FDI12_gp21,PBI_SWITZER_21,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201220,-
1034118,40083766,22,FDI12_gp22,PBI_SWITZER_22,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
1034118,40083767,23,FDI12_gp23,PBI_SWITZER_23,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1034118,40083768,24,FDI12_gp24,PBI_SWITZER_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210406,-
1034118,40083769,25,FDI12_gp25,PBI_SWITZER_25,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201220,-
1034118,40083770,26,FDI12_gp26,PBI_SWITZER_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1034118,40083771,27,FDI12_gp27,PBI_SWITZER_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083772,28,FDI12_gp28,PBI_SWITZER_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1034118,40083773,29,FDI12_gp29,PBI_SWITZER_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083774,30,FDI12_gp30,PBI_SWITZER_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083775,31,FDI12_gp31,PBI_SWITZER_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083776,32,FDI12_gp32,PBI_SWITZER_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1034118,40083777,33,FDI12_gp33,PBI_SWITZER_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1034118,40083778,34,FDI12_gp34,PBI_SWITZER_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083779,35,FDI12_gp35,PBI_SWITZER_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083780,36,FDI12_gp36,PBI_SWITZER_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083781,37,FDI12_gp37,PBI_SWITZER_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083782,38,FDI12_gp38,PBI_SWITZER_38,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
1034118,40083783,39,FDI12_gp39,PBI_SWITZER_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083784,40,FDI12_gp40,PBI_SWITZER_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083785,41,FDI12_gp41,PBI_SWITZER_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083786,42,FDI12_gp42,PBI_SWITZER_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083787,43,FDI12_gp43,PBI_SWITZER_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083788,44,FDI12_gp44,PBI_SWITZER_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083789,45,FDI12_gp45,PBI_SWITZER_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201220,-
1034118,40083790,46,FDI12_gp46,PBI_SWITZER_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083791,47,FDI12_gp47,PBI_SWITZER_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083792,48,FDI12_gp48,PBI_SWITZER_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083793,49,FDI12_gp49,PBI_SWITZER_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083794,50,FDI12_gp50,PBI_SWITZER_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083795,51,FDI12_gp51,PBI_SWITZER_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083796,52,FDI12_gp52,PBI_SWITZER_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083797,53,FDI12_gp53,PBI_SWITZER_53,-,-,-,RDF protein,protein-coding,-,-,-,RDF protein,20201220,-
1034118,40083798,54,FDI12_gp54,PBI_SWITZER_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083799,55,FDI12_gp55,PBI_SWITZER_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083800,56,FDI12_gp56,PBI_SWITZER_56,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201220,-
1034118,40083801,57,FDI12_gp57,PBI_SWITZER_57,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201220,-
1034118,40083802,58,FDI12_gp58,PBI_SWITZER_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
