#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821565,29126467,2,SEA_YEEZY_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1821565,29126468,3,SEA_YEEZY_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1821565,29126469,4,SEA_YEEZY_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1821565,29126470,5,SEA_YEEZY_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1821565,29126471,6,SEA_YEEZY_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1821565,29126472,7,SEA_YEEZY_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126473,8,SEA_YEEZY_8,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1821565,29126474,9,SEA_YEEZY_9,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1821565,29126475,10,SEA_YEEZY_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126476,11,SEA_YEEZY_11,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1821565,29126477,12,SEA_YEEZY_12,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1821565,29126478,16,SEA_YEEZY_16,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1821565,29126479,17,SEA_YEEZY_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821565,29126480,15,SEA_YEEZY_15,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1821565,29126481,18,SEA_YEEZY_18,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1821565,29126482,19,SEA_YEEZY_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821565,29126483,20,SEA_YEEZY_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821565,29126484,21,SEA_YEEZY_21,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1821565,29126485,22,SEA_YEEZY_22,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1821565,29126486,23,SEA_YEEZY_23,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1821565,29126487,24,SEA_YEEZY_24,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1821565,29126488,25,SEA_YEEZY_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126489,26,SEA_YEEZY_26,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1821565,29126490,27,SEA_YEEZY_27,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1821565,29126491,28,SEA_YEEZY_28,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821565,29126492,29,SEA_YEEZY_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126493,30,SEA_YEEZY_30,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821565,29126494,31,SEA_YEEZY_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126495,32,SEA_YEEZY_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126496,33,SEA_YEEZY_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126497,34,SEA_YEEZY_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126498,35,SEA_YEEZY_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126499,36,SEA_YEEZY_36,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1821565,29126500,37,SEA_YEEZY_37,-,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201221,-
1821565,29126501,38,SEA_YEEZY_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126502,39,SEA_YEEZY_39,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1821565,29126503,40,SEA_YEEZY_40,-,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20201221,-
1821565,29126504,41,SEA_YEEZY_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126505,42,SEA_YEEZY_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126506,43,SEA_YEEZY_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126507,44,SEA_YEEZY_44,-,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20201221,-
1821565,29126508,45,SEA_YEEZY_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126509,46,SEA_YEEZY_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126510,47,SEA_YEEZY_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126511,48,SEA_YEEZY_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126512,49,SEA_YEEZY_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126513,50,SEA_YEEZY_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126514,51,SEA_YEEZY_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126515,52,SEA_YEEZY_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126516,53,SEA_YEEZY_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126517,54,SEA_YEEZY_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126518,55,SEA_YEEZY_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126519,56,SEA_YEEZY_56,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1821565,29126520,57,SEA_YEEZY_57,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201221,-
1821565,29126521,58,SEA_YEEZY_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126522,59,SEA_YEEZY_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126523,60,SEA_YEEZY_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126524,61,SEA_YEEZY_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126525,62,SEA_YEEZY_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126526,63,SEA_YEEZY_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126527,64,SEA_YEEZY_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126528,65,SEA_YEEZY_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126529,66,SEA_YEEZY_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126530,67,SEA_YEEZY_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126531,68,SEA_YEEZY_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126532,69,SEA_YEEZY_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126533,70,SEA_YEEZY_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126534,71,SEA_YEEZY_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126535,72,SEA_YEEZY_72,-,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20201221,-
1821565,29126536,73,SEA_YEEZY_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126537,74,SEA_YEEZY_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126538,75,SEA_YEEZY_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126539,76,SEA_YEEZY_76,-,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20201221,-
1821565,29126540,77,SEA_YEEZY_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126541,78,SEA_YEEZY_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126542,79,SEA_YEEZY_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126543,80,SEA_YEEZY_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126544,81,SEA_YEEZY_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126545,82,SEA_YEEZY_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126546,83,SEA_YEEZY_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126547,84,SEA_YEEZY_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126548,85,SEA_YEEZY_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126549,86,SEA_YEEZY_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821565,29126550,87,SEA_YEEZY_87,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1821565,29126551,1,SEA_YEEZY_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1821565,29140855,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
1821565,30853580,13,SEA_YEEZY_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
