#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2740800,55412046,HOQ55_gp43,HOQ55_gp43,-,-,-,-,Mitochondrial DNA-directed RNA polymerase (RPO41),protein-coding,-,-,-,Mitochondrial DNA-directed RNA polymerase (RPO41),20210327,-
2740800,55412047,HOQ55_gp02,HOQ55_gp02,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210327,-
2740800,55412048,HOQ55_gp03,HOQ55_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412049,HOQ55_gp04,HOQ55_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2740800,55412050,HOQ55_gp05,HOQ55_gp05,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210327,-
2740800,55412051,HOQ55_gp06,HOQ55_gp06,-,-,-,-,glycoside hydrolase (lysozyme),protein-coding,-,-,-,glycoside hydrolase (lysozyme),20210327,-
2740800,55412052,HOQ55_gp07,HOQ55_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412053,HOQ55_gp08,HOQ55_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412054,HOQ55_gp09,HOQ55_gp09,-,-,-,-,membrane-associated lipoprotein precursor,protein-coding,-,-,-,membrane-associated lipoprotein precursor,20210327,-
2740800,55412055,HOQ55_gp10,HOQ55_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2740800,55412056,HOQ55_gp11,HOQ55_gp11,-,-,-,-,phage tail fiber protein,protein-coding,-,-,-,phage tail fiber protein,20210327,-
2740800,55412057,HOQ55_gp12,HOQ55_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412058,HOQ55_gp13,HOQ55_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412059,HOQ55_gp14,HOQ55_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412060,HOQ55_gp15,HOQ55_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412061,HOQ55_gp16,HOQ55_gp16,-,-,-,-,gp42,protein-coding,-,-,-,gp42,20210327,-
2740800,55412062,HOQ55_gp17,HOQ55_gp17,-,-,-,-,putative tail tubular protein B,protein-coding,-,-,-,putative tail tubular protein B,20200910,-
2740800,55412063,HOQ55_gp18,HOQ55_gp18,-,-,-,-,tail tubular protein A,protein-coding,-,-,-,tail tubular protein A,20210327,-
2740800,55412064,HOQ55_gp19,HOQ55_gp19,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210327,-
2740800,55412065,HOQ55_gp20,HOQ55_gp20,-,-,-,-,capsid assembly protein,protein-coding,-,-,-,capsid assembly protein,20200910,-
2740800,55412066,HOQ55_gp21,HOQ55_gp21,-,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20210327,-
